-2.94659119021937-0.0184004605251657i,0.00275959423855822+0.0290436527105229i,0.0728202380729925+0.0354715212575222i,-0.238234678722465-0.0218940504872969i,-0.503676006763723+0.00167065079274044i,0.394139170770977-0.0948328369377561i,-0.406293091185868+0.0722055276390207i
-0.00503393646153532+0.0016605141723758i,-0.0332162978033869-0.000159332348748113i,-0.0165333915427219+0.018355530873031i,-0.0122900900465267-0.00694296497722512i,-0.0430474373153624-0.0150253550348457i,8.86578009197739e-05-0.00367009144744895i,-0.0314246929137521+0.000452589288179272i
-0.0204754938209011-0.00431448655749946i,-0.0425666795933597-0.0114383382686696i,0.0105517961160714+0.00442774548917687i,-0.0274009380293798+0.00611787744997121i,0.0104052008377161+0.0086372959584278i,-0.0714504813684457-0.0132881455390051i,-0.00936997614502951+0.00775245462230331i
-0.0315388296902533-0.000760893555817885i,-0.0202878903528352-0.00691305800374658i,0.0314983129397034-0.0333539754936441i,-0.0153233940289718+0.028639018969374i,0.0915794045155203-0.0128290094338411i,-0.0452104977648548+0.000387201180736892i,0.00900012503329633+0.0265266478427909i
0.0140367357824774-0.00215105989053281i,-0.00260825363079849-0.0194519216719787i,0.0658452636137674+0.0449289681761074i,0.0061053442993584+0.01784749720598i,-0.0514116907544848-0.00864654856339058i,-0.0188669900435013-0.00853396610568558i,-0.0172992873736547-0.0237213315240375i
0.00938887876834328+0.000112145187073712i,0.0437783913700627-0.0026341694823721i,0.0513001903862352+0.0153916819787679i,0.0463907443826774-0.0191274268554088i,0.0362788858464851+0.00531902787166463i,0.0406765587810865-0.00613791876594617i,0.0514192824157085+0.00237447820688569i
0.00435516475969936+0.00166833294721805i,0.0319319966050547-0.0203003971284257i,0.0330399879873615+0.0481617580100079i,-0.0236029087965143-0.0105137418916554i,0.023969312762093+0.00388367652548548i,-0.0137476248931573+0.000176279835689588i,-0.0494651572179349-0.0245659447302068i
-0.000805101659863602-0.000974804779943779i,0.00205062895749188+0.0222381447437923i,0.0787103469262985-0.000854114814251416i,0.0455706158961457-0.0107181454885228i,0.0456486301206449-0.00942485380338318i,0.0205508674844843-0.00664469208910506i,0.0440790899810216+0.00475675368170102i
0.000702375951473947-0.000704014613356637i,-0.0118553515595883-0.0148755173348911i,-0.0108405211985321-0.0145898691207219i,-0.0115887011022147-0.00441582573707452i,0.0173970058529165+0.026398978887664i,-0.0124086280515076+0.00950052407732189i,0.053889599171034+0.000519947721854885i
0.00798270442548549-7.95768212569041e-05i,-0.0378433528835023+0.000174533947988491i,0.0154230268172716-0.00471518665420631i,0.0174298612797205-9.80453745523368e-05i,0.00524970823568392-0.00647620649522568i,0.0682304960147987-0.000474673888578803i,-0.00606200745347519+0.0096396924393148i
-0.00543198775548824-0.00384085736733344i,-0.0120040140896635+0.0053145298556087i,-0.0641780666749598-0.0252058018647752i,-0.0484059556124845+0.0108138250207269i,-0.0111523797399065+0.0114339908663087i,-0.00012713713493112-0.00535279929368869i,0.00643410842996566+0.00821521103026157i
-0.0162921711584006-0.00380733347561633i,-0.0136073230927746-0.025630194359982i,0.0602455605271839+0.00600399745310775i,0.029122388220641+0.0258149546605369i,0.0223550114136091+0.00170318253254708i,0.00566402054383566-0.00668451353470579i,0.0103471511923272+0.00271325972081899i
-0.0116609385470954+0.00105533845218196i,-0.00583372502582566-0.0170705663546492i,0.00727446674988011+0.0201585001231848i,0.00839822748407814-0.00237263017109677i,0.0175569875961125-0.0089015377555488i,-0.0529837183168109-0.00482224869477011i,0.00529430824825783+0.00901751249901033i
0.0117696123832868-0.00315409957247523i,-0.0200073993219826-0.0116141710818546i,-0.00161562481244398+0.025714402514219i,-0.0316368701388106-0.000193435423464151i,-0.0462792395642724+0.016831816052066i,0.0458377756688078-0.0073076054109621i,-0.072942266389237-0.0213987898738793i
-0.0080336776277179+0.00379494285969807i,0.142557001876727+0.0518018256675347i,0.00505986602996603-0.0227754956617978i,0.0284494062546119-0.0145904866060475i,0.00317398600227269-0.00808952004010057i,0.0114926700189059+0.00540368893071471i,0.0353377349780713-0.0105407004455492i
-0.0156522507803918-0.0058707577231251i,-0.0290192044456139+0.0114916665394978i,-0.0570246688114768-0.0242551151980866i,-0.0585051018702022+0.00633568086922461i,-0.00884151567800664+0.0186717018474551i,-0.000754583790638008-0.0107701286767302i,-0.0275013710191701+0.00720534229268653i
0.0230177818312835+0.00115611984213508i,-0.0552359099214215+0.00634670286429505i,0.00964117964648383+0.0100981684174378i,-0.0514569838202578+0.0149542764749185i,-0.0651827307165762-0.022827666841571i,0.0641677244180404+0.00409087248039834i,-0.0412969324688075-0.0143832933070818i
-0.012547073123147-0.00703398710528445i,0.0299051511412503+0.0344398098274779i,-0.0160661909258863-0.0618137162639075i,0.0167439001279464+0.0178017677484474i,0.0542690220105851+0.00547203842476413i,-0.0249949414856523-0.0154455434940558i,0.0663537932269582+0.0289036051934747i
0.00577414605857176-0.00427489883344747i,0.0197322962476473+0.0071951913359693i,-0.0217265168827959-0.000783425958257457i,0.0108473440913481+0.00586312327063974i,-0.0844862744898257+0.0147107625323444i,-0.0599495265457627-0.00515048148197959i,0.0189707943614225-0.0145142814853603i
-0.0113087372885795+0.00479440934513778i,0.0176937133117651-0.006143389424425i,0.0193522606897433+0.0012015928386012i,0.0587436663409293-0.00247981255605705i,0.0362163803992501-0.0140608147276971i,-0.031722375982565+0.00881133698452572i,-0.022419763118831+0.00756840435623097i
-0.00531309163777509+0.00257485537747393i,0.074140498448736+0.00412022078973468i,0.022422864699406-0.000349777715680684i,0.091604460320411-0.00250192681507967i,0.0484785813909058-0.00247051471328829i,0.0346967888161848+0.00723371547592266i,-0.00277960577468733-0.00649304765240535i
0.0180472605111465-0.00570800408216423i,0.00992163851978562-0.00706821181885506i,0.0410975044530606-0.0189723448344919i,0.0327798271469045+0.0437519471157544i,0.00692423064780376+0.00138493799712435i,0.0641995637983161-0.00277310368523423i,0.0200201507685081-0.00580069262526542i
-0.000835932895886128-0.00364944468626365i,0.0884495243507287+0.0244893482843102i,-0.00725099427408056-0.0398785544311052i,0.0390348372695312+0.0277564818404902i,0.00147049032918456+0.00147608960901389i,-0.00511176011164925-0.00316047879038191i,0.0360796512670176-0.00127899416656018i
0.00159491187123109-0.00197218175771114i,-0.00498405422692432-0.0278015574426576i,0.0466291097971377+0.0386678026819833i,-0.00639900256168316-0.0175734896457656i,0.0875205068141274+0.0124408496655673i,0.0463191677283954-0.0126413029424775i,0.0033212239844115+0.00271879506529817i
-0.0194220519697349+0.00322189201551321i,-0.0111741854178997-0.0320744448458951i,0.0267559193365348+0.0329181734735862i,0.010605141733992-0.00726439485750653i,0.0149177898952261-0.000596594839480741i,-0.0450852590252634+0.00492131944768178i,-0.0273102897866553-0.00599181850940778i
0.00938041444453832-0.00223284584358926i,-0.00533419403614932-0.000587840375335737i,0.0299732636098647+0.0107070351006196i,0.0304345000608399-0.00262242855644795i,-0.034813769709385+0.00831234138765765i,-0.0261948884355268-0.00507507169964595i,0.0278442318316824-0.0102051861468695i
-0.0137148897649068-0.00164329873356338i,-0.0185704707947499-0.00760348540643555i,-0.0123540673154437-0.00521186158618398i,0.00432049762820724+0.00375003722123413i,0.0169596486638239+0.00249302442188321i,-0.0209588787312975-0.00652857144634404i,-0.0286229476550326+0.0132029100052439i
-0.0196375840938138+0.00496405587841127i,0.0110861843578282-0.0100825075244021i,-0.0255307113055324+0.0160724942988437i,-0.00264885582241599-0.0304874030748174i,0.0387105879407724+0.00295539258851168i,0.0295813433530942+0.00513902124727963i,-0.0483795484855797+0.00631661996581137i
0.0127554789402996+0.00263494748977058i,-0.0491564517993557-0.00141899484509521i,-0.0994809304247252-0.0245108129810523i,-0.0283920509626667-0.00290459597070398i,-0.0270769266805519+0.00842644125204404i,0.0275233046595379+0.0153927193644737i,-0.0217785720785297+0.00401026379028025i
-0.0110487296203266-0.00447612819683103i,-0.0152476459426283+0.00331808300036916i,-0.0283903700789998-0.00190815035545697i,-0.0376914581410177+0.0196466425319411i,-0.0221666230856843-0.000666551188463784i,0.00360797121441112-0.0127362072467161i,-0.0618098747696332-0.0013921847882569i
-0.0126950331910016-0.00275787284338791i,-0.0428419746593272-0.00319004131641274i,-0.00651081998008053+0.0024707279084399i,-0.00825787605475936-0.00314363425565108i,0.0144827968700719+0.00610123259159445i,-0.00366854287477216-0.00913880081826615i,-0.00525905989874899+0.00720085368012835i
0.0025825015028655+0.00687499494623882i,0.050007770591999+0.0237881526169094i,-0.00446870715142896+0.0222337561050492i,-0.0211762051899382-0.0247550936731596i,-0.0383719075285435-0.0168909636101853i,-0.0663184922735178+0.0132351036835224i,0.0114226275362811-0.0223954133146548i
0.0147301522923178+8.92955243207523e-05i,0.0398607186681658+0.0322512991185851i,0.0353893395623613-0.000551518099259681i,0.00947167643081935+0.00754479631869362i,-0.0696593488073984-0.013965506548684i,-0.000654545547159387-0.000157051967265259i,0.0218066427092374-0.0226132824770177i
-0.00588578003545564-0.00639666379915048i,0.00850434760430238-0.00704959193883068i,0.00687055967437709-0.00581014422431333i,-0.0308624929625368+0.0150807628874217i,0.03306650173584+0.0136212171344547i,0.0516544290936911-0.0150338749477794i,0.00670857696140593+0.00553978998345438i
-0.00701573351317437-0.00561567394276902i,-0.0420255508689096-0.0334803261838746i,0.0310902287612988+0.0311130418537047i,-0.0189236378942066+0.0194010532711395i,0.00309926158435441+0.00623542034893701i,-0.0533858877732313-0.014624871558911i,-0.00884364892791949-0.00384596395664181i
0.0114960154129996+0.0015507022649574i,0.00267654603007283+0.00917582127337474i,0.00704120997352792+0.0168825517018708i,-0.0396877742043433-0.0121102906548574i,0.0164116870399685-0.00750636683220616i,0.0532368555038473-0.000390002261708087i,-0.0161792357748902-0.00912887707234776i
-0.00413833123723615+0.00356517993465123i,-0.0628925853983273-0.00382641023817938i,-0.0448088047550801-0.0132537964761291i,0.0101026149774317-0.0129556968038375i,-0.00926950921301934-0.00244379349754835i,0.00792436968846364+0.0116093745618958i,-0.0105476509917346+0.0150329624764843i
0.00382471691020535-0.00334478731437844i,0.0335894903405236+0.00334667883835805i,0.0236029097336194-0.0219590715008797i,0.00120405132689574+0.0176827721158423i,0.0559405096407123+0.00575044108077012i,-0.0315650974250486-0.0037645916122944i,0.0351233745756804+0.00754101584131017i
-0.00586796787338128-0.00107564303356341i,-0.0181991248297114-0.00520184801478613i,-0.0138340896459241-0.0126120042706185i,-0.0280602435259961+0.019259292654999i,0.0127260937977935-0.0018090297783777i,0.0236891715850278-0.00162013364501146i,-0.0540685046744735+0.00538794109248616i
-0.00159304080736136+0.00494509029360248i,-0.0520203776362294-0.0223519150860621i,-0.019783033796744-0.00951093416091741i,0.027715148089672-0.0108744345053254i,0.103641310172211-0.00502218113117433i,0.0246318345242519+0.0135318429645146i,-0.0165648143994181+0.0261620983234128i
0.0144368193553485-0.000923603695105622i,0.0130220144119063+0.00163202246618913i,0.0775600315984233+0.0532601048823615i,-0.00700270402497816-0.00987272345467691i,-0.0254596686388748-0.0116904767627167i,0.003300512336985-0.0102614338342149i,0.0235894230083387-0.0237200327829639i
0.0186906813264809-0.00368401746736212i,0.0179122119309056+0.00993943120105678i,0.0105366759317905+0.00449208812403263i,-0.0271675430612499-0.00100102300423754i,0.030257221286068+0.0090057119811598i,0.0792970801660362-0.00952303481045415i,-0.0128930714322446-0.00880523535545962i
0.0114602756406727+0.0054121237965764i,-0.0456946851137629+0.00827002722070513i,-0.0448459740770743+0.038680054865948i,-0.065666991442587-0.0402184397330205i,-0.0502986582422226-0.0051876278583669i,-0.0472957679412457+0.00382935082845787i,-0.0702721378377444-0.0151976998388794i
-0.0235940179758798-0.0032369106171501i,0.036120924523913+0.00340712421542584i,-0.016674389981988+0.00390434094609769i,-0.0213337541778629-0.00700255539363068i,0.00389907061651576+0.0115780469883124i,-0.0246774220141171-0.0145024933286402i,-0.0171829556570057+0.00485346199114549i
-0.00334938669004268-0.000180808680515594i,-0.0188224797231634-0.00667108965012986i,0.0188630594956597+0.000492167551436123i,0.00479488596720181+0.0190580759314236i,0.0285594614264895-0.0158701376593427i,-0.00738140882683247+0.00084599487343969i,-0.00888181399247847+0.00394842965080291i
0.00561560386437135+0.000381253642861144i,0.051149026105725+0.00471823269390431i,0.00855852488470883-0.023942432063235i,0.00391818198151596-0.0041019504025671i,0.0541509743358256+0.0137775660614208i,0.022144112772846+0.008063127724631i,0.0770126206479616+0.00300565475668349i
0.0304647112786359-0.0105176580699242i,0.00801955833390546-0.0259126391345247i,0.0583964895323094+0.0310769801469945i,-0.0223817710165361+0.00833942053922263i,-0.00757759076514841+0.0358149025637867i,0.0150413665162197-0.0196368541798952i,0.0748770150391067-0.0186401394487331i
-0.00401583564751358+0.00155966464778979i,-0.00866725222126741-0.0178604652834657i,-0.0323021433667403-0.0103869582195729i,-0.0379993339931067-0.00780313333783944i,0.112347279331651+0.00635879204392197i,0.0440644509852743+0.00431812043379567i,0.00312672972892109+0.0214077955033218i
-0.00166481930278568+0.0015147744906494i,0.0369919936142136-0.0121661126843414i,0.0236212132624273+0.00113932405890192i,0.0588043097372458+0.0017455594069125i,0.014735666747244+0.00144349784576893i,0.026365860068614+0.00477039889389316i,0.00231168643382491-0.000274898629592749i
-0.000560055742187807+0.00270782434706737i,0.0397144495686344+0.00323922337247393i,0.00791878600153666+0.000517769150314717i,0.0447713828882513-0.0211059338941392i,0.0404144586612448+0.00716303549156153i,0.0186279907221118+0.00712312921628896i,0.0456712867861904-0.00136679810761167i
-0.00123034441459634+0.00462987944568628i,0.0653953611520919+0.0279426347547769i,0.00297712213452167-0.0523406689692838i,0.06450329270419+0.000364350939616512i,0.025198227541969-0.00782193827750522i,0.0158636142692896+0.0167836628598817i,0.0699732411760696+0.0118469909203841i
-0.0168996611172695+0.00627739351136582i,0.00298486565319848-0.0134011195133937i,-0.0376892561073066+0.0242854114369852i,-0.00457060844252432-0.0288927639777739i,0.0234889992087887-0.00337768760815028i,-0.0156304478001953+0.00842132876853073i,-0.0117760480199279+0.00274814133025612i
0.00885095470344533+0.00785232931151505i,0.0375228102539263+0.0223907964156402i,-0.0211041348538347+0.0118071849268334i,0.0257101629886768-0.0406833918342561i,-0.0188184026990103-0.00892970262972855i,0.042936551195465+0.011572267717295i,-0.00891807876367438-0.00711398784990777i
-0.00325537642673079-0.00070876949847346i,0.0508997694279036+0.0289231123342258i,0.0260625112673508+0.0220826114428116i,0.00475765622476776-0.0108662287834239i,-0.0464802200907233-0.00835995646572682i,-0.0723519247134867-0.00897909545080613i,-0.0111106999637357-0.0211092711055624i
0.00199292976979606+0.00401343324533072i,0.0395702106933045+0.0312714216109614i,-0.0361229773391006-0.00390259696861477i,-0.0509780701047416-0.0211298795708655i,-0.0149636646666068-0.00774767488760825i,-0.0325823395152694+0.00750199625495684i,0.0219404296152272-0.00648958231428161i
0.000211561453869992-0.00789060437682741i,-0.0696506037238766-0.0323060835521616i,0.0310457267894526+0.0225495959694241i,-0.0966190154726617+0.0109958820395648i,0.0250919894991039+0.0266156890987306i,0.0129915153107507-0.0157101289005743i,0.00229929429524978-0.00465851742477879i
-0.0104197587220166-0.00186122001010006i,-0.0142125377602485-0.02106472659711i,0.0113358140489007+0.0231626084088797i,-0.0343033421489101+0.00280770239817396i,0.0296006412822199+0.000973455030811397i,-0.0262732521080101-0.00564855600605772i,0.00836479120074683+0.00110731244318279i
0.0072452172414181-0.00306694917368882i,-0.021662286382332-0.00830965259455826i,-0.0132466539513705-0.0228923163087165i,0.0411474338251015+0.00400525837950494i,-0.0148992397270882+0.0169276167727927i,0.037425904457186+0.000748762187790436i,0.0568849698612487+0.0131468651811811i
0.00204836362463881-0.00274020886049942i,-0.0274124409322592-0.0127765743482043i,-0.00438874363649269+0.0209332970471078i,-0.0364547734571763+0.00270176883057703i,0.00747402337908625-0.00128713566066888i,0.066523399113534-0.0114686949526925i,-0.0375716947861923+0.00251617231362744i
0.0168443301854743-0.0070979199486004i,-0.021139452272475-0.040157145444317i,-0.0333971481800271+0.0135884132220723i,0.00480801081921223+0.0164262822132939i,-0.0114946603567365+0.0248894018069475i,-0.00271436373217873-0.0115230701472939i,0.0200449203747358+0.00456204978270306i
-0.00922321599466993-0.00113171982057439i,0.0127941635242991+0.00237565970797668i,0.0163498678747821-0.00857673483498698i,0.0320365042568368+0.00696648197628246i,2.07965994286352e-05+0.00509903182966095i,0.0669539193553625-0.00215443232626075i,-0.020375041766046-0.00349471726808533i
0.0234032184236389-0.00570063292957975i,0.0274596166776139+0.0219772050836788i,0.0258742808788417+0.00218433407502506i,0.0442668735168088+0.00336960140943844i,-0.111204453868146+0.0121141758939981i,0.0989260150258188-0.011829912716146i,0.0255900537547218-0.0222964396610555i
0.00828287475560786+0.0013060013212868i,0.0332713059141088-0.00113520522681024i,0.0337773618816067+0.00555334399262561i,0.053737427038997-0.01067342481857i,0.0341909235219851+0.00293697703231235i,0.0554483809213256+0.0016149832140311i,0.0128603747231351-0.00175314996701702i
-0.0171507296571852+0.00453613954775167i,0.0471600610325074-0.00133304140952662i,-0.0102189201560165-0.0168324624803081i,0.0682674014450261+0.00167835267869998i,0.00678494713372899-0.0125600896039952i,-0.0313525739748754+0.0110323129225584i,0.0251640700470337+0.0139657192873572i
-0.0136975163930635+0.00183043734714699i,0.0203792710484943-0.00880695838871024i,0.0440608189167233+0.00734552089283075i,0.0351122896814977-0.00178276272441516i,0.000618971896473911-0.00508261314299964i,-0.0157586973668901-0.00156692861859237i,0.0124310966939274+0.00574468411987502i
0.00800684628513865-0.00750434351274197i,-0.0396687639600846+0.00215853910320729i,0.06861069813469+0.0121589994508462i,-0.0624364265374283+0.00848387029718488i,0.0364549292489883+0.011210993675725i,0.082711084628459-0.0206526135871371i,-0.0323471701677634-0.00760304159896646i
0.00111698383806811-0.00484916201715217i,0.0210774856361911-0.000305002673757716i,0.0422763719138137+0.0213396916172161i,0.00831970522395941+0.00184337317214009i,0.013813788107651+0.0101660414819647i,-0.00238506963031262-0.0122031203930987i,0.0123349089645039-0.0141257860402399i
0.00923364996041638-0.00340095407249375i,-0.0787666319780351-0.000380113513500546i,-0.089723332338925-0.0270720079841532i,-0.107806683686909+0.0252127066578726i,0.00228911657814685+0.00313632051173194i,0.0571562398093279-0.00279653369682791i,-0.0955834520328145+0.00857213528565904i
-0.00974283210703653+0.00470917589901394i,-0.00335766790011413+0.00721356935726453i,0.0684161091352152+0.000885737286931903i,0.0271774670769156-0.00118564922580342i,0.036451503557317-0.0256048877884847i,-0.0281832682025562+0.00830300977692537i,0.00561485258065251+0.0061231519535359i
0.00632405330792342+0.00691466483818834i,-0.00383736002055968-0.0141167587388203i,0.0690850966847998+0.0321868667738226i,1.64434059882954e-05-0.00825102245470347i,-0.00431801197539691-0.020446576560718i,0.00805950754878257+0.0133405948666903i,0.005657469170655-0.0129531654199285i
-0.0120931485101095+0.00116757270666955i,0.0274403988403516+0.00935921140257123i,-0.0351509322601565-0.0441486874984373i,0.0294445989731948+0.0165531627493465i,0.0757443905805268-0.0120674002891248i,0.00341195698259531+0.00565495413413908i,0.02117922231443+0.0258570040141665i
-0.00593715719063234+0.000967043698964203i,0.0206266548022537-0.0105315198872885i,0.0223727744001237+0.0275783011468473i,-0.0855333518097472-0.0027947373122629i,0.0754018628222645-0.00498993414382816i,0.0398505084827844-0.000296098851843143i,-0.0157574920554433-0.00992361234143048i
0.0135758849639838-0.00208794813480778i,0.00239889491108717+0.0094171058346623i,-0.0739559169989656-0.0188495658609262i,-0.0252258920561185-0.0141276025484522i,0.0062113838331277+0.0281219725212065i,0.0118260867725433+0.00293018446997866i,0.00102721219593117-0.00252107768080425i
-0.00859506340926867+0.00423782612829733i,0.0284232632159889+0.0170192704458314i,-0.00859257571425971+0.000188313894479282i,-0.030986848934588-0.0267498909588996i,0.0277651424822139+0.00171872839003441i,1.14644482303548e-05+0.00985040619750218i,0.00549787282298014-0.00531931810523552i
0.000414617958159184-0.00717730119562898i,-0.00288312160884301-0.0170444752555622i,-0.0151735608833323-0.0191066941709437i,-0.0113230297607925+0.0398747242739957i,0.00440539396268986+0.0142024281854023i,0.0479894661050323-0.00881616196696841i,-0.0132902836303747+0.00325453455525578i
0.0104596632216795-0.0072257227667898i,-0.0266770669265308+0.00239541119562052i,0.0348904740764433+0.0169358088406027i,-0.0601798807027465+0.013792425042177i,-0.03793645891369+0.00661575556723357i,-0.0623562167900091-0.0189372129562665i,-0.00842702918751986-0.012060001322436i
-0.0102838411212854+0.00184947227644235i,0.0356783107464656+0.00724383875355844i,0.0106181446614307-0.00950572488495103i,0.0936052888339047-0.0103218089605241i,0.0132995674721358+0.00322266416506439i,0.0381862444886393+0.00591031560915463i,0.0315355031184638+0.000381095759687117i
-0.0161072839869211+0.0058441405640846i,0.0407607209473784+0.0196597381822046i,0.0175690893604343+0.018810205752037i,0.0185671939839545-0.0225790580170856i,-0.0338864481634345-0.0146514063601778i,-0.017173415864492+0.00531542434232476i,-0.0375384833309609-0.0137975009053388i
0.000634953651502027-0.000841315817982579i,0.0318270493110672+0.0194709025414664i,-0.0880482851022628-0.0406495270043118i,-0.0169361908286122+0.00664604465488852i,0.00994876796583022+0.00330451712516807i,0.0380449612005035+0.0017864243750649i,-0.00383592889561875+0.0130860268752546i
