-2.94659119021937-0.0184004605251657i,0.00275959423855822+0.0290436527105229i,0.0728202380729925+0.0354715212575222i,-0.238234678722465-0.0218940504872969i,-0.503676006763723+0.00167065079274044i,0.394139170770977-0.0948328369377561i,-0.406293091185868+0.0722055276390207i
0.00285120787619125-0.000280972640779989i,-0.131006406747179-0.0252922222891506i,-0.112354505165039-0.0127318255038376i,-0.0914621353557312+0.0129541015515141i,-0.0601082624449925+0.01090221041785i,-0.0369503595549451+0.00515602920166416i,-0.106154554044433+0.00760710310086131i
0.00859595565515942+0.000538285607622048i,-0.0956818118613745+0.0353392645820917i,-0.192038168311702-0.0320217909588453i,-0.15899749956155-0.0211443635275119i,-0.0764919624118868+0.00628702542982128i,0.165533479617122+0.00146760083917347i,-0.111897558980968+0.00608417753297526i
0.0333073137118894-0.00318001309381763i,0.022180863065919+0.0101982627177696i,0.0260222132333866+0.000967750596025121i,0.0530083574587899+0.00994610006694675i,-0.0153698811723332+0.0030321362754197i,-0.162490074563303-0.00443846977406087i,0.0136604594806481-0.0105459853721685i
-0.0121266986144715+0.00818135336607164i,0.082038981896338-0.0112709705145946i,0.0784200147738024+0.0306594189844637i,0.0844905942726853-0.0250001216899843i,0.0756825402890806-0.014023938997842i,-0.169881080666899+0.0133149145799055i,0.0363814772701222-0.000617630581837128i
-0.001224620627242-0.00928962623372225i,-0.0992332049923567-0.0186437900782008i,-0.076676109791465-0.00456094875616396i,-0.0945303420920604+0.0161576247313087i,-0.0894468767861046+0.0331411101893395i,0.0141507960136407-0.014019662493136i,-0.0131698787077684-0.00319210163723359i
0.0203266929964502+0.00217938810811767i,0.00635868167533762+0.0147169777580677i,-0.0501090282652283-0.000928268486773152i,-0.022947452333547-0.0200945836848417i,-0.0270381098084431+0.00835242333077857i,0.0972883114364177+0.011642359480252i,-0.00929685831518086-0.0114518163302483i
-0.0204427328163759-0.00186413707324099i,-0.00259160004206577+0.000298372655453752i,-0.00677669529067738-0.039121173583051i,0.0174716991230338+0.0281854296692029i,0.0328523667394374-5.34657674867364e-05i,0.0180215435748646+0.00167673613054594i,-0.0125052667338253+0.0139189662896484i
-0.00182286076062549+0.0100130785494647i,-0.00497787499885435+0.00647518847095626i,-0.0425470463549492+0.0190452155656577i,-0.052787407882295-0.0116953052201497i,-0.00677616583578013-0.0368434809704697i,0.173217735641725+0.0165309396791225i,-0.0962857430339016-0.00753824292514938i
0.0403797132078379-0.00546587334172251i,-0.0379955704048111-0.0137211289393729i,0.0290666694000276+0.0150175505250782i,-0.0496027606969161+0.0219433791021132i,-0.0151832806024391+0.00898190763375509i,0.126249708395867-0.00590274725453215i,-0.0282648916439297-0.0181661059056092i
0.0237574221657663-0.00101311392032121i,0.0179215027302236-0.00753979975297913i,0.0408072752691839+0.0227716937726055i,-0.0329024442804494+0.000453561420116685i,0.024064388737744+0.00150565606404698i,0.00862313907341095-0.00188990920041606i,0.0442832320040053-0.0122423115143257i
-0.0132869288317056+0.00322317119986179i,-0.0684588975487534-0.0366252791585349i,0.0281889784768628+0.0192743095781198i,0.0389095427993546-0.00724443422834486i,0.0754765139820039-0.00420633163942232i,-0.128288180055564+0.00717028086867406i,0.0127872641265622+0.014564513718889i
0.00526807788218242-0.00330637274929776i,0.0620777505910692+0.0172666775519709i,0.0858352856169031+0.00189351344997948i,0.0328545193174458-0.00706342958704439i,0.0447503835168412+0.009828190443833i,0.0327556752795795-0.00876193646380672i,0.0663092846260505-0.00945188817840759i
-0.00780259162373745+0.00109744601041192i,0.0528369937883912+0.0214405210327886i,-0.0960277260039184-0.0214760151823377i,-0.0018494127716483-0.00311845640387888i,-0.0262380536763489+0.000677900358911784i,-0.0523891984575676+0.00189971839566306i,-0.0403150790160726+0.00182130572607621i
0.00256323930898458-0.00335895876643424i,-0.0033839763246663-0.00323199503469494i,0.00981855512333061+0.0156287399241529i,0.0223607544788715-0.0105693183851224i,-0.039032919351738+0.0159055040751131i,-0.00792413444241678-0.00775865175454798i,0.0321090775518832-0.00691983846161154i
0.0196488647895671-0.00499824813857012i,-0.0105815913892105+0.00352788743515008i,0.00260978113625018+0.00232188191560961i,-0.0258777536485685+0.00968324851171038i,-0.0284214830304651+0.00977273950255757i,0.0359757243610462-0.00997112399246207i,0.021989664601315-0.00918362494091313i
0.0374496985581319-0.00419408530821653i,-0.0144275423977418+0.0132892866572054i,0.0598003490628565+0.00714740102698041i,-0.0248812719370258+0.00679173081905957i,-0.00967248586500977+0.00911945966121751i,0.0512571855621807-0.000837801187679895i,0.0191135404378313-0.0265255053198381i
0.00650819579168756+0.00136980159297418i,-0.0115732434127348-0.0105217915521135i,0.0382059338592507+0.0251364835203218i,0.0114578243219919-0.0173504741681707i,-0.0391964327354188+0.00462518655491036i,-0.0439188991737232+0.00117187989809762i,0.0547124953679458-0.00884551716124125i
0.0202887886973698+0.00103913791632612i,-0.0209121432978799-0.0139989204142233i,-0.00146876199127554+0.0207672222062127i,-0.0457101619033786-0.00157252695209522i,-0.0443527295323728+0.00299982405547854i,-0.0107471021921394+0.00626732704923533i,0.0166228900700303-0.0149046630910538i
0.00575397765712613-0.000978946524705615i,0.00102453404399717-0.00597402652584799i,0.017790826091731+0.0228940285263835i,-0.0300072291786088-0.00100628015083023i,-0.0292215950776961+0.00486051041614812i,-0.0414767927465572+0.000689230269924027i,0.0112732233281492-0.0179913178168433i
-0.00922505754712004+0.000502149618568397i,-0.03615320526413-0.0211653277396233i,0.0713238266384143+0.0390890377603929i,0.00587674961679262-0.010046227694762i,-0.00224553045901764-0.00235505834448136i,0.00509102435197129-0.00592372330359811i,0.0067386053040409-0.00565226369098797i
