-12.8228214749869-0.000166028132883173i,0.0138275966610193-1.76602929341949e-06i,0.0138275966932755-1.76603196136017e-06i,0.013827596678159-1.76602688122602e-06i,0.0138275967396729-1.76601934089724e-06i,0.0138275094962329-1.76572703920686e-06i,0.0138275974889855-1.76602545170928e-06i
-0.256682190553797-4.03713424249744e-05i,0.0399744446463482+5.23601758103356e-06i,0.0399744446489469+5.23601287461802e-06i,0.0399744446353953+5.23601008582293e-06i,0.0399744446651588+5.23600751030147e-06i,0.0399744225540268+5.23606251846301e-06i,0.0399744448590947+5.23601173601e-06i
-0.432502989415318+1.41675235387274e-05i,0.0209363290106788+2.3299495435569e-06i,0.0209363290566568+2.32995269969623e-06i,0.0209363290337076+2.32996217636866e-06i,0.0209363290932894+2.32996448014299e-06i,0.0209362369303656+2.33007430667464e-06i,0.0209363298445629+2.32996024027761e-06i
0.255594413369459+2.28426000949883e-05i,0.0223021486084209-4.71296079598158e-07i,0.0223021485979832-4.7129105169214e-07i,0.0223021485989715-4.71295619714661e-07i,0.0223021485864172-4.71293608907235e-07i,0.0223021850062941-4.70747135993805e-07i,0.0223021482821024-4.71295927557083e-07i
0.277016527109274-2.77471019137877e-06i,0.000184664836803975+3.51971592274811e-07i,0.000184664809799946+3.51976074030234e-07i,0.000184664819910774+3.51984333445087e-07i,0.000184664751958602+3.51986426682528e-07i,0.00018474635754404+3.51974439072024e-07i,0.000184664113507737+3.51979614933578e-07i
-0.248662529623899+5.00593021793892e-05i,0.02071092177267+4.33599518005701e-06i,0.0207109217717028+4.33599035261857e-06i,0.020710921775502+4.33597977385898e-06i,0.0207109217845635+4.33597046369773e-06i,0.020710903610428+4.33458409682961e-06i,0.020710921913741+4.33599128469994e-06i
-0.0463657287981696+7.58931738344181e-06i,-0.00469531748085689+1.85630553765415e-06i,-0.00469531745725983+1.85630270571909e-06i,-0.00469531746128406+1.85631422643608e-06i,-0.00469531742187274+1.85631392895133e-06i,-0.00469535625311663+1.85579927466963e-06i,-0.00469531711716552+1.85632297012215e-06i
-0.0478512191542754-3.73497084549585e-05i,-0.00542479293011427-3.29393098457516e-06i,-0.00542479293249272-3.29392693237273e-06i,-0.00542479294128682-3.29393752023603e-06i,-0.005424792948446-3.29394088033857e-06i,-0.00542479272630357-3.29300796308527e-06i,-0.00542479293217899-3.2939418130972e-06i
-0.205599912505626-2.82193960963673e-05i,-0.0112192238199866-5.81792786934428e-06i,-0.0112192237896666-5.81793826864859e-06i,-0.0112192238024873-5.81791755926558e-06i,-0.0112192237299624-5.81790872351552e-06i,-0.0112193094178883-5.81678603448057e-06i,-0.0112192230158035-5.81792156616929e-06i
0.0081863410104251-1.0049937866623e-05i,-0.00612254320178055-4.43116621761572e-06i,-0.00612254318995262-4.43117575390893e-06i,-0.00612254318516368-4.43117014388876e-06i,-0.00612254313737662-4.43117353569699e-06i,-0.00612258787433688-4.43065075417359e-06i,-0.00612254279234888-4.43116814921201e-06i
0.114430491807109-6.85140557168405e-06i,-0.00576038389513488+6.50942953732885e-07i,-0.00576038389638287+6.50936370536133e-07i,-0.00576038388384745+6.50941598661381e-07i,-0.00576038390206142+6.50944505276821e-07i,-0.00576037665771934+6.50774310279627e-07i,-0.00576038396916366+6.50941769075371e-07i
