-12.8228214749869-0.000166028132883173i,0.0138275966610193-1.76602929341949e-06i,0.0138275966932755-1.76603196136017e-06i,0.013827596678159-1.76602688122602e-06i,0.0138275967396729-1.76601934089724e-06i,0.0138275094962329-1.76572703920686e-06i,0.0138275974889855-1.76602545170928e-06i
0.116062657838937-1.33090939986557e-06i,-0.0194775020379739-1.29620501041955e-06i,-0.0194775020550398-1.29621135832455e-06i,-0.0194775020502409-1.29621230137789e-06i,-0.0194775020464929-1.29620925903282e-06i,-0.0194774962330347-1.29662097574958e-06i,-0.0194775021201363-1.29620879812785e-06i
-0.159850036244903-2.87155897465364e-05i,0.0171844238576688-1.5336739706734e-06i,0.0171844238675055-1.53368505313126e-06i,0.0171844238449361-1.53367300360536e-06i,0.0171844238994114-1.5336645694108e-06i,0.0171843881729087-1.5329496238732e-06i,0.0171844242123766-1.53367024641664e-06i
0.0178772409961777-1.31589799990938e-05i,0.0110464581600287+1.8572938711674e-06i,0.0110464581514257+1.85729499838236e-06i,0.0110464581426151+1.85728522100844e-06i,0.0110464581344906+1.85728113038447e-06i,0.0110464692078322+1.85721944230183e-06i,0.0110464580559119+1.85728758635776e-06i
0.0397400583135748-8.20183017134083e-06i,-0.0107132281106412-2.19624752463533e-06i,-0.0107132280966817-2.19625013332624e-06i,-0.0107132281033776-2.19624421984514e-06i,-0.0107132280954026-2.1962452443319e-06i,-0.0107132444432372-2.19609331056009e-06i,-0.0107132279586047-2.19624557596074e-06i
-0.0240299282944627+1.84487456940088e-06i,0.00827938974300165+5.24225635322309e-06i,0.00827938974461356+5.24225337055052e-06i,0.00827938974231027+5.24225044807736e-06i,0.00827938974762227+5.24224923285957e-06i,0.00827938826189777+5.24164675059063e-06i,0.00827938974663853+5.24225470289701e-06i
0.0522514154150637+3.25969517866964e-06i,-0.00400480461856612-2.8361727626497e-06i,-0.00400480461049152-2.8361638622381e-06i,-0.00400480461423192-2.83615142503561e-06i,-0.0040048046081976-2.83614493248181e-06i,-0.00400481096807296-2.8352520792683e-06i,-0.00400480454282998-2.83616057523317e-06i
0.00856168820324135-9.02181833453294e-06i,-0.0084098825881075-1.14183396680801e-06i,-0.00840988259418664-1.14183272978243e-06i,-0.00840988258065574-1.14184444367208e-06i,-0.00840988260984108-1.14184451450832e-06i,-0.0084098643210664-1.14197181811174e-06i,-0.00840988276978265-1.14184482822309e-06i
-0.0545907563816884-1.03931604898271e-05i,0.00449077517661596-2.19891926551406e-06i,0.00449077519690092-2.19892176112439e-06i,0.00449077518791403-2.19890857041276e-06i,0.00449077523761167-2.19889972864573e-06i,0.0044907394949546-2.19784790727146e-06i,0.0044907755356872-2.19891442388764e-06i
-0.0990348032558076-3.48819320753673e-06i,0.00582576094984718+4.2210795190452e-07i,0.00582576094675624+4.22112894753698e-07i,0.00582576093960164+4.22104092248899e-07i,0.00582576093144318+4.2210993606534e-07i,0.00582576547345754+4.21826178954226e-07i,0.00582576088682334+4.22104325497491e-07i
-0.000671127911964211+3.57568360808574e-05i,0.00052354357978955+1.72130578242876e-06i,0.000523543570061716+1.72131183703193e-06i,0.000523543577486822+1.72130642089915e-06i,0.000523543557097137+1.72129722303733e-06i,0.000523558499118633+1.72041836859941e-06i,0.000523543430635932+1.72130951558907e-06i
0.0391004519356715+4.61307233155338e-05i,0.00546084818676442+6.33339663509046e-06i,0.00546084818036353+6.33339960113801e-06i,0.00546084817480141+6.33340283518059e-06i,0.00546084817648003+6.33339807197643e-06i,0.00546086314575942+6.33215808604758e-06i,0.0054608480591538+6.33340634574091e-06i
0.108314281685088-3.81349018444256e-05i,-0.0145784637647724-5.40967365481585e-06i,-0.0145784637593635-5.4096786701286e-06i,-0.0145784637769126-5.40966578542154e-06i,-0.0145784637543129-5.40966388947586e-06i,-0.0145784622610587-5.40895613526653e-06i,-0.0145784637580075-5.40967218193972e-06i
-0.0425712337794034-1.67932296054475e-05i,0.0128597270964975-2.24572171268235e-06i,0.012859727091187-2.24572116987312e-06i,0.0128597270941041-2.24571680518921e-06i,0.0128597270847401-2.24571282008165e-06i,0.012859723795197-2.24465014917543e-06i,0.012859727140985-2.24572617358228e-06i
-0.0351993066546826-3.13117508137969e-06i,0.0146129414146506+2.38248065854916e-06i,0.0146129413928198+2.38248135442584e-06i,0.0146129414201483+2.38247344832559e-06i,0.0146129413915162+2.38246565345627e-06i,0.0146129622191908+2.38239982678646e-06i,0.0146129412144964+2.38247018936778e-06i
-0.105660390179998-2.63719020229606e-05i,0.00793461399151489-4.96696484115322e-07i,0.00793461399892823-4.96697552035709e-07i,0.00793461398604045-4.96690590099503e-07i,0.00793461401743989-4.96682213364777e-07i,0.00793458948657021-4.96121902008847e-07i,0.00793461422456766-4.96697338508135e-07i
-0.05970485947417-2.87658550779648e-05i,0.0114499881819828+2.85232026699564e-07i,0.0114499881640953+2.85236014061971e-07i,0.0114499881691988+2.85224025323919e-07i,0.0114499881280964+2.85221087360569e-07i,0.0114500197020866+2.85346486037229e-07i,0.0114499878841914+2.85221600090599e-07i
-0.0127319251283377-1.3810260926162e-05i,-0.00212873246496637-1.35916200658713e-06i,-0.00212873248582092-1.35915907397211e-06i,-0.00212873247474495-1.35917694905147e-06i,-0.00212873253322687-1.35917543606432e-06i,-0.00212869662313899-1.35901007519307e-06i,-0.0021287328134506-1.35917504990374e-06i
0.0478695994272125-2.85317796354813e-05i,0.00175717046752561-3.69602819338637e-06i,0.00175717046555073-3.6960404519544e-06i,0.00175717046968989-3.6960383702387e-06i,0.00175717049502157-3.69603637249399e-06i,0.00175715793919648-3.69516181256339e-06i,0.00175717059653648-3.69603602527056e-06i
0.145414895224397-3.08676283399571e-05i,-0.0195615221241975-4.89208566305243e-06i,-0.0195615221351391-4.89209019530675e-06i,-0.0195615221344292-4.89208218977845e-06i,-0.0195615221353046-4.8920862031143e-06i,-0.0195615092963032-4.89167073758739e-06i,-0.019561522246168-4.89209333710231e-06i
0.0467858001507889-1.95180252118788e-05i,0.00207144740047923-2.8474879114465e-06i,0.00207144740121986-2.84749634078903e-06i,0.00207144740860201-2.84748586985142e-06i,0.00207144739857619-2.84748593684154e-06i,0.00207145344601077-2.84706340291125e-06i,0.00207144737123362-2.84748839797693e-06i
0.113587471367998+1.46319512892571e-05i,-0.0170622341033015+2.23182378338892e-06i,-0.0170622341153018+2.23182828611742e-06i,-0.0170622341171781+2.23183381553131e-06i,-0.0170622341275571+2.23183677620481e-06i,-0.0170622190601723+2.23154356603239e-06i,-0.0170622342462342+2.23183565546961e-06i
0.0108557181554887+5.29435627715828e-05i,-0.00194331052335686+2.91371250069559e-06i,-0.0019433105284722+2.91370612552337e-06i,-0.00194331051802872+2.91370389791069e-06i,-0.00194331053771069+2.91369472313615e-06i,-0.00194330716739138+2.91259633995422e-06i,-0.00194331057752581+2.91371015777522e-06i
-0.00795505338672871+2.71777200961247e-05i,-0.00791479951318772-2.85868399572908e-07i,-0.00791479951687036-2.85866911140011e-07i,-0.00791479952167045-2.85862978866947e-07i,-0.00791479948858411-2.85863178591443e-07i,-0.0079148177183515-2.86266077194407e-07i,-0.00791479933907295-2.85858829252963e-07i
-0.0953036815816293+1.46172580713199e-06i,0.00870798743836343+1.79023214771544e-06i,0.00870798744091027+1.79023303276125e-06i,0.00870798745187798+1.79022086953877e-06i,0.00870798743079753+1.7902202893353e-06i,0.00870798966742376+1.78973870912473e-06i,0.00870798740020119+1.79022816491289e-06i
0.0068942854533214+2.97309914577195e-05i,-0.0105738019948101-1.62651772705403e-07i,-0.0105738020049885-1.62657034461235e-07i,-0.0105738020014898-1.6266269303706e-07i,-0.0105738020116416-1.62664243278109e-07i,-0.0105737901398814-1.63295031921318e-07i,-0.0105738021066113-1.62654925578392e-07i
0.000331114062679359+2.14697551991038e-06i,0.00416105722217578-9.01389262972246e-07i,0.00416105721589258-9.01390741427398e-07i,0.00416105721986429-9.01394531531033e-07i,0.00416105720727537-9.01389690309913e-07i,0.00416106831539722-9.01608816820272e-07i,0.00416105711440831-9.01389766036719e-07i
-0.0753069803255319-2.98215759759138e-05i,0.00614763310415525-1.800830086303e-06i,0.00614763310511698-1.80083637300664e-06i,0.00614763310697442-1.80083244446184e-06i,0.00614763313637966-1.80084133193287e-06i,0.00614760300661453-1.80026028258559e-06i,0.00614763339762893-1.80083187273782e-06i
0.098885626965073-4.09540603842355e-05i,-0.0185841083825794-5.52855156776896e-06i,-0.0185841083739743-5.52854089840052e-06i,-0.0185841083745743-5.52854161474627e-06i,-0.0185841084022677-5.52853658045032e-06i,-0.01858408609794-5.52778322933339e-06i,-0.0185841085722257-5.52854722976429e-06i
-0.145021865065543+1.24297553237408e-05i,0.0110313377847711+1.48835154894778e-06i,0.0110313377888507+1.48835700778969e-06i,0.0110313377946911+1.48834594882413e-06i,0.011031337779599+1.48834637072583e-06i,0.0110313445416766+1.48811517164617e-06i,0.0110313377176649+1.48835140599046e-06i
-0.0933923108746068-2.2416351580164e-05i,0.00440429892867573-8.69876689856453e-07i,0.00440429893212402-8.69884716995935e-07i,0.00440429894158583-8.69879050248009e-07i,0.00440429898175469-8.69878533937617e-07i,0.0044042533032399-8.69363193992056e-07i,0.00440429933923039-8.69879452683723e-07i
0.0531589022104653-5.92225758003284e-06i,-0.00717834619192201+5.68042806884313e-07i,-0.00717834619255538+5.68055066159873e-07i,-0.00717834619044534+5.6804097320325e-07i,-0.00717834623896679+5.68044789232752e-07i,-0.00717831315145864+5.67839043869646e-07i,-0.00717834651421641+5.68038447214953e-07i
0.00366182224879525-8.7114875604805e-06i,0.0107597611118589+1.81011640174072e-07i,0.0107597611101157+1.81012289488846e-07i,0.0107597611181209+1.81012039051841e-07i,0.0107597611297116+1.81009102718789e-07i,0.0107597653626226+1.81193980351873e-07i,0.0107597610796707+1.81010431021691e-07i
0.067002114706559+1.22481176310591e-07i,-0.00210491261937378-1.51698968107357e-06i,-0.00210491262275772-1.51698761261475e-06i,-0.00210491263620579-1.51698786224463e-06i,-0.0021049126467582-1.51698157389714e-06i,-0.00210489614922135-1.51666015515641e-06i,-0.00210491275574062-1.51698937972614e-06i
0.128994659579756+9.05644340310245e-07i,-0.0196859504482064-1.59657635632288e-06i,-0.0196859504406248-1.59657301060264e-06i,-0.0196859504640891-1.59657450392519e-06i,-0.0196859504695956-1.59656614652126e-06i,-0.0196859380808679-1.59637169097554e-06i,-0.0196859505453302-1.59656726100357e-06i
0.0824749746282709+1.53938822806833e-05i,-0.0140920518838503-6.10703253462451e-06i,-0.0140920518824007-6.10703962991611e-06i,-0.0140920518859031-6.10704632293617e-06i,-0.0140920518541907-6.10705080250347e-06i,-0.0140920766245493-6.10665154236345e-06i,-0.0140920516646151-6.10704315130086e-06i
0.0893447488242177-4.23755337731267e-05i,-0.00973358667232814-7.18396570387923e-06i,-0.00973358666823473-7.18396365469278e-06i,-0.00973358666262233-7.18397894185813e-06i,-0.00973358667889777-7.18397849903911e-06i,-0.00973357696644505-7.18312419598998e-06i,-0.00973358676285867-7.18397796847466e-06i
0.0671462482985392-1.33799288302846e-05i,-0.0125656339772714-4.96220358640659e-07i,-0.0125656339884622-4.96224036932106e-07i,-0.0125656339829072-4.96218042969518e-07i,-0.0125656339912814-4.96224504257485e-07i,-0.0125656257714844-4.96619567927032e-07i,-0.0125656340524636-4.96217945371784e-07i
-0.0212194664501801+1.24728580023213e-05i,0.00331998622272639+1.62976018353042e-06i,0.00331998621375781+1.62975487904142e-06i,0.0033199862128938+1.62975589738897e-06i,0.00331998618833926+1.62975532559161e-06i,0.00332000518952593+1.62941869750287e-06i,0.00331998606083432+1.62975616408037e-06i
0.0599392391029419+5.86423249363419e-06i,0.000955157427180274+2.26306171298174e-06i,0.00095515742015645+2.26306093605843e-06i,0.00095515741723585+2.2630636934808e-06i,0.000955157434634283+2.26305608241065e-06i,0.000955157807896349+2.26290616891057e-06i,0.000955157422216843+2.26306384024619e-06i
-0.0352797759867669+3.77607281194055e-05i,0.00506799296702507+4.07532123197172e-06i,0.00506799296117924+4.07532858127835e-06i,0.00506799295495023+4.07532427079091e-06i,0.00506799292760197+4.07533031248458e-06i,0.00506802169688482+4.07481133088341e-06i,0.00506799271328585+4.07532963443459e-06i
-0.0621118478734796+4.26032008560148e-06i,-0.00162939360256055+2.0000226264626e-06i,-0.00162939359405633+2.00002503246617e-06i,-0.00162939361098788+2.00003664092212e-06i,-0.00162939361381446+2.00003869467374e-06i,-0.00162938201530256+1.99973852044131e-06i,-0.00162939367627021+2.00003377471537e-06i
-0.11420576554141+1.25022145629574e-05i,0.012403758710957+6.23900046267491e-06i,0.0124037587299567+6.23899667590837e-06i,0.0124037587133503+6.23899865283137e-06i,0.0124037587466247+6.2389986338437e-06i,0.0124037180645471+6.23817148401559e-06i,0.0124037590732023+6.23900727004673e-06i
-0.12483002607612-8.19180063228603e-06i,0.00892953725084152-8.18906162819478e-07i,0.00892953725789935-8.18905806423173e-07i,0.00892953725650534-8.18908107610363e-07i,0.00892953727328316-8.18905092700262e-07i,0.00892952503940057-8.18519029935974e-07i,0.00892953737899346-8.18908100611969e-07i
-0.0662667631449626+1.01553638400047e-05i,0.00309819250163224+2.56762871056073e-07i,0.00309819250236951+2.56761092229833e-07i,0.00309819248863886+2.5676059066699e-07i,0.00309819248196948+2.56761908597894e-07i,0.00309819376815382+2.56354760800178e-07i,0.00309819247551522+2.56763433000165e-07i
0.0257288859255744+4.23275680755298e-06i,0.00652361875438795+2.53565656484273e-06i,0.00652361876123708+2.53565835884292e-06i,0.00652361876717339+2.53566778007298e-06i,0.00652361876133089+2.53567328709008e-06i,0.00652362248550336+2.53561571078772e-06i,0.00652361872850827+2.5356648470616e-06i
0.0467216285741775-1.62675311734117e-05i,-0.00387993174822852-3.12054697662277e-06i,-0.00387993174483077-3.12054507436451e-06i,-0.00387993173605186-3.12054031349045e-06i,-0.00387993169875044-3.12054442063126e-06i,-0.00387994878950296-3.11959451430902e-06i,-0.00387993157875782-3.12054656407664e-06i
-0.0333597194220246-1.96814471261344e-06i,-0.00956868200384828-2.06101568194674e-07i,-0.00956868200753111-2.06103067211121e-07i,-0.00956868199764959-2.06109495242877e-07i,-0.00956868200318768-2.0611879512944e-07i,-0.0095686864037663-2.06213593064157e-07i,-0.00956868196844983-2.06112328217033e-07i
-0.0244410928702203+3.66046070878114e-05i,0.00737832187462665+1.38893385495856e-06i,0.00737832186297002+1.38892821267847e-06i,0.00737832187674601+1.38891893695243e-06i,0.00737832186273265+1.38891905611815e-06i,0.00737832976259882+1.38833542777751e-06i,0.00737832179565655+1.38892765053882e-06i
-0.0127202824439391+7.57517003797155e-06i,-0.00467754088936732+1.61950599050635e-06i,-0.0046775408775857+1.61950630527135e-06i,-0.00467754087552638+1.6195142757674e-06i,-0.00467754085438522+1.61951283062083e-06i,-0.00467756975654327+1.61951749184572e-06i,-0.00467754062049112+1.61951449052383e-06i
-0.0818297093765815+4.16787693387097e-05i,0.00615771057580768+5.40913668397505e-06i,0.00615771057851683+5.40913829106954e-06i,0.00615771056149531+5.40914116985224e-06i,0.0061577105785009+5.40914755349193e-06i,0.00615770435748144+5.40821953175846e-06i,0.00615771063021506+5.4091438606404e-06i
0.118282574661055+1.99985906799517e-05i,-0.00411337745481481-4.36740769174411e-08i,-0.00411337745574737-4.36667022804521e-08i,-0.0041133774487862-4.3679009685574e-08i,-0.00411337747784955-4.36804338573578e-08i,-0.00411335485508412-4.358623322853e-08i,-0.00411337766908927-4.36810342813822e-08i
-0.0769871996104611-1.40051413790137e-05i,0.00420516894269622-3.04394227336065e-06i,0.00420516894740505-3.04393810101565e-06i,0.00420516894326027-3.04394458842238e-06i,0.00420516894037239-3.04394027410511e-06i,0.0042051616187242-3.04319230902122e-06i,0.00420516901128979-3.0439496398664e-06i
0.0350144310700065+4.6782946279516e-05i,-0.00112615301315486+3.71800133797227e-06i,-0.00112615301697954+3.71800127825712e-06i,-0.00112615303053241+3.71800322478948e-06i,-0.00112615303055923+3.71800216191414e-06i,-0.00112615271606758+3.71670978929075e-06i,-0.00112615301572396+3.71801147665351e-06i
0.0702553184799699-5.17285461813007e-05i,-0.00755923410714709-3.72952550686001e-06i,-0.00755923410279573-3.72953374094151e-06i,-0.00755923409862371-3.72951830556628e-06i,-0.00755923407510395-3.72951468142726e-06i,-0.00755924420068654-3.72877788745165e-06i,-0.00755923400162039-3.7295250816985e-06i
0.0444270678010345-2.7003692350816e-05i,-0.00913852464515504-7.97879818865258e-07i,-0.00913852463036429-7.97877754046761e-07i,-0.00913852463002585-7.9787680478385e-07i,-0.00913852461389902-7.97880788078439e-07i,-0.00913854086225436-7.97323547839526e-07i,-0.00913852448697324-7.97879443169307e-07i
-0.10413440880508+2.53725812541833e-05i,0.0258955638244456+3.42951851121068e-06i,0.0258955638298495+3.4295182786954e-06i,0.0258955638334093+3.4295275512421e-06i,0.0258955638427617+3.42952209510789e-06i,0.0258955445293657+3.42937493610281e-06i,0.0258955640083459+3.4295280293294e-06i
-0.0530799586119351+2.43966050105568e-05i,0.00325615200370692+1.89947126996339e-06i,0.00325615199782075+1.89947747176872e-06i,0.00325615200416718+1.89947427201273e-06i,0.0032561519790598+1.89947161603833e-06i,0.00325618636630109+1.89902723926376e-06i,0.00325615170529463+1.89947044692157e-06i
0.00816769738761429-8.11966377390446e-06i,-7.79476515354482e-05-1.47022744650495e-06i,-7.794765016469e-05-1.47023172647367e-06i,-7.79476562117441e-05-1.47023331027316e-06i,-7.7947652068203e-05-1.47022657347778e-06i,-7.79609612892727e-05-1.46981308037118e-06i,-7.79475360894283e-05-1.47023285624466e-06i
0.109524677265634+9.61735745635815e-06i,-0.0173603847010874+3.68750772400157e-07i,-0.0173603847021291+3.68754369161068e-07i,-0.0173603846869025+3.68745128412104e-07i,-0.0173603847105864+3.6873630800833e-07i,-0.0173603723237463+3.68162572273544e-07i,-0.0173603848389701+3.68745850100863e-07i
0.137651991353315+2.39533112519249e-05i,-0.00660922975615786+4.31614370305728e-06i,-0.00660922976402318+4.31613948057395e-06i,-0.00660922973135081+4.31613591178849e-06i,-0.00660922973933353+4.31611799847819e-06i,-0.00660922167543497+4.31501971434529e-06i,-0.00660922984218395+4.31614122387472e-06i
0.00163520325725111+1.2399213071117e-05i,-0.00530289548123706+9.59928932796623e-07i,-0.00530289547586718+9.59931898445514e-07i,-0.0053028954749137+9.59928304949921e-07i,-0.00530289550419881+9.5992730689056e-07i,-0.00530289637155312+9.59311859609733e-07i,-0.00530289548213911+9.5992842990099e-07i
0.071923861053604+7.38271246988108e-06i,-0.0121493640457466-1.78339805248229e-06i,-0.0121493640405423-1.78339866511671e-06i,-0.0121493640561123-1.78339788930339e-06i,-0.0121493640409855-1.78339692261487e-06i,-0.0121493642239532-1.78334832306937e-06i,-0.0121493640329984-1.78339857573611e-06i
0.0941830260886314+1.95812308986656e-05i,-0.0139043265644957+2.50730656428606e-06i,-0.0139043265629117+2.5073073258314e-06i,-0.0139043265613393+2.50730946567943e-06i,-0.0139043265627783+2.5073024060795e-06i,-0.0139043192881458+2.50639584730037e-06i,-0.0139043266404908+2.50731234513318e-06i
0.116008362155721-9.44188268633467e-06i,-0.0177285426265523-5.21238284333829e-06i,-0.0177285426207098-5.21237671967973e-06i,-0.0177285426214428-5.21238308122013e-06i,-0.0177285426387151-5.21238430533564e-06i,-0.0177285373998287-5.21195512558543e-06i,-0.0177285426904224-5.21238798162582e-06i
-0.0653409730996193+2.16944660574713e-05i,0.00343454617312404+2.34879931397177e-06i,0.00343454617891133+2.34879423159717e-06i,0.00343454617031403+2.3488037400649e-06i,0.00343454616059148+2.34880714130821e-06i,0.0034345463328668+2.34796471176586e-06i,0.00343454617066774+2.34880504828609e-06i
0.0195072318434617-1.24892536091935e-05i,-0.00634298473553088-2.11100571778398e-06i,-0.00634298472356943-2.11100593466961e-06i,-0.00634298474039574-2.11098830455441e-06i,-0.00634298471455973-2.11098824910219e-06i,-0.00634299860936343-2.11045354313684e-06i,-0.00634298459221528-2.11099482699042e-06i
0.0357222687431064-1.60991930280737e-06i,0.00622412750961674-8.81986049797258e-07i,0.00622412750199498-8.81982441047335e-07i,0.00622412751410323-8.81979788781099e-07i,0.00622412750168167-8.81981497112065e-07i,0.00622414308339379-8.81480696182135e-07i,0.0062241273813076-8.81982440362418e-07i
-0.0123084457094909-1.67111920791386e-05i,0.00466481252054179-2.75086288517935e-06i,0.00466481253469424-2.75085983093982e-06i,0.00466481253889447-2.7508508820809e-06i,0.00466481252442627-2.750849440271e-06i,0.00466481448417342-2.74997711341609e-06i,0.00466481249729615-2.75086569141886e-06i
-0.0825475951450125-1.3525752449032e-05i,0.00582684940339498+1.22739517810854e-07i,0.00582684939678167+1.22730935483902e-07i,0.00582684941704881+1.22727589600707e-07i,0.00582684939415963+1.2271920897269e-07i,0.00582684193184555+1.22601638281273e-07i,0.00582684944714085+1.22726218850742e-07i
-0.0311032569014761+9.45567917660127e-06i,0.000997599722507844-5.1954384189497e-08i,0.000997599721384596-5.1956811527034e-08i,0.000997599725033035-5.19616980297068e-08i,0.00099759968758893-5.19594265804413e-08i,0.00099760605147966-5.18465154768219e-08i,0.000997599647052214-5.19638550647804e-08i
0.0248169980991888+6.76844571019558e-06i,-0.00687387681541268+4.96095212542467e-07i,-0.00687387682145847+4.96096939729994e-07i,-0.006873876830193+4.96087873299568e-07i,-0.00687387682273881+4.96086393737586e-07i,-0.00687387538418976+4.95301626908865e-07i,-0.00687387685277521+4.96094180826098e-07i
-0.0843426705079325+1.97882825556082e-05i,-0.00101923988834716+9.30353730417001e-07i,-0.00101923988399216+9.30350223315307e-07i,-0.00101923989132784+9.3036123522406e-07i,-0.00101923987430163+9.30365756578879e-07i,-0.0010192627584979+9.29972624035639e-07i,-0.00101923966856672+9.30363264373966e-07i
0.019768300920969+3.84253193326427e-05i,0.00661173683501935+2.36329736247792e-06i,0.00661173684321045+2.36329331687999e-06i,0.00661173683966131+2.36328657960678e-06i,0.00661173685145335+2.36328782804845e-06i,0.006611727280588+2.36223557364492e-06i,0.00661173691295815+2.36329848301658e-06i
-0.0256109986944902-1.78656753084431e-05i,-0.0136880040793639-2.54434386934978e-06i,-0.0136880040764763-2.5443457652667e-06i,-0.0136880040848932-2.54434510492734e-06i,-0.013688004066469-2.54434608021136e-06i,-0.0136880082047546-2.54416087414358e-06i,-0.0136880040244116-2.54434454181465e-06i
0.0137655138166984-9.54783088121313e-06i,-0.015384446663009-3.41991141686775e-06i,-0.0153844466497638-3.41991542390705e-06i,-0.0153844466513105-3.41990654483512e-06i,-0.0153844465887571-3.41991282217706e-06i,-0.0153844857437472-3.4195503806264e-06i,-0.0153844462951549-3.41990546929396e-06i
0.110249498808391+2.76666615694515e-05i,-0.0167101617221752+3.87256786167174e-07i,-0.0167101617262258+3.87250739184573e-07i,-0.016710161733068+3.87261614970155e-07i,-0.0167101617196562+3.87260634391367e-07i,-0.0167101594942191+3.86833232504134e-07i,-0.016710161734497+3.87263324984475e-07i
0.0498227690611822-1.17445878384193e-05i,-0.00646293326600307-3.83555505779989e-06i,-0.00646293326831312-3.83555443211945e-06i,-0.00646293328329867-3.83555473093058e-06i,-0.00646293328707452-3.83554561770748e-06i,-0.0064629159362823-3.83497428763741e-06i,-0.00646293342103638-3.8355610390994e-06i
0.032296742101089-1.26977562541269e-06i,-0.00630259316609503-7.77246950322374e-07i,-0.00630259318144324-7.77241258762486e-07i,-0.00630259317396379-7.77250162975048e-07i,-0.00630259318950661-7.77250697772091e-07i,-0.00630256127516824-7.77329609441651e-07i,-0.00630259344957409-7.7724759062807e-07i
-0.0167203677403494+1.01832852765158e-05i,-0.00822557061000407-1.70083153144068e-06i,-0.00822557062061213-1.70083082018111e-06i,-0.00822557060049028-1.70083262615255e-06i,-0.0082255706070106-1.70084257606014e-06i,-0.00822557158402961-1.7005876862897e-06i,-0.00822557059279184-1.70083116409502e-06i
0.060095091314052+7.59520438628536e-06i,-0.00705642737952201-1.52163723819199e-06i,-0.00705642737997694-1.52164092277684e-06i,-0.00705642737912402-1.52164326315932e-06i,-0.00705642737724271-1.52164616777575e-06i,-0.00705642426336955-1.52166594161046e-06i,-0.00705642740359017-1.52164050292648e-06i
-0.200295178449189-1.52254076788143e-07i,0.0201098747984943+2.03862306266415e-06i,0.0201098748128701+2.03862362565061e-06i,0.0201098748149895+2.03862070176565e-06i,0.0201098748241934+2.03861959790302e-06i,0.0201098446376039+2.03863894997577e-06i,0.020109875080716+2.03862217666163e-06i
0.0759000933916013-2.45775570496401e-05i,-0.00548336369458783-4.1473842002455e-06i,-0.0054833637094902-4.14738088770878e-06i,-0.0054833637039448-4.14738271956912e-06i,-0.005483363729467-4.14737893618854e-06i,-0.00548333834390125-4.14661417484198e-06i,-0.00548336392197693-4.14738559910833e-06i
0.0375497445074165+4.90718191069655e-06i,-0.00824884719711889-1.69263728323665e-06i,-0.00824884720054-1.69264574612312e-06i,-0.00824884719399916-1.69263395272883e-06i,-0.00824884717940125-1.69263142411011e-06i,-0.0082488600567105-1.69264557873755e-06i,-0.00824884707184409-1.69263398005211e-06i
0.0321072402588128+5.30112834627726e-06i,-0.00731309756849444+6.74125086340408e-07i,-0.00731309755777755+6.7413063524283e-07i,-0.00731309757003695+6.74124220190606e-07i,-0.00731309758865266+6.74135078446475e-07i,-0.0073130956346969+6.7374843803325e-07i,-0.00731309759012309+6.7412685873942e-07i
-0.0295884493367958-1.2903633375939e-05i,-0.00764964457353478-1.9177261287513e-06i,-0.00764964456646827-1.91772964265922e-06i,-0.00764964455175136-1.91773074479996e-06i,-0.00764964458550854-1.91772525975497e-06i,-0.00764965011375642-1.91753285486336e-06i,-0.00764964452891257-1.91773170709805e-06i
-0.00845052887602805+7.70559845607394e-06i,0.00791928421830987+2.42274197920924e-06i,0.00791928423583155+2.42274386429982e-06i,0.00791928422916372+2.42274503008766e-06i,0.00791928423595927+2.42273790986756e-06i,0.00791927045575843+2.42225333027134e-06i,0.00791928433795075+2.42274747372242e-06i
-0.0155359484088013-1.80903507348051e-05i,-0.00418630743508147-1.30961309696625e-06i,-0.00418630743145341-1.30961118150587e-06i,-0.0041863074282395-1.30960738143678e-06i,-0.00418630744558322-1.30961089687891e-06i,-0.004186301054334-1.30930565224487e-06i,-0.00418630748835406-1.30961588079e-06i
-0.0394063474619947-1.90083726731543e-05i,-0.00221808748805271-7.44347028395077e-07i,-0.00221808748587574-7.44352729513365e-07i,-0.00221808748154498-7.44364995169112e-07i,-0.00221808747631162-7.4436270897064e-07i,-0.00221810006735934-7.44101679347203e-07i,-0.00221808738417056-7.44358278841241e-07i
-0.00800274998025566-4.65307968509504e-05i,0.0151159641289697-3.73219983375309e-06i,0.0151159641147134-3.73219551549883e-06i,0.0151159641322833-3.73220538864605e-06i,0.0151159641116417-3.73220976933294e-06i,0.0151159785796458-3.73095931022498e-06i,0.015115963989089-3.73221165177114e-06i
0.0564078684428339+4.29179591311219e-05i,-0.0193307571931129+1.3625122016609e-06i,-0.019330757184425+1.36251381605472e-06i,-0.0193307572121969+1.36251999790624e-06i,-0.0193307571947103+1.36252248605989e-06i,-0.0193307637210618+1.36171266620826e-06i,-0.019330757125003+1.362523466697e-06i
-0.0315954909397483+1.45821196980431e-05i,-0.00108611855946575+2.8932869778748e-06i,-0.00108611855550027+2.89329419174894e-06i,-0.00108611855457902+2.89330085618036e-06i,-0.0010861185498202+2.89329902040649e-06i,-0.00108611047396036+2.89332186493097e-06i,-0.00108611860248472+2.89330237089454e-06i
-0.0500072380576798-6.25493583606567e-06i,0.000736803376871171-2.29691288739271e-06i,0.000736803400098627-2.29690721660839e-06i,0.000736803396381706-2.29691374576706e-06i,0.000736803399474855-2.29690872677536e-06i,0.0007367877126178-2.29643599269664e-06i,0.000736803517544602-2.29691761351773e-06i
