0.0229306168438078-0.000541373827910331i,0.0517474800673099+0.022841697898634i,-0.024875190065265-0.0116402778750356i,-0.0190496343600348-0.00961914337507605i,0.0158476145982736+0.00326265126930697i,0.00176316162821901-0.00230168983076355i,-0.012645471189875-0.00319833748291722i
0.0143998343855178+0.00123336857509722i,0.00760436187337644-0.0150682042350353i,-0.0338601818838422-0.0126633219143148i,0.00473113787876063+0.00582228602001848i,0.0811882915035156+0.0168580607757828i,-0.0158176339595317+0.00552495830871557i,0.00357859863350207+0.00698744136956801i
-0.005655818648155-0.000541391577574168i,-0.050297367774488-0.0123055384481599i,-0.0139028329358805-0.0354618782861901i,0.00626406970657216+0.0181881851424865i,0.0372722423993642+0.00251862712551097i,-0.0400649732655687+0.00176073267705456i,0.0183133662054974+0.0216865877210023i
0.00752228715728314-0.000348576501584277i,0.0105076710892698+0.00803426729420367i,0.00555471170067809-0.0151777134521025i,0.0390518504725264+0.0128157133421566i,0.00817416392651723-0.0173485176894284i,0.0431047883793318+0.00709657498247281i,-0.0464671480130929+0.00163512777529992i
-0.024883300472904+0.000443233461842831i,-0.0418309550445281-0.0174858820867011i,-0.0124911720150361+0.0167157997884949i,0.00511771770855285-0.00196967135083904i,-0.0245342348648557+0.0111349783455849i,-0.0247474736381476+0.00671157004882822i,0.0113869892223384-0.00734819124415115i
-0.0244593162023719-0.00183973706640288i,-0.00911914756827218+0.016196725152208i,-0.00678361565066249+0.00168830647321687i,-0.0255244171988108-0.00750283223939477i,-0.0473417202835512-0.00455681978024563i,-0.0259024811870381+0.0031162615430856i,-0.00549634174374291-0.0109538017724849i
0.000249411691527754-0.00322468396573295i,-0.0298619226830002-0.0129778365711256i,0.0205889247066482-0.000721594807895735i,0.0468720935334627+0.00561513209962209i,0.00381917756652505-0.015258528775127i,-0.0363870380854697-0.0146246468219372i,-0.0574971702557725+0.00551064320124546i
-0.0113938486120966-0.000819509361990554i,0.0373990043344466+0.0264369395506145i,-0.0137590009177087-0.00555130614388499i,-0.0219004795568611-0.0101959042176923i,0.0165482860322773-0.00724072214618082i,0.0517713474103273+0.00442287329092215i,-0.0398045633192016-0.0102897719735172i
-0.0116848218322494-0.000337359390047696i,-0.00872451633661501-0.0138994562687913i,-0.000300057154773594+0.0266082842949133i,0.0157202272136797+0.000194297070069622i,-0.0843301774120357+0.0096636905039164i,-0.0283241442975539+0.000749156252627448i,0.00207010946396481-0.0223694978462919i
0.0437314367893877+0.00320776017643588i,0.0050318659465655+0.00118963601041437i,0.0248170905111499-0.0311680869249684i,0.0416481422121915+0.0157001565147945i,-0.0225888554594206-0.00148314583285899i,0.0488920110899191-0.00610936520906544i,0.0546861084513833+0.0287418007896276i
0.00792583419888217+0.0010978029153934i,0.00672927742327711+0.00172271873322569i,0.045167541746897+0.0232517009482681i,-0.0437230753235053-0.00636337852433339i,-0.0260618806558484-0.000974602597302783i,0.0306014720651209-0.00412223573678209i,0.0382692474752018-0.010408001415644i
-0.0152478677209619-0.000858496519129849i,0.0094798691380009+0.000585959687585295i,-0.00848241563027788+0.0288764806647999i,-0.0634184047314092-0.0151456185830172i,-0.0348721101866103+0.0155841854802145i,-0.0458094768854618-0.00723781458360755i,0.0178874802098329-0.0228390890953128i
0.00354874850837412+0.000431789887815703i,-0.00302197418747062-0.0118708595793946i,0.00334760317880626+0.0221023163100204i,-0.0351187561843686-0.0042301190710737i,0.00984513074800296+0.0052021181414395i,-0.0371055169551778+9.34551669040611e-05i,0.0205727288001343-0.00371601113226827i
-0.0206523330560314+0.00187677250434904i,-0.0413180583922926-0.0358661108254858i,-0.027999378531902+0.000761536340955829i,-0.0267939525488621+0.0165720592820052i,0.0352227168412371+0.0246396897216045i,-0.000743571264565372+0.00434935783736644i,0.0212547330022149+0.000262602801410001i
0.0203702629879557+0.00587543631061577i,-0.00880850172106219-0.0150362765241322i,-0.019070107504944-0.0243009729399008i,0.0204057974542991+0.0204133779848021i,0.0295202347997545+0.0112604005820039i,0.0801826806600283+0.0161670408668564i,0.0501506013620849+0.0240633861153682i
-0.0232695133158744+0.000371325115105245i,-0.0122901798752689-0.0149730549758936i,-0.0331403169549906-0.011252417802146i,0.00804504654305755+0.00749890150370939i,0.0473839684256813+0.0139550597687312i,-0.0165317784185204-0.00327709660022063i,0.00539539007221109+0.0114968928046032i
0.0236595784937655-0.000396232200520124i,0.0241433980044658+0.0326136306883316i,0.021868671893271-0.0251896527307137i,-0.0182965697572096-0.00236837985247626i,0.021109882409909-0.0210724166783762i,-0.0127533237399489+0.00015007340387509i,0.0162155160957219+0.0176212013118033i
0.0155211149925121-0.000904908714179166i,0.00145093286806561+0.00327332101961963i,0.0133316206942068+0.00230441062078699i,0.0382644577086431-0.00637405544871129i,-0.0187468254860273-0.00476001383039361i,-0.018767553456378-0.00486755765792003i,-0.00343849615283924+0.00265285488949204i
-0.00474595726506374+0.00254315023460011i,-0.0152195125878082+0.0184661707654002i,0.0214786078154012-0.033148605252236i,-0.0150051625749427+0.0143890963998469i,-0.0101090460573672-0.015722541034238i,0.0313373495056915+0.0120981718082161i,0.0650733572166499+0.0254073938542726i
-0.00803973766295106-0.000301243567476897i,-0.0201375314986373-0.031860786988026i,0.000109026353781397+0.0314203140313238i,0.0112760946609313+0.00366571854308625i,0.0300407189490927+0.00490111697023966i,-0.0272217021684907+0.00336264077600706i,-0.0334480117814983-0.0133063470539635i
0.0168582060863747-4.67014753666294e-05i,0.0104695195489912+0.000635057659386836i,0.014105975802901-0.0145011494009736i,0.0444590923022141+0.00833150007986672i,-0.0172579263798484-0.00550967606277594i,0.0259918720018218-0.0134648884617214i,-0.0110747288733647+0.00994252309920765i
-0.0109632343924396+0.000370439810084748i,-0.0195358977905341+0.00130476387956362i,0.0156164966265035+0.0107689960386399i,-0.0750467718559237-0.00523590589038086i,0.0489147822548683-0.0090980439107177i,0.00392671988804883+0.0105978979489708i,0.00804660919289172+0.00127325818961117i
-0.00134480151885259-0.00125777532952175i,0.00754500025181977-0.00687998085985492i,0.02402180727819+0.0182845932904878i,-0.0131222328472074-0.00247848841377547i,-0.00631262034197136+0.00514271809220759i,-0.00522746798191672-0.0119624502397033i,0.00246108742938986-0.0156963246642093i
0.0128668251160411-0.00126124294906921i,0.0219321457838013+0.0121512448290487i,0.00299242752258983-0.00423730728615476i,-0.00471806187093118-0.00736883150600073i,0.0192636950511172-0.00182088741574741i,0.0053683048912865-0.00492085845244017i,-0.0137914875578014-0.00290074701962706i
0.0132960167410921+0.000982414555025243i,0.00153368739960895+0.0128168181423028i,-0.023697269244907-0.0500140817707408i,-0.0114319664563766+0.0132772554606799i,0.0230893164182181-0.00171970740604298i,0.0301359332269866+0.00132920499847888i,0.019147250346597+0.0276648484037275i
-0.0202089134444218-0.00105867817639515i,-0.0569234419641739+0.0127710345401129i,0.0181972300463597-0.0238648261613111i,-0.00115937141054559+0.00704745147527487i,-0.0577510567023333-0.0163145718245688i,-0.0166480571107484-0.000849040544008603i,0.0352660885098529+0.0196992147388538i
-0.00604723375047025-0.000507991284690884i,-0.027761838348483-0.0152720606565983i,-0.0199806196489859-0.0151479037825183i,-0.000266861773981294+0.0115154448681876i,0.0608824829361023+0.000948830873019995i,-0.0137634742067076+0.00128317175766806i,-0.0244460107849709+0.0112973276415506i
-0.00870467866160855-0.00347915329802112i,-0.028380916958839-0.00846565381670295i,0.0222170143600343-0.0048925705947874i,0.00961984944677343+0.0134451496955705i,-0.0235613413988699-0.00574885867661311i,-0.0549959170466058-0.0107665644557796i,-0.0161088521806384-0.00718175290024244i
0.0274373304172895-0.00283965553204825i,0.0418251824214093+0.0247672955039752i,-0.00435129427765582-0.0257948879193948i,0.0139378073507537-0.0100022010987892i,0.0118698804018378-0.002934878707558i,-0.0239006397301699-0.0145044314200341i,-0.0136976942264437+0.00833478625602385i
0.0155458838375921-0.000969043587687551i,0.0399603996610737+0.0238586745611113i,-0.030077367017201-0.042709070483375i,-0.0122549143653701-0.00152599700204106i,0.0258655099746352+0.0109068612688756i,0.00383552480110474-0.0104930949069693i,0.0173332123507675+0.012381239837323i
0.00601347906257557-0.00222133752661912i,0.05837723818192+0.026155725588883i,0.00247048508883975+0.0100268705117568i,-0.0115269376707144-0.0158478792855841i,0.00958487351221194-0.0110792430042581i,0.0317022489855599-0.00344207507090981i,-0.0638376697249394-0.0182523492642022i
-0.00495050923429133+0.000356517926953214i,0.0130238444058982-0.00801181545251281i,-0.035356017716501-0.00440000143043141i,-0.011821848047074+0.000274685431855728i,0.00706483557205855+0.0227906815511755i,-0.0225505993490388-0.00962217397002523i,0.012962616710228-0.00173604400458086i
0.0250173138208187+0.000278905771461109i,0.0319174744370915-0.0131335940085305i,-0.00547049901922779+0.0220029732123051i,0.0325050670558688-0.00643829632552045i,-0.0235746581724477+0.016284852194967i,-0.00961896588836883-0.0177056320688713i,-0.0106232433053875-0.0105025313999341i
-0.0172453560259731+0.00158446167499839i,-0.0463124558787194-0.0327895759423066i,-0.0259939694259532-0.00629084848272275i,0.0344002034313+0.0165456478833938i,-0.00223619754572061+0.0177577360955146i,-0.0121064102744873-0.00719926885155961i,0.0113276255900649+0.0117704878074322i
0.00764413189870054-0.000335823549212987i,-0.0367025771946451-0.00453573975246866i,-0.0213215819351255-0.0342111796962235i,0.0878668961650702+0.0109534887941207i,-0.0112510251659011-0.00667210073996778i,0.00440970536414425+0.00273239367887336i,-0.0285854860443269+0.0237012269333125i
0.00616411820935703-0.00252038486626587i,-0.0111451272655864+0.0415130129073042i,0.025509213923943-0.0213219434619498i,-0.0614381315197051-0.0186812613750938i,-0.0053974063833615-0.0179574923173995i,-0.0644187442070935-0.00133765255687104i,0.045303998083069+0.0136755089071921i
-0.000184455959401239-0.000903834624282637i,0.0256377581218128+0.0466537557640115i,-0.0603763969281092-0.0752415626836172i,-0.0504647207435323+0.00217169270452613i,0.0499343209015638-0.0081853562174827i,-0.0124601175928978+0.00406078622509877i,0.00906480415053263+0.0358428166425137i
0.00424260685160332+0.00130467414159456i,-0.0436882912628914+0.00044383978324662i,0.0407633032142444-0.014799812450706i,0.00484345952140148+0.0145447346686652i,-0.0259369635432292-0.0147647477134546i,0.00893710484203221+0.00598457025195159i,0.0428221881144735+0.0141244206386688i
0.0285837101221092+0.00258886344371693i,0.0404992918688878-0.0074596542244351i,-0.0138121933026682+0.0130402512082772i,0.0260486324562154-0.00327071985865866i,0.0227554951150093+0.0143653370214984i,0.0371327925465897+0.00971516352538486i,-0.000198095210139189-0.0114373531367283i
-0.0206575077113398-0.00319701563474918i,0.00091525008263216+0.0333717010194869i,-0.0130754041092404-0.0397147350086063i,-0.0369402422449377-0.00303200483261033i,-0.0220041429300231-0.00163458498280273i,-0.0111988034443934-0.016488498450923i,0.0085507477722383+0.00813197376677562i
-0.0173148358380246+0.00118065603695575i,0.0140432507339141-0.00904384844353551i,-0.0346338117187124+0.016374280374421i,-0.066751973259474-0.00890412304266652i,0.012130715016024+0.0262324546591418i,-0.0163954723318926+0.00693805090977552i,0.0338916148671985-0.0138908851748653i
0.033089285901776+0.0026463180462928i,0.0347076722362994-0.0178019772510445i,0.00171755857424394+0.0215433155621713i,0.0699075261418102-0.00403029956457216i,0.0299443378177777+0.00214047987738795i,0.0698706436824953+0.00269987580875689i,-0.0442422525200267-0.00365248638684994i
