-3.91639961050394-0.000730230180937125i,0.974316940411847+0.0690135439208084i,0.989715125405542+0.152184413763386i,0.877216028356526-0.0694657486703411i,0.481545210333702-0.0200948738667653i,0.083204590663803+0.000934057380687303i,0.802584935672474-0.132274887103801i
-0.0135458251627853-0.00140940711179841i,-0.00178118682741755-0.00880274981791186i,-0.0144237833641171-0.0246439522012775i,0.0637071134158951+0.0158617798709286i,-0.00601372306102645+0.0140062777649298i,0.00332790019581673-0.000438431227899787i,0.0181619958416303+0.00329668219025431i
-0.0202945052250035-0.00516080373946701i,-0.0192999682101064-0.032090107367877i,0.00914805972421895-0.00337445080416563i,-0.0187749263608191+0.0196686294565777i,0.0136905587564953+0.00913563870786462i,0.0311109113655422-0.0015643856203915i,0.0363250554924386+0.00246737828609834i
0.00228387630923013+0.000936035805170993i,-0.00970384377805575-0.0200667919361852i,0.0218016259811211-0.00560477148445957i,0.0297041484726924+0.0190347609891587i,-0.0464369421155288+0.00420455939016016i,0.00869770331483137+0.000276055945465991i,0.0512973626030523+0.00351199330059779i
0.0339732755504625+0.00083892151652802i,-0.0668919745202422-0.0317169797642209i,0.0136797323608441+0.0108194649509777i,0.00843093405068137+0.0122866586053442i,-0.036616474008531+0.0014381381326337i,-0.00264663894228077-0.000396249063479588i,-0.00544841993833266+0.00867485371838153i
0.0593521169095315+0.00106179154828251i,0.0162247080174022+0.021427670782786i,0.0345417540259099+0.0115490630548682i,0.016867067138736-0.0079083417377841i,-0.0790161958294485-0.0111347255304559i,0.0196821276561206-0.000444677497531073i,-0.00095205406925297-0.0119151386105616i
0.0274009503803017+0.000433827725092713i,0.0615371812859926+0.0197097963722217i,0.0057050116404008+0.0300779690381153i,0.000642786693371411-0.0248614979914983i,-0.0185591135950423-0.0033585313911045i,0.0497427023530748-0.000124307693801615i,-0.00518223209916677-0.0207758393662657i
0.0141446812420684-0.00157445661716414i,-0.00838718407172774-0.0185747916706225i,-0.006452915927131+0.0248235781104584i,-0.0521094059198649-0.0197745590413753i,-0.0125792485689737+0.0169068979790363i,-0.0548198678276234+0.000212194857528602i,0.0538747068415097-0.00534802002413971i
-0.0143081810763014+0.000131637597237942i,0.0444108689662237+0.0345737367462145i,0.00520023919931475-0.0363310445134925i,-0.00557497531008891+0.0102280161566322i,0.0495608492506224-0.0121436623324008i,0.0268481995750529+0.00016389205640946i,-0.00233190001751161+0.00359875088509591i
-0.0450309248731032-0.000927169000587021i,-0.0101130698634766-0.0172498855175277i,-0.012882203551463-0.0142447868400998i,0.00872058745069083+0.00942908672228777i,0.0629253413104378+0.00537496578570649i,0.0194144622294564-0.000288643439568178i,0.0112345839607532+0.0153294116313239i
-0.00657337271518381+0.00114164242531186i,0.0240802568459294+0.00411246491669922i,-0.03228993172058+0.00889389412826801i,-0.0652115493295114-0.0233778523538909i,-0.0395111953524888+0.0165930256049162i,0.0316279604137734+0.00108446859290225i,0.0732983153590519-0.00439509559744642i
0.0125554381147225-0.000938565028898527i,-0.028801647578449-0.038487651213313i,0.00978074680546026+0.00128301035009405i,0.0336248506589472+0.00805317730007489i,0.0041591864416034+0.014196778561485i,-0.0519074624817043+0.00138564999188222i,0.0599489741597375+0.0137003851284928i
-0.0541702898030826-3.73793788167998e-05i,-0.0143040951824518+0.0193183401062646i,-0.0103935691220894-0.0223792104587528i,-0.0518845891146355-0.00440227216272524i,0.0775808941366835-0.0122513324092231i,0.0238611272645887+7.8922298951103e-05i,-0.0269018588481052+0.0202421173512865i
0.0420637792919041-0.00312635347859914i,-0.00838317726483606-0.013247659485109i,-0.00755777379198241+0.0594327310427175i,-0.0428677230777371-0.0129271595450946i,-0.0101338925429594-0.0107727267976715i,-0.0326537695656056-0.00138050728986699i,-0.0922679381704277-0.0248277135705234i
-0.0235126521658712+0.00245627320099349i,-0.0162568102345199-0.00273954379830762i,-0.0463543349267543-0.0280568070992067i,0.0475131169724641+0.0155510845073804i,0.0284071611868876-0.00158028392275001i,-0.0292326770025334+0.00109039579802611i,-0.038625532931811+0.0174501503586647i
-0.0268926690870901+0.00125980572318522i,-0.0341502681462455+0.00828459348634037i,-0.00137171757913484-0.0466555972197214i,0.0590018947800227+0.0217197916919082i,0.0444122421371219-0.00904418447010082i,0.0479608775044567+0.0002561673674184i,-0.0283450100843916+0.0264961291883599i
0.000561236196777973+0.000429764697922447i,-0.0102873389454196+0.0184591010040731i,-0.00138375646478235-0.0316745420084105i,0.0341653265155278+0.0137303404807311i,-0.0114921644319048-0.00167479850130561i,0.038820567181014-0.00132091599137671i,-0.0261805944340838+0.00156060387346004i
0.0391424626756712+0.00831838085148907i,0.0402383798711361+0.0378452071050541i,0.0258940777688784-0.017043940214571i,0.0406556198506666-0.00771878748993113i,0.0148421813641631-0.0189187202045968i,0.00965669471013718+0.00237603029167129i,0.00318258196864036+0.0105451455102577i
0.0697104234770425-0.00138510463928537i,0.0218159064121798+0.00895217164375442i,0.0312084660234015+0.0357145202481166i,-0.00618240189772501-0.0108122799127429i,0.00249925165353135-0.0147680578465919i,-0.058958363499258-0.000822560274696045i,-0.0574031485685667-0.0191269650556938i
0.00770700835082256+0.000385785967581914i,0.0448115860508798+0.029964332661653i,0.0739482917089084+0.00779584928790584i,0.0196013428059975-0.0069440567783512i,-0.0303395359334384-0.013272323580588i,0.0281818026289761-0.00115286001788976i,0.0218509810745209-0.0158047926894799i
0.00549257472995784-0.00700571582915194i,-0.0188517538852576-0.033307025121056i,-0.0109766366792435+0.0372915021764216i,0.0299959872855631+0.00018545429793517i,-0.0476903473710595+0.0165356608139042i,0.0171730906519809-0.00166229705430336i,-0.0355299505079116-0.0253219082697423i
-0.0134027105992935-0.00245752182537391i,0.00129917433259084-0.0023895667425836i,-0.0132118779448712+0.0115178635675746i,-0.0502381952388253+0.00177463493844028i,-0.0200594224522742-0.00174559972245373i,0.0120845185957765-0.000486598704070158i,-0.0151720525203939-0.0101899889867864i
0.00148414661720565-0.00731241529957953i,0.042703717456263-0.00848614651235312i,0.0155799863697253+0.0404243768851307i,0.0416417279613915-0.0107365527283157i,0.0333826259793325+0.00879830361311556i,-0.00918006979428217-0.00332907768686168i,-0.0595291900930179-0.0343744343422759i
0.0101651164272264+0.00362551467224523i,0.024350828472844+0.0398545769028174i,0.000184382684336362-0.0367456235230094i,-0.0164643045767562-0.00442269251968331i,-0.0321748862424236-0.00341474189282861i,0.0145347773791901+0.00156448988170441i,0.0486816099068055+0.00707494894563607i
-0.0116456948709164+7.43751562711832e-05i,-0.0186125097517907-0.0129343462286141i,-0.0106847341562814+0.0277069426524399i,-0.0543025011230159-0.0153657303915381i,-0.00632065267966305+0.00258531778871999i,-0.0310525063643591+0.000704883522121412i,0.00194661760952861-0.00250930018083441i
0.0263960723915741+0.00236368437984467i,0.0237436742154221-0.00124589645903947i,-0.0263244546969588-0.0297702477685539i,0.0969149159317278+0.0152073667892605i,-0.0172960996787019+0.0150029967267494i,0.00628499427575518+0.00181276403310314i,0.0199970780205731+0.00104141089700033i
-0.0171949148502779+0.0044488423069499i,-7.28507967961857e-05+0.0109342499845519i,-0.0184177947829971-0.0144097853870287i,0.0206588684848982-0.00306072115153765i,-0.000914581809268548-0.00618759899911691i,-0.00112924644930143+0.00221780971514369i,0.00272325041392003+0.0156229192096615i
-0.00460012104618447+0.00233203804486576i,-0.0216365797430855-0.016440740091361i,-0.00875579986832553+0.007082767421761i,0.00394729189781375+0.00570394682121486i,-0.0333457849364486+0.00170057579536034i,-0.00406671928530217+0.000776191403045987i,0.00728016312938706+0.0041098500431836i
0.0644350130868929-0.000440019724334568i,-0.0115813027119363-0.0292559538005215i,0.0126951819726029+0.0444299741746145i,0.0134462941984744-0.00870130682643032i,-0.00596110386891433+0.00591486867248823i,-0.0181719625312082+0.000107278155267584i,-0.0169537759996815-0.011906666863255i
-0.0291081206538854-0.00393555041421928i,0.0451151734840237-0.0108801243607247i,-0.0241004130286926+0.00829204141810688i,-0.00622558851519706+0.0029682173939435i,0.0787904407582587+0.0101981690672941i,0.0259978293265381-0.000340281340606207i,-0.0166712233053136-0.0134341161908813i
0.0443386553115829+0.00289972933551644i,0.0316433828705433+0.012391986007417i,0.0135632247694387+0.00725867679536692i,0.00724505931389787-0.0149726496244192i,-0.0404955573266701+0.00247549992312686i,0.0148279814093018+0.00162179709218205i,0.0465063033712552-0.00553066779749871i
-0.0354808599978823+0.00565631320594694i,0.015078783137701+0.0114352230894938i,-0.0336375548718723+0.0011803027755939i,-0.0276090816435612-0.0235407728917445i,0.0129113406590988+0.00565250653055824i,0.0335299905620424+0.000709446330591932i,0.0225671968943486+0.00961488949858383i
-0.0100341769398744+0.000744890941053177i,-0.0431621946701461-0.035727737170701i,-0.00433564775517006+0.0447254477194431i,-0.0249467858460433-0.00294182942877411i,-0.0567548602349532-0.000206791789860734i,0.0152926312106038-0.000192640232538162i,-0.0143544582295257-0.00434163001386821i
0.0146031232912015+0.00233534542641623i,-0.0305718134797471-0.0300396926456914i,0.0311304804978018+0.0471901446119849i,0.0239759139051058-0.00302505767355972i,-0.0304604200853331-0.0116158467165948i,0.00669625806657103+0.00034166660002139i,-0.0336467704017224-0.00181620135741892i
-0.00514579116634258+0.000589650476236687i,-0.0619055959971977-0.0463398250968153i,-0.00189968711372756+0.00813137365499095i,0.000803442933453117+0.00700903258389742i,-0.028091397523667+0.0121058484833144i,-0.0347807309313032+0.00154682701636679i,0.0582924397003601+0.0195337768951188i
0.00408171082166581+0.000797244066470021i,-0.0129575446146823+0.0190107231312652i,0.0385320233429707-0.00885835102367137i,0.0190527017381767+0.00170392123657213i,-0.000983627710878385-0.0168309011936716i,0.031442656612156+0.000310270740616545i,-0.0201313286866915+0.00579813522716044i
-0.00366280558852818+0.00211670495674143i,-0.0564238250166921+0.00860401025119193i,0.00627687708696216-0.0117010695983718i,-0.0548810815983582+0.00726382351267173i,-0.0192021672964394-0.0185538351964841i,0.00803207814547928+0.000863282068625185i,-0.023551974374755+0.0154293435831915i
0.0185362644421141+0.000262064328283607i,0.0504432213424154+0.0388035843243717i,0.0409187682908985+0.00303206656152898i,-0.0316070214165612-0.0147754376301509i,0.0115279289355657-0.0186603627215783i,0.0294249193323277-0.000153669348815171i,0.00427576159174032-0.00774115338935803i
0.0140539605957237-0.00364632712094304i,0.0309923228687513-0.007548690613868i,-0.00519373742046898+0.0391673460346645i,-0.114920297298962-0.0177818643676818i,0.00178088814605643+0.00197854739125317i,-0.0103786668441669-0.00132924088288194i,0.029016795400138-0.0183208984299286i
-0.0168244544458118-0.00372445190358734i,0.00780587736050305-0.0383493724323386i,-0.0335247133653149+0.0256934528307514i,0.0646592252905375+0.0177713596726398i,-0.0186333880139203+0.0126439874520081i,0.0884063529901344-0.00133679931813669i,-0.0562011001688448-0.0197635061520482i
0.0569654194805965-0.00772262120224674i,-0.0269300330843001-0.0648642698507668i,0.0649688402976134+0.0787061388713648i,0.0597614877459731-0.0035173582684386i,-0.0279841854228285+0.0125068460273645i,0.0443654527954753-0.00301241936966522i,-0.0138449237141878-0.0260874407357604i
-0.000304378630830313-0.00171939011725579i,0.04777777857243+0.0100798206635956i,-0.048466171888157+0.00419404337329859i,0.00119547193175477-0.0108901747355664i,0.0321896717304519+0.0123297294365841i,-0.00697217004206167-0.000545339250710702i,-0.0353915439729125-0.0177342897546875i
0.0307884241342469+0.000632323076308992i,-0.0308025269582143+0.00901917564996601i,0.00758324367232041-0.00366629941444137i,-0.0241235233658197+0.00627338308402102i,-0.0328697193134186-0.0145716810186059i,-0.0534364069616913+0.00119165026413799i,-0.0295070982690993+0.00442860792619789i
-0.0236614453514166+0.00273836976842883i,-0.0133761701492107-0.0407171364189543i,0.01326055309661+0.0271687421869827i,0.0390796819502204+0.00253491578093278i,0.0406569871955544+0.00234985697834403i,0.0227305949392837+0.000384058736208115i,0.00963814150938992+0.0100909917847646i
0.0078404305551555+0.00616848392878595i,-0.014455685798373+0.0141936275524653i,0.0415112049190939-0.0216246797932622i,0.0772723509058604+0.0150328789633684i,0.0266200951606006-0.0235101926163892i,0.0248057982706847+0.000691527513991069i,-0.0395184478573222+0.0193273047486659i
0.0339899002852458-0.000630770372800871i,-0.0265592458503028+0.00681444364444855i,-0.0108832982123853-0.0107380584781664i,-0.0730162874689907+0.000302650226235764i,-0.0532695029457395+0.000362872241619854i,-0.0902932435247977+0.000540825466380723i,0.0338665220402566+0.00197173641038332i
0.00746679379688272+0.00613452722040188i,-0.0204599131519022+0.0147247640130468i,0.000368242184123757-0.0291410576457945i,0.0601169939597231+0.00961978935229255i,-0.0364248103298888-0.0087661819412137i,-0.00450487500591526+0.00123516836274477i,-0.00337063790962777+0.0182094049648764i
-0.00361652842948489+0.00239974254357841i,-0.0212935231880698-0.00389179895040086i,-0.0104848684965091+0.00842381614498093i,-0.0261341522138329-0.00620406200828511i,0.00568323652678282-0.00596471820446116i,0.00194798309894375+0.000883069552847862i,-0.0129734791395138+0.00903266167926272i
-0.00630887439761643-0.00161273021901214i,0.0084264060740159-0.00549513267797108i,0.0132745427765372-0.00187679223403285i,-0.0162789580684361+0.00936724818008545i,0.0196272507941147-0.00249028891061132i,-0.0274634415565771+0.000570706017393532i,0.0132524796027273-0.000600078847362817i
0.0203841162193461-0.00248318958118596i,-0.00959526691608464-0.0112722345809804i,0.036230948229251+0.0259627701343747i,-0.0110112184304694+0.000653882385807435i,-0.046539203193554-0.00342850655620872i,-0.0187455050947208-0.000263291467672517i,0.00474200574298503-0.0126647988298638i
-0.00173668474190719+0.0033045212466721i,0.0178887497008949+0.0350173434231447i,0.0162515915820858-0.0456791519347988i,0.00613983507118087-2.04377837148928e-05i,-0.0234397100620224+8.01169931327053e-06i,-0.02885578543477+0.00252249680611112i,0.0711422446148706+0.0122314840240968i
-0.0013170738677559+0.00701128317776345i,-0.0108440422224774+0.0182978314427519i,0.0386773044176588+0.00948253546820995i,-0.0226401187868052-0.0128266456916844i,-0.0290636295621233-0.022561245672874i,0.0096558959661491+0.0023500140475646i,0.00854298433392579+0.0117768464467123i
0.0366014609817062-0.00177189894044234i,-0.000142894577194708+0.000123433260443511i,0.0316607522063136+0.0264368208111182i,0.0208934190742299-0.00634995720564936i,-0.0576859578998428+0.000640166831205198i,-0.0333887039817181-0.000613945365604948i,-0.0190460710474485-0.0222906124296588i
0.0392984664728674-0.00564916648855788i,0.0519459367275996+0.0370839648085642i,-0.0359839589847754+0.0136557713763421i,-0.0458293992295594-0.0179293291133891i,-0.0147275265353493+0.00347797217415504i,-0.0714428593965181-0.00130026582464295i,-0.0782915625784644-0.0407536410442892i
-0.0397745212122828+0.00201980563215729i,0.057418214607709+0.0452288495944146i,0.0149720454669481-0.0453771894935546i,-0.0992688025098311-0.0132938257764666i,0.077036708980391-0.00608385543828779i,0.0170725960721644+0.00115451805087324i,0.10936288419693+0.0202035845195055i
0.00965390200523486+0.00200499041460284i,0.00459244837590349+0.0407446648051896i,0.0538371060884496-0.0271632744596496i,-0.0535641080807942+0.00293016835772869i,-0.0201048634423435-0.0247169050668489i,0.070995785917536+0.000262106201675033i,0.0306424833391211+0.0113026004159725i
0.0483468746999397+0.000633842804007873i,0.00392497731613277+0.0325728237704918i,0.00377977876179275-0.0306652077184597i,0.0202458085506326+0.011105584892308i,-0.0242382490279134-0.00850807583959911i,-0.057544792998159+0.00011017086323949i,-0.0282238894326617-0.00408516614990935i
-0.00861973274008947-3.02688781169454e-06i,0.0303524851395505+0.0326312360424358i,0.0152932474946823-0.00978511567989803i,-0.0274561991797876-0.00457673017513856i,0.0433304361441528-0.0159769274924182i,0.0278058013382017-0.000998390362387258i,-0.0256757266315378-0.0031418184872368i
-0.000446278136922893-0.00565932715126458i,-0.0594139367155434-0.0710365434976937i,-0.041843047054181-0.00517111161932752i,0.0594333686924461+0.0305243118095299i,-0.0220226019663448+0.0396759845334325i,-0.0399398045927429-0.00139285277899651i,0.0309395119934399+0.00177152127250076i
0.00444215032316873+0.00225373018902418i,0.00812754504898076+0.0381014501963217i,0.0197593229949233-0.00177815647624238i,0.0334191303342088-0.0052996690674548i,-0.0606239217953089-0.0175196992231326i,0.00605040646881134-0.000410629366477051i,-0.0596758762710313-0.010798537532571i
-0.0212529183947873+5.39670228066804e-05i,-0.0237935282138099-0.0318254651132348i,-0.0426328054769892-0.0214929619899764i,0.0284445828691969+0.00806012026050852i,0.0613991710315141+0.0235325827342858i,-0.0448827757234709+0.00164012271778188i,0.0410596044088371+0.020922441632316i
0.0119128188206481-0.00745293314566815i,0.0392910990022076-0.025843259410007i,0.0518086311510414+0.0627772431885872i,-0.0244520304539268-0.0141338008579728i,0.0114229373497091+0.00594927769615975i,0.0358750426577262-0.00345551723218975i,0.00998393846952315-0.0332948048284661i
0.0228207701731451+0.00147134313904732i,0.0106165614970967-0.0255936357945251i,0.0152925088303481+0.0355814602898334i,0.0192931582855176+0.00538454417185734i,-0.0374073249865956-0.00321647115753022i,0.0278732618600269-0.000503268103096449i,-0.000276463268420862-0.00973335862412636i
0.00680304518432161-0.000683105200099686i,-0.0013397516000598+0.0136009442679634i,0.0160253132540252-0.0145424184334543i,-0.0343371246303145+0.00570160733689042i,-0.00721560552451573-0.00772879309027971i,0.0416228687429538+0.000236282297305273i,0.0169220240129454+0.00276709361533577i
0.00604100748248444+0.00052387310250004i,-0.0321077901349974+0.00886258691943573i,-0.00240494631900558-0.018154240543443i,-0.0510385221641285+0.00943713660329179i,-0.0255317031710881-0.00897510144408992i,-0.0580708014484389+0.00123581990500105i,0.00567510577995513+0.00991966628314088i
-0.0430348632290691-0.00213565651777372i,-0.0324857829286354-0.0297767289741306i,-0.037338672839522-0.0352411818783703i,0.0545941111621032+0.0169224709904831i,0.0243319411141382+0.0294715900262452i,0.0387031900715162-0.000206777848484008i,0.0437675428732709+0.0179196986366098i
-0.041217096929366+0.00228855264714447i,-0.0086620253315452-0.0298820106506768i,-0.0444890474553966+0.0135327894261419i,0.0815884827677988-0.00296304763319538i,0.0159033485330238+0.015270479240859i,0.0945820325150949+0.000280166009786077i,-0.026719964674558+0.0054793630270014i
-0.00932163711662884-0.00538982215773568i,0.0508990004704656+0.014655867048701i,-0.000870002999332249-0.0053893761328211i,-0.0150564823915767-0.00511723976173996i,0.0741668005477928+0.00496481181901498i,-0.00342421447381964-0.00157367465803732i,-0.00685109234766838-0.0133371530325368i
-0.0404560164929655+0.00033773281470916i,0.023262440664735-0.00415308545624516i,-0.0118708680383487+0.00646283684135322i,0.0110576228923938-0.00613659286813963i,-0.0196197047675407+0.00775404975595837i,0.0830195129155226+2.82104981919045e-05i,0.0254528781757484-0.00376574908216866i
0.0183849900749134+0.00105377045038539i,0.0122769628409795-0.0113028042898233i,0.00696765802177638+0.0365209322003837i,0.0514873378724077-0.0153542157547323i,-0.103247718965477+0.0123418984114567i,0.0509052744116792-0.000291163485910313i,0.0150715822850683-0.0216083285843605i
-0.0379026056270741+0.000457579809893314i,-0.0162173057090216+0.00152353179583949i,-0.063194888198006-0.0355647302494103i,-0.00607423202636073-0.00131246012261056i,0.0276487906073868+0.0158302398324058i,-0.0196926832567036+0.00149661891553566i,0.0206573860721155+0.0191933076084155i
