-2.50685697010972-0.00618755866574137i,-0.341895719960711-0.0199452959714011i,-0.301843176468962-0.0177925692350115i,-0.551319838349211-0.00211794444270724i,-0.534952181768185-0.000446522533685243i,0.550961384269613-0.0725958681318361i,-0.664627185168871+0.098689050618172i
-0.0256725894418784-0.000226976703242503i,0.0214217248194184+0.00675499777982764i,0.0430215389088501-0.00342775008757205i,0.0792780381154912-0.0133305503847928i,0.0207268353184861+0.00379698628755679i,-0.0558481878446437-0.000694521704884474i,0.0403536684192176+0.00836506745223439i
-0.00225360221519583-0.0022884867671544i,-0.0349039675326738+0.0272139430088281i,-0.0228524295015414-0.0367959775522875i,-0.0279302085181091+0.0147756576446756i,-0.045412449523654-0.0206428556485949i,0.0145942323014064+0.000806252529387843i,0.0417817321264402+0.0258155762213238i
0.000419248931538824-0.00120267726005083i,-0.0460394689770372-0.047349073866327i,0.00323257206682315+0.0380316055760334i,0.00247034178565458+0.00292960390015715i,0.0465986296210646+0.0135549283329005i,-0.0026380010405529-0.00704773162539389i,-0.0517227532353883-0.00401742049530939i
-0.00975070144629493-0.00193638227477819i,0.0516544542056939+0.0195195148496073i,0.024064139346736-0.0243459978894637i,0.0512708983626907+0.0128086765988518i,-0.00467222675867569+0.0017593694524021i,0.0126418625273278-0.00580865398378305i,0.0221234514105009-0.00205093325557139i
0.0267939237733328+0.00018027713234702i,-0.0748125340270254-0.0123044343075614i,0.0109664652915245+0.0420630606602972i,-0.130336614687824-0.0141812056064821i,0.0353926974522228-0.0098147999128637i,0.0370025223009258-0.00679559453030706i,-0.045766250817025+0.000658631184280836i
-0.00593214662607323-0.00021347799891922i,0.00088728175848215-0.0161580631136707i,0.0474427149477374+0.0224239473544552i,-0.0243119837693809+0.00243116851131901i,-0.0237442607736844+0.0131847965049576i,0.00873011778801676-0.00836246459371052i,-0.00306922367841354-0.02420189116576i
-0.00658055452436176+0.0010102886601192i,0.0215493791404125+0.00994631085149665i,0.0171967815970122-0.00762333228689531i,0.0115229241850083-0.00719562476906539i,0.0353453928436157+0.00282433575203232i,-0.00390418073363465-0.00156218571508043i,-0.00398493892022574-0.00208407060266008i
0.0227847377148801-0.00102988160030702i,0.00862436092769737+0.0174436311449891i,-0.0390721493437857-0.050268080774256i,-0.0136783343083483+0.0181736655926701i,0.0270181497031377-0.00605125474748055i,0.0274415080415463+0.00341259487550203i,0.0214310099127467+0.0204083790261177i
0.002489834253036-0.002652980631098i,-0.0590323930413689+0.00510037174256267i,0.0205437916346341+0.0125940058783888i,0.000683151206723385-0.00646505014290781i,-0.0776860695822076-0.00763278600266272i,-0.0249368684964764-0.00738295122251609i,0.0111036857500245+0.0114032321835095i
0.0130529161642556-0.00298820598290843i,-0.0675624674986292-0.0318196893013922i,-0.0333261881084866-0.00957746188992425i,-0.0255123522047279+0.0239365247157085i,0.0687866242327176+0.00787257491698303i,0.0120659306608467-0.00923970425976379i,-0.057315818451337+0.0170071614873347i
-0.0132733994587445-0.00327002040368694i,-0.0213763753595606-0.0182272756637087i,0.0548673151761369-0.0038624635472923i,0.0236267146206005+0.0335392831162035i,-0.0120317681324506+0.00704576475588416i,-0.0486974338268449-0.012801186837183i,-0.0118187710044178-0.00880179696909462i
-0.0295729190612758+0.000924287692003207i,0.0687379470628562+0.0336804291301899i,0.0263815903429356-0.0558084210532078i,0.0559027470972897+0.00166322485985741i,0.0614810010008879+0.0023616907597747i,-0.065171777544294+0.00342874664477155i,0.0544539604663706+0.0115905428534733i
-0.00647273734680047+0.00192745358985014i,0.0423722328836693+0.020618511769428i,-0.040256383864248-0.0626514754224319i,0.000151772816342603+0.00720082816816111i,0.0344409113329795+0.00990327831675804i,-0.0155075833090259+0.0060658059321964i,0.0394982559216523+0.0111900458216836i
0.00138145428451107+0.00242155642989711i,0.0707313066684785+0.0609102738572817i,0.00407723503305143-0.0264352086251187i,0.000839619840480078-0.00770150447102306i,0.000354722853531305-0.0117680075973973i,0.0466668170114748+0.00105141583985476i,-0.0480916678161109-0.0185948501198819i
0.00110783692846514+0.00252357083382265i,0.0199920668057163-0.0320979896056728i,-0.0573427306468382+0.00166426273624663i,-0.0206978915074885+0.00241717311331274i,0.0131783005136808+0.011101373866222i,-0.0284485089024464+0.0081450368140271i,0.00911364560487671+0.00152778919734753i
-0.0180563230165688+0.000352529567441928i,0.106048426285326-0.00555373989442358i,0.00345604014942557+0.0102483006449781i,0.081379999894894-0.0163430813388811i,0.0190363230556469+0.0247136395814592i,-0.0531207244259491+0.00303983083561639i,0.0609813266328662-0.0177201904699307i
0.00266121820997408-0.00190987570561586i,-0.0516086374188346-0.0365622335326092i,-0.0546467532478919-0.00660385855535314i,0.00379711176736573+0.0133159171731649i,0.00428485108086689+0.0193304169693833i,-0.00923577110683493-0.00273598324324587i,-0.0168742277805534+0.0101614087520106i
-0.00460182048387023-0.00339535388431724i,-0.0303510814994833+0.00429612166305582i,0.00990119507312897-0.0378743769626879i,0.117004771010037+0.016695695130275i,0.0173885147740416-9.85237689828762e-05i,-0.0060524874592339-0.00168082544011626i,-0.00930278806276909+0.0261081136443765i
-0.0303155516358704+0.00109274130324278i,-0.018825386044049+0.036048197108105i,0.0566089985472235-0.0257588306549005i,-0.0267514631843503-0.0198594393187155i,0.047796213655789-0.0144283339229778i,-0.146419142801189+0.0011396975260589i,0.0756974510997144+0.0251879492597423i
0.006948238039682+0.00122744597717552i,0.0189219080206465+0.0677038044277758i,-0.125355592729758-0.117240505698884i,-0.0430384230805559+0.0166353503155108i,0.0624817151810156-0.024597090661719i,-0.0445069054542182+0.0152398960808707i,0.0146981314872038+0.0507957616589678i
0.00252218199726223-0.00313879960476422i,-0.053499788266028-0.0150976102405007i,0.0728282901377117+0.0214301498894285i,-0.00209203097461456+0.0132890234519763i,-0.0302559428923549-0.0116638849785303i,-0.00680263958658366-0.00905303444870454i,0.0326285650078999+0.00820816844164822i
0.00592090311948735+0.00128525019148814i,0.0495311554350092+0.000313635076266056i,0.00115877853010668-0.00575597739306078i,0.0459193004208359-0.00993973346032572i,0.0308076947852759+0.0106846129134381i,0.0414560704223096+0.00833089648124652i,0.0341633039035418-0.00784664050460116i
0.00373620820244828+0.00132660954405382i,0.00395342593827937+0.0245818342446962i,-0.0335600344171098-0.0260144004664435i,-0.0477003653699145+0.0018802433324109i,-0.0517312076073988+0.000357317767182015i,-0.00101920504824216-0.000578496925785468i,-0.020545870461693-0.00642314276680565i
0.020068672139244+0.00326037346961856i,-0.00612311670047331-0.0188387278506397i,-0.0717424264577472+0.00269859135018747i,-0.0854610598115276-0.00520967748520387i,-0.0368460659636733+0.0182728894912694i,0.0116653051298208+0.0123445485718707i,0.0193577031948069-0.0174740906893075i
0.00531535659572768+0.000776001094444817i,0.0497284842493173-0.00929097400670946i,0.0310838124998577+0.0267671248274661i,0.0724612175489407-0.010833408701925i,0.0446421848788472-0.000375440897923498i,0.0869331197606774+0.000679305168396237i,-0.0165358243815032-0.00630093550766812i
0.00511147395394159+0.00218173187243739i,0.0121438262119769-0.0197246567335662i,0.00326950440798994+0.0251234608770965i,-0.0609988413525208-0.00928739066952888i,0.0257344052815891+0.0151227620981422i,0.0225801316540939-0.000517687758442423i,-0.0057507745136625-0.0226163558685076i
-0.00945139823224199-0.00153618202955557i,0.0457983617271926+0.0141015524975195i,0.0295189527447441-0.0138535403431454i,0.0380349075287485+0.00324269796042368i,-0.0221517357175403+0.0135782098966536i,-0.0216502416205575-0.00446722561993622i,0.037059400552382-0.0139493865635751i
0.00418361003986147+0.000438877492151616i,-0.00669614756442472+0.0135188688943859i,-0.0168847395160294+0.0097766401926788i,0.00791116720720841-0.0195531927971794i,-0.0405554896568567+0.000264970062980229i,0.0487918013127063+0.00313379507840881i,-0.0175883334553362-0.00490092048332515i
-0.00310338086373877+0.00272894414074257i,0.0169650820680239+0.012661991538375i,-0.0431554209579521-0.0366409651174625i,0.0120383663918795-0.00189336177090723i,0.0561106131658721-0.00832284477917459i,0.0213319767971524+0.0108717202512667i,-0.00558960404347608+0.0210908581388932i
0.00887438785221664+0.00133483958328859i,-0.0337979238912463-0.0328194658087341i,-0.02021349388611+0.0484077691735083i,-0.045934589045828-0.00126461936067519i,0.0172089338238565-0.00100574905527313i,0.0725358050553344-0.004476797951999i,-0.0988985231809954-0.0145457854408719i
-0.00768860521099737-0.000727261085301743i,0.0269761511472486-0.0150454139390591i,-0.0426468304339224-0.0287448723991588i,0.0111708158680993+0.0135877401930561i,0.0179684435566388+0.0326080134292317i,0.0022162936054279-0.00382088083472085i,0.000641423198458011-0.00994927820537571i
-0.00107105693854013+0.000843902591387631i,0.00447592309670067+0.00163141448161683i,-0.0410485653030535-0.0309873286182457i,-0.00619337261771997+0.00864876703420361i,0.0680854479732395-0.00843624599906981i,0.0361124576325175+0.00552741495303251i,0.00837680255765403+0.0259165222434123i
-0.00208877692477969-0.00456375596533272i,-0.0276260930109874-0.0147290620505005i,0.0782590731334005+0.00824053286015451i,0.0619430543389956+0.01257625568023i,0.0120010938342885-0.0109305918512407i,0.0443504314272673-0.00296578745320667i,0.0933075375562868+0.0237505890012114i
0.0107190080749431-0.00121000657986377i,-0.0806141578307347-0.0538268171902224i,-0.0267072165585426+0.0522181659957005i,0.0347265702398112+0.0147796915658142i,-0.0860392058656405+0.00746318854663444i,0.0363504910515247-0.00679573516708714i,-0.133934690835979-0.0174682675929104i
-0.0121513015056062+0.0022352755376628i,-0.00837562710333299-0.0405736410342641i,-0.0679485171344248+0.000842233500951063i,0.0577562275494581-0.00426633840329191i,0.0535396287216538+0.02362494783676i,-0.0877869732520681+0.00997857856120355i,-0.0289213248580397+0.00325961470463963i
0.0188401731694615+0.00121568764406184i,0.00173212279812776-0.0307856338475458i,-0.00364115642908552+0.0465714841955006i,-0.0208190064873377-0.0180756469980746i,0.0277401854146467+0.00331179356418796i,0.0741661457423844+0.00405472550807743i,0.00997090012520908-0.00581043000576978i
0.0018603611069629-0.00122405309276169i,-0.0271814638037539-0.0365558539780794i,-0.0246372559796529+0.0153358320895661i,0.0153200286864381+0.00303443649388209i,-0.0308261524582054+0.014463747122367i,-0.03161682625084+0.00120549156107111i,0.0192069616941364+0.00297878618546353i
0.0078602492350899+0.00492359112837212i,0.0445158771035552+0.074855999057672i,0.0382033881346856+0.00738134189146462i,-0.0316021775212649-0.0307913768751685i,0.0119457036227783-0.0495393028951696i,0.0326566398568703+0.0100015413535416i,-0.0285370114246668+7.52461374555185e-05i
-0.0232952281274844+0.0018572704673432i,0.00863921463747737-0.0245450853373654i,0.00740068569849026-0.0131195575465411i,-0.0121424588457026+0.00850274695462383i,0.0582642609560228+0.00984819892970598i,-0.0285396755225947+0.00539979397696856i,0.060736512767288+0.00639316004440873i
0.0259875564410511-0.00026341718291899i,0.00615347995847118+0.0285601698679487i,0.0339421124286347+0.0326861745717883i,-0.0430439315130762-0.00219129255277592i,-0.0993056356786912-0.0213693106936055i,0.0849060702714059-0.00603329602397255i,-0.0535996356131073-0.0272981785406059i
-0.00334041584430107-0.00173039479642754i,-0.0525676681482706+0.0218120663653974i,-0.0943551429826432-0.0750226241353575i,0.0161598630317708+0.0176312816328792i,0.0180495795761809-0.0126954062528943i,-0.0292480149160827+0.00645563152160314i,-0.00955374987064037+0.0522820072185707i
-0.00438694632100325+0.00157212047885567i,-0.0244024037656351+0.0140538327887991i,-0.0194723939032877-0.0384447819034352i,-0.0167973617319607-0.0106975436048937i,0.05822722822054+0.00836386964348235i,-0.0274439863686451+0.000753478471169069i,0.00366833198952794+0.0170846935869771i
-0.00697843782344795+0.00184648190850509i,0.000219292009380182-0.0244921843383979i,-0.0229488261169791+0.0111965564059726i,0.0417841794479819-0.0102288042028122i,0.031064789602027+0.00883933082889073i,-0.0592311875504909+0.0040178802252138i,-0.0105055987248648+0.00735276867220618i
-0.00315049057371734+0.00177191597372521i,0.0608921865406351-0.00699814756447306i,0.0200831774537125+0.0293001873847056i,0.069689437632374-0.0194627411738215i,0.00900677011685619+0.00797651503037847i,0.0444256896986496+0.0027066603808859i,0.00137005705242375-0.0172019022975744i
-0.00165581202403295+0.00273175318869295i,0.00582490773699531+0.0240966586319477i,0.0330467380570812+0.0325697721966386i,-0.0432669465114057-0.00766842878285117i,-0.0267724405626815-0.034074729365535i,-0.0452006580873495+0.00214375690982381i,-0.0512288789661321-0.0124287533660735i
-0.0166973731153592-0.000123528021665584i,-0.0172519150750376+0.0136560354900962i,0.0593434776709742-0.0253952905257561i,-0.0628657249623363+0.0217466728783664i,-0.00943278148901385-0.0109160989200166i,-0.122834313638698-0.00629079873140959i,0.0397502771349018+0.0035974629201134i
0.0109631840961749-0.00198414028031564i,-0.0510969756546439-0.00474799371808356i,-0.00959909591417701+0.0219560127858913i,-0.0118324562989634+0.000147810499910155i,-0.0776217840918969-0.0118121666539051i,0.0221423374697656-0.00293094715640407i,-0.0158700431045844+0.00515736186906372i
-0.0307820404893217-0.00167730015503221i,-0.0395700102852215-0.00321054939599181i,0.0245754206437733-0.0115270654490307i,-0.00981272178693705+0.00939122982492674i,0.0348322489400563+0.000767821628150899i,-0.111719407925987-0.00890307621272945i,-0.00739489419819885+0.0133714260855304i
-0.0323511513787101+0.000480220447008543i,-0.0273064129691583+0.00548423458124409i,0.0143037017351968-0.0573547167826947i,-0.026674790437294+0.0305535209442398i,0.131908006916163-0.016569246962461i,-0.0808224937908641-0.000354258682115908i,-0.00338927767782422+0.0366671076201595i
