0.0331598162207141-0.000450026530598811i,-0.00230648849135972+0.0101555610141563i,-0.00442989274127216-0.00602092976695518i,0.0119698883836611-0.00492830439686386i,-0.0053904099404266-0.00555816140006823i,0.00666751601416807+0.0022904174076627i,-0.0231074938853865+0.00327560770568448i
0.00180236095528466-0.00263324812279332i,0.0446283182747287-0.0197088378941526i,-0.000841825545845499+0.00577626518160214i,-0.0221862388292885+0.0123891685376061i,-0.0101654232930093+0.0121844375641713i,-0.0279584630427069-0.00335683989830276i,0.0720147337950119+0.00307241985591915i
0.0648875088725352+4.92055681710025e-05i,-0.028995184711079-0.0178417572193834i,-0.0435684329157613-0.00624703078593721i,-0.00797020273429366+0.0167329510261984i,0.0272692353542988-0.00770487157987319i,0.0155456774084646+0.00294780907330485i,-0.0473794557770938+0.0112757245504731i
-0.0314364186412105+0.00184323530065914i,-0.0132809325261561+0.00937724765574568i,0.0639743338472531-0.00494579080482475i,0.0381690877427884-0.00145990247520461i,0.00213870702010557-0.00680279262675631i,-0.00759323047428058+0.00613125977971218i,0.0167186082108775+0.00270800035891741i
-0.000138599786665359+0.00120444579122975i,0.0123150401824066-0.00222442234243673i,0.0126083832049656-0.0115824083398219i,0.000979995150089874+0.0211108666632507i,0.0275027234343836-0.015977819002258i,-0.0104864401651451+0.00709922582493516i,-0.0182725082272815+0.0117328729722066i
-0.000759535175165047-0.000636979813927281i,-0.00947879441138025-0.0155239435404667i,0.0060959979647293+0.00818251552336104i,-0.0225000835969324-0.00426606863359922i,-0.0109399807538525-0.00400730471615865i,0.0074530765715536+0.00827517002803927i,0.0067848230541867+0.0160010935909587i
0.0189940437631749+0.00134404844461055i,0.0352189825582896-0.0128320149324844i,-0.00773538980116529+0.0294503204826485i,0.00498972241377868-0.00736902064776912i,-0.00238636885317971-0.00721086024606596i,0.0383159580072646-0.00321929366374423i,-0.0253780363111123-0.00697521952019449i
-0.00362329732607874-0.00122513011123109i,0.0089202652003278-0.00523114624390394i,-0.00380588730940743-0.0238529295663068i,-0.0173536422558657+0.0166421945031162i,0.0263360529847004+0.00208153004549204i,0.0104174179082981+0.00233652640058416i,0.039497923630967+0.018247318721454i
-0.0223680341146297-0.000244377517258413i,0.0100025812265057-0.00744774429414563i,0.00866319445887139+0.00821490236016042i,0.0105096793887544-0.0124185301532314i,-0.00822938393802275+0.00944624807202926i,0.0185854319766922-0.00256779053034228i,0.0412490941324575+0.0022147901371808i
-0.0155638555301665-0.000322383431038478i,0.00307419876758797-0.0183116060063013i,0.00738995936294191+0.00550960403762106i,0.0277864468174049-0.00358502674792663i,0.0169189285328055+0.00480555427340657i,0.00814233478746941+0.000951228689411957i,0.0324805417741786+0.00901301379289183i
0.00343039642982422-0.00198824840335806i,0.017143266095444+0.0194898567919273i,-0.0364995562811975-0.031619981411174i,-0.0139535341223197+0.0149162517121596i,0.0216589700891755-0.000518948896342558i,0.00584498854139187-0.00181990604345717i,-0.00841182615032053+0.00435652157870177i
-0.0211452416268928-0.00151544813802778i,-0.024133858174275-0.0165232793683329i,0.00134458185404541-0.0224189646050862i,0.042126000904139+0.0254171667631424i,-0.00288644746356355+0.00150954936725565i,0.0104859506570545+0.00690704189461867i,0.0172580359253346+0.0182596462388432i
-0.0138035304590122+0.00120386180713647i,0.0234224996701846-0.0134218300318096i,0.0381341276552984-0.00564060304629906i,-0.00223295791238514+0.0415405357785354i,-0.0053229681439638-0.0119184748831043i,0.00212570114039975+0.00404638237086392i,0.0148710930148069+0.00276046825022929i
-0.00477977447582323+0.000429198974000645i,0.00364907336035089+0.00493646861839668i,-0.0201093358260526-0.0108620844704498i,-0.00550613615758433+0.0172917271119931i,-0.00937745243894567+0.00303165958135966i,-0.0139788669585085-0.00703386902660872i,0.00622787192617433-0.0114597199494454i
0.0347960936264005+0.00135226769620359i,-0.0109516733152257+0.00359540480386968i,0.0204766647899297+0.00633940337222303i,-0.00894297162531267-0.00401048858332313i,-0.00908430508756334-0.00373175703242719i,0.00931521184969842-0.00096935689460123i,-0.00287062551692703-0.00420384575270857i
0.0355719950211462+0.00121673041101327i,-0.0161649521057857+0.000542672222081228i,-0.035627004079787+0.008452209062382i,-0.0252984584939328-0.0120124809429847i,-0.0369165049841641+0.00551623446945962i,-0.0461214758831482-0.00777980278008795i,-0.00737391070144601-0.0117481765595186i
0.00555791284039548-0.000162270588158614i,0.0149286408079569+0.0300084093079838i,-0.0244556638165203-0.00302014813321282i,-0.0269521792902399-0.0236329827496775i,-0.0274021981025929+0.000448004054114263i,-0.0575301646542481-0.00301573498415564i,-0.00964607000860162-0.0112719321754806i
0.0165663471846656-0.000636186148562332i,-0.00234045152161137+0.00595454375456684i,0.00176891164557031+0.015878344402772i,-0.0119203555075925-0.0132378655364643i,0.00382682122929247-0.00247966071567312i,0.0229064762749806+0.0018522175936692i,-0.0401662578627982-0.00625817060015657i
-0.0344003163364721-0.000442714744847056i,0.0310287507695536+0.00505258066167564i,-0.00385416953141019-0.0061635928657608i,-0.0117008117042339+0.0050343355928221i,-0.0104177997541985+0.00755866535342059i,-0.0071472619288391-0.00702077060329715i,0.0425794456031301-0.00644434179748945i
-0.0373906412277316-0.0010891000841906i,0.0275607627855761+0.00528079388142397i,0.0228804425711572+0.00718866428420885i,0.0180034915218898-0.00809370475248332i,0.00167989115000333+0.00776313238238682i,0.0170758626397682-0.00257602159897407i,0.0269039029855154-0.0063588949152926i
0.01491592822281-0.000425912136899182i,0.00415685805137949+0.0197839805164793i,-0.019222752989451-0.018334149610386i,0.0551219821718549+0.00170970727695393i,0.00393328734356014-0.00248034909602613i,-0.0235781802441272+0.000484963692540073i,-0.0276461255077172-0.00715371723586173i
-0.0123592046938039-0.000884505017596345i,-0.00690382596075944-0.00272570596933245i,-0.00797175905387943+0.0174079171043219i,0.0183822714849594-0.00753034249056021i,-0.0161111297394581+0.00931072701938438i,0.0251527814601289-0.00594083411725888i,-0.016523395473359-0.0154724900534366i
-0.0295231107144949-0.00066384552903277i,0.0309261886462546-0.0128661054340827i,0.0209565903420016+0.0348124277835187i,0.0152717344005748-0.0293129696537459i,0.0564641400525516+0.0125748666882259i,0.0181105289298053-0.00412591083046894i,0.0252333249474444-0.00493473004099601i
0.0504778266071062+0.0015682404628416i,-0.0302169328380543-0.024121799393741i,0.00759673468731591-0.00402881186330437i,-0.0201697960634687+0.0220165247475343i,0.0304428326752083-0.0193536722599475i,0.00417775133106371+0.0133014062853435i,-0.0413199763955554+0.0242904713814643i
-0.00923402628070697-0.000180469420565331i,0.00873488254771212-0.000616783694344657i,0.00148914180717266-0.0149513416509619i,0.00504594124456882+0.00804358520253714i,0.0232984966708294-0.00664937585890755i,0.032926256341136+0.00418885093549697i,0.0130462694901373+0.0152355451998863i
-0.0306552531405375-6.5540893326554e-05i,0.0111494827745354+0.00906544910771622i,0.0238377922296635-0.00146811527272816i,0.0175612311950962-0.0167477217076221i,0.00514957560698778+0.010990634922667i,0.00140419030638266-0.00480533572951461i,0.0626274182295993-0.00232901899579841i
0.00393942681378384+0.000184965350337849i,-0.00604404078485993+0.00401508851191413i,0.0188366161661676-0.0190172996984942i,-0.0124131426009151+0.0103975954458587i,-0.0165341826729888-0.00387082691500136i,-0.00609936678896869+0.00314506491014892i,0.0372862524413102+0.0115475207902211i
-0.011457272174714+0.0029499780129562i,-0.00148176790686634-0.0139948197808665i,-0.0114708113931532+0.0315285860363475i,0.017711047505723-0.0198566053721227i,-0.0602986495557721-0.00123582663319456i,-0.0405640973423984-0.00452828990465632i,-0.00831295452349316-0.0137816259518245i
