-0.159492382728287+3.01799596031172e-05i,0.0424193687628202+4.75356519825864e-06i,0.0424194024357242+4.75170755032255e-06i,0.0424193878166878+4.76070715163524e-06i,0.0424194447314586+4.76309218936206e-06i,0.0423412297172619+4.9450782868548e-06i,0.0424200790821559+4.75998898108148e-06i
0.261258529880252+3.53698183782763e-05i,0.0238987398223521+1.77878649329211e-06i,0.0238987286381829+1.782455825167e-06i,0.023898732049717+1.78026590367136e-06i,0.023898715182258+1.78064981774981e-06i,0.0239318394028391+2.09633476178882e-06i,0.0238984460617377+1.77921368931354e-06i
0.160093070088406-7.42301355912287e-06i,-0.00809640588094375-4.62357010044567e-07i,-0.0080964291170675-4.5728388712831e-07i,-0.00809642006750274-4.59513665746104e-07i,-0.00809647531437255-4.60080714791977e-07i,-0.00802932875735319-5.48153866643096e-07i,-0.00809700996381637-4.61926677255475e-07i
-0.0551187048940351+8.6397116776384e-05i,0.0367959097850179+8.04388791553946e-06i,0.0367959109841032+8.04046355356573e-06i,0.0367959117948392+8.03462597231507e-06i,0.0367959155250172+8.03121244349655e-06i,0.0367816694836396+7.19861034240864e-06i,0.0367960202116892+8.04064501866107e-06i
-0.045352869454588+1.06059635862209e-05i,-0.00498280526784337+9.81222864912574e-07i,-0.00498278906485795+9.7900297902958e-07i,-0.00498279427140044+9.88202587345261e-07i,-0.00498276097337905+9.88907088147315e-07i,-0.00501453768659136+9.50744444548991e-07i,-0.0049825056651007+9.90943554669947e-07i
-0.0524549450900996-6.05858841520098e-05i,-0.00623079196799957-4.41253580584027e-06i,-0.00623079273073845-4.41122057605856e-06i,-0.0062307965782136-4.41634178204044e-06i,-0.00623080146557277-4.416614582258e-06i,-0.00623033191854031-4.1041874496246e-06i,-0.00623079835317185-4.41737402427262e-06i
-0.183277746273893-4.51249209092626e-05i,-0.0103703544767792-6.28082054169916e-06i,-0.0103703262312455-6.28745560441676e-06i,-0.0103703379583056-6.27208278146697e-06i,-0.0103702742325988-6.26694329956126e-06i,-0.0104417884459444-5.5096352380422e-06i,-0.0103696866762636-6.27440594644631e-06i
-0.0267664292463585-1.69268398981257e-05i,-0.00949620926126977-4.44760534489531e-06i,-0.00949619753164017-4.45291198225156e-06i,-0.00949619860929056-4.44588570197757e-06i,-0.0094961601781255-4.44656477737779e-06i,-0.00953203860654498-4.01925740172059e-06i,-0.00949587327672598-4.44543367753594e-06i
0.0356311096657438-1.31163184439698e-05i,-0.01203468220883-8.78375322553939e-07i,-0.0120346840104242-8.80168664385739e-07i,-0.0120346770908389-8.78676080197034e-07i,-0.0120346863308386-8.78215273021297e-07i,-0.0120289198011485-9.35221657867808e-07i,-0.0120347374747174-8.78613767310729e-07i
0.0920229310027205-4.4845276176162e-05i,0.0139373351818429+1.26513156365853e-06i,0.0139373190277262+1.26422741488236e-06i,0.0139373198040388+1.25776747115631e-06i,0.0139372864203439+1.25714641849969e-06i,0.0139677038650157+7.34996801295783e-07i,0.0139370435316091+1.25950003281007e-06i
-0.0209330435213085+1.35577220058428e-05i,-0.0401153176736128-2.27581553587298e-06i,-0.0401153257101242-2.27331545054157e-06i,-0.0401153170027712-2.27457370988154e-06i,-0.0401153324640666-2.27785506434005e-06i,-0.0400942701366433-2.38286759250571e-06i,-0.0401155082397312-2.27525476537591e-06i
0.0469857852838304-1.91317244241492e-05i,0.0235302138880939+5.76304151567375e-07i,0.0235302194929373+5.80361785572989e-07i,0.0235302144652338+5.78976509289505e-07i,0.023530212186045+5.82124797654032e-07i,0.0235355856607506+9.08701259078559e-07i,0.0235301747988398+5.78220508144112e-07i
0.0118071216369396+7.14630372957491e-05i,-0.00104988110707185+4.3311122281018e-06i,-0.00104988676147622+4.33083719976687e-06i,-0.00104988607712862+4.33040318666509e-06i,-0.00104989261757429+4.33003439514424e-06i,-0.00103728537873162+3.89332659049818e-06i,-0.00104999921519459+4.33361598644482e-06i
-0.00933569158343673+1.98823675040029e-05i,-0.00232193765671632+8.17846828841553e-07i,-0.00232193483521918+8.15465544754943e-07i,-0.00232193194478086+8.16015203867011e-07i,-0.0023219176682732+8.13354975744815e-07i,-0.00233938852952168+6.76762695523116e-07i,-0.00232178597613908+8.16914255285889e-07i
0.0252745078098798-3.52849357914275e-05i,-0.0134435156057622-3.73619154074265e-06i,-0.0134435097302515-3.73856993514354e-06i,-0.0134435074367184-3.73439581935321e-06i,-0.0134434845500209-3.73484215125529e-06i,-0.0134663304795451-3.38503481092168e-06i,-0.0134433037255098-3.73297559410226e-06i
0.034960541750486+5.12403907092294e-05i,-0.000160377923623581+4.24156267315937e-06i,-0.000160385820005833+4.24050110243447e-06i,-0.000160379725412108+4.23986908130886e-06i,-0.000160386299691149+4.23594894109294e-06i,-0.00015324129935224+3.80713149289444e-06i,-0.000160454455293891+4.23953299349742e-06i
0.0282463220994648-4.30933968271195e-05i,0.011683405225752-1.16926393098604e-06i,0.0116834102485423-1.17322311380293e-06i,0.0116834133615849-1.171075179243e-06i,0.011683424313099-1.17407928378271e-06i,0.0116644827622901-1.11982116523116e-06i,0.0116835686424455-1.17283386909039e-06i
0.0400968891713626+1.57279479485807e-05i,0.00940974265646164+9.5719687339725e-07i,0.00940974122865117+9.54187390646148e-07i,0.00940974726698891+9.548099433612e-07i,0.00940974424337712+9.5245509305864e-07i,0.00941018617957433+1.02202498861865e-06i,0.00940973447425076+9.53633154863344e-07i
-0.0392998206266899-6.15873632653822e-07i,-0.00902826416380219+3.58357676738975e-07i,-0.00902827125206891+3.57381323268123e-07i,-0.00902826764424505+3.57827433890529e-07i,-0.0090282740206247+3.56667503671094e-07i,-0.00902095432482297+1.91702701523523e-07i,-0.00902833329436808+3.58190345686196e-07i
-0.0372636496432572-3.50843298959783e-05i,0.00651528927247907-2.61713711478025e-06i,0.00651529290637002-2.61666041144181e-06i,0.00651529552248517-2.6123148961274e-06i,0.00651529487091148-2.61085956097451e-06i,0.006511971380712-2.25397707209849e-06i,0.00651532497633279-2.6173487126445e-06i
0.033469858778356+1.2241456969769e-05i,0.0113673246985107+3.12110276348803e-06i,0.0113673254847294+3.12420979071223e-06i,0.0113673222114274+3.12800939782227e-06i,0.0113673213290246+3.12831586814068e-06i,0.0113708745400853+3.14645010260995e-06i,0.0113672986281719+3.12606140677143e-06i
-0.0382038128912305-4.60309152755655e-05i,0.00216541717511996-2.14769955649247e-06i,0.00216541654823488-2.14621123075758e-06i,0.00216541678201802-2.14375466009826e-06i,0.00216541331091029-2.14502562631328e-06i,0.00216945442050465-2.01036554423356e-06i,0.00216538857809225-2.14619019551747e-06i
0.0699967430199161+1.25047941517824e-05i,-0.00846949104628262-3.67091956037904e-08i,-0.00846948952836551-3.38658454342862e-08i,-0.00846949237117046-3.62908262330023e-08i,-0.00846950685868034-3.46544382240306e-08i,-0.00845962387052474-9.06778365372602e-09i,-0.00846958169426368-3.67589345732057e-08i
-0.0101385900480325+2.53397103546751e-05i,-0.00766843237532872+2.42157341258205e-06i,-0.00766844139043922+2.42313580144278e-06i,-0.00766844078480665+2.41370230784054e-06i,-0.00766847095167312+2.41291057101286e-06i,-0.00764978890776788+1.93199647041353e-06i,-0.00766861642036025+2.41500754056218e-06i
-1.92492807556101e-05+3.98941288024607e-05i,0.00841490608401956+4.08545248719252e-06i,0.00841489701229958+4.08465999406388e-06i,0.00841489860060251+4.07598909252525e-06i,0.00841488187383341+4.07565610798006e-06i,0.00842654206120127+3.39677428766202e-06i,0.00841478440144504+4.08142657926279e-06i
-0.0186227818712318-2.14080565992728e-05i,-0.0126093055043642-2.63604011625824e-06i,-0.0126093002913124-2.63479283671814e-06i,-0.0126093071915391-2.63288287930968e-06i,-0.0126092915976359-2.62888213741063e-06i,-0.012617338676201-2.11150344165805e-06i,-0.0126092219146065-2.63371522079591e-06i
-0.00637112170381573+6.07645274153434e-05i,0.017075090450521+4.60824779272005e-06i,0.017075092638386+4.60441102518794e-06i,0.0170750888254297+4.60828614049679e-06i,0.0170750992787881+4.60845688597104e-06i,0.0170634429617277+4.33471180945251e-06i,0.0170751952743477+4.60927045153489e-06i
0.0195958210251634+9.84747958394888e-06i,0.0182543030319298+1.31196303900241e-06i,0.0182543087857039+1.31127621968895e-06i,0.0182543093973212+1.31449805582585e-06i,0.0182543246853903+1.31449185279597e-06i,0.0182405219056259+1.60280691876168e-06i,0.0182544339840989+1.31346491859373e-06i
0.0264129165159574-1.8972205569678e-05i,-0.000276136994382318-1.54432137173603e-06i,-0.000276146462044257-1.54162611198279e-06i,-0.000276144012148376-1.54566064235558e-06i,-0.000276158081955935-1.54524441265026e-06i,-0.000254714865295453-1.49156965030166e-06i,-0.000276324594612203-1.5448687784912e-06i
-0.0474149778472703-5.9675763459392e-05i,0.000136679806549118-5.4147484706326e-06i,0.00013669236968213-5.41314903728635e-06i,0.000136689422787442-5.40620340390446e-06i,0.000136716418374668-5.40361160752431e-06i,0.000110985061675368-4.61745763118923e-06i,0.000136931929829231-5.41054277016863e-06i
0.0570567741014137+3.70221199100194e-06i,0.0113813032871591+6.55207205641499e-07i,0.011381304246404+6.54197182985546e-07i,0.0113813014094825+6.53725167031804e-07i,0.0113813086569721+6.54859696175415e-07i,0.0113799232899685+8.80162608229726e-07i,0.011381313943203+6.54141074384864e-07i
0.0329513788904309+5.96255416404197e-05i,-0.026925205102946+1.71007954101617e-06i,-0.0269252116310049+1.71243034142766e-06i,-0.0269252068253032+1.70891217860605e-06i,-0.0269252233596183+1.70620287396119e-06i,-0.0269046794405995+1.21669123572418e-06i,-0.026925402964596+1.70997408143409e-06i
-0.0124336150502339+8.76343329608402e-05i,-0.00479573050698221+2.92976381000137e-06i,-0.00479572962781407+2.92651503371529e-06i,-0.00479572468377389+2.93209154389898e-06i,-0.00479571425198337+2.928626499882e-06i,-0.00480490056948413+2.82023279645515e-06i,-0.00479564492448166+2.93134345305478e-06i
0.0589198563086364-9.6162029020661e-06i,0.0205430946900158+1.83305346318591e-06i,0.0205430983908008+1.83070608519565e-06i,0.0205431017156595+1.83263761601614e-06i,0.0205430998138079+1.8314430321936e-06i,0.0205397004754752+1.87091713602426e-06i,0.0205431246648113+1.8307704597568e-06i
0.0407044298099215+7.96222932652752e-05i,0.00615474013015849+6.1489726767216e-06i,0.0061547390630719+6.14923529329434e-06i,0.0061547378586168+6.14794208735385e-06i,0.00615472170508509+6.14838698796707e-06i,0.00616680311643169+5.7517135835939e-06i,0.00615462478889932+6.14807207017054e-06i
-0.0190601706821765-3.67346539307218e-06i,0.0137560850252956+2.75560465532294e-06i,0.0137560931182676+2.75373590276937e-06i,0.0137560907222121+2.75132228266958e-06i,0.0137560979018199+2.75084998395142e-06i,0.0137322982920354+2.44019988537154e-06i,0.0137562930263957+2.75360592965568e-06i
-0.0362714970114471-4.27043120802032e-05i,-0.0175114925504886-1.80726576148966e-06i,-0.0175114872142923-1.80746516258952e-06i,-0.017511490911778-1.81144898540251e-06i,-0.0175114811010725-1.81028328214033e-06i,-0.0175274784835686-1.93989929300333e-06i,-0.0175113576749794-1.80861499545645e-06i
-0.0855534455216552-2.19310661250662e-05i,0.0101264357143353-1.17434218561365e-06i,0.0101264380135995-1.17464715055562e-06i,0.0101264324920737-1.17894041043825e-06i,0.0101264237064167-1.17800943468779e-06i,0.0101228160348089-1.32667824095952e-06i,0.0101264598876171-1.17863422924318e-06i
0.0132062664191244-1.97549415083027e-05i,-0.0103484902649909-1.83848230016911e-06i,-0.0103484985854054-1.83545034707205e-06i,-0.0103484938502028-1.840006197346e-06i,-0.0103485210754995-1.84055375201985e-06i,-0.0103242874493838-1.91234878050768e-06i,-0.0103487211767498-1.84103661828608e-06i
0.0272637383811206+2.2633141037188e-06i,-0.00899839203495383+1.10855817613236e-06i,-0.00899840274677188+1.11052579322704e-06i,-0.00899840166702181+1.11045563548891e-06i,-0.00899841230468512+1.10754234107193e-06i,-0.00897672538562792+8.68143660939179e-07i,-0.00899858728000146+1.10917718401221e-06i
-0.080569975759783-3.21614131301856e-05i,0.000713058465680425-1.08663920362016e-06i,0.000713060339879981-1.08613578183685e-06i,0.000713059777643258-1.08872095748263e-06i,0.00071306182719179-1.08635211886358e-06i,0.000703589160301319-1.06502530412291e-06i,0.000713133787051849-1.08909910113147e-06i
-0.00626363304654133+5.52250424118562e-05i,0.00236504027448211+4.55842573175757e-06i,0.00236503821065291+4.55723709866925e-06i,0.00236503416818295+4.55598514146565e-06i,0.00236503113177117+4.55550053167936e-06i,0.00236685143885595+4.36304278530348e-06i,0.00236502450098774+4.55760019792874e-06i
0.00790678436591129+9.41668316167502e-06i,-0.014711163066847-9.13840246577534e-07i,-0.0147111637449219-9.12527551673107e-07i,-0.0147111600367564-9.12889063520344e-07i,-0.0147111605265462-9.12466200163178e-07i,-0.0147030070955079-8.38443374248886e-07i,-0.0147112322285677-9.11680638412106e-07i
-0.0158241290930102-4.28989373793605e-05i,0.0104964230051983-1.77311671403129e-06i,0.0104964278999736-1.77587806331394e-06i,0.0104964320713145-1.77183338926938e-06i,0.0104964346076842-1.77238050384245e-06i,0.0104787534217481-1.69376885969885e-06i,0.0104965795756394-1.77347457837921e-06i
-0.0202650628895533-1.16736887926803e-05i,-0.000189942225664367-1.70365944745161e-06i,-0.000189944941533456-1.70445645352087e-06i,-0.000189938283895162-1.70500770991159e-06i,-0.000189936376120757-1.71017556617428e-06i,-0.000190205562265976-1.4879804304327e-06i,-0.000189937141429427-1.70741390448093e-06i
0.0127153821357014-1.29461518802631e-05i,-0.00656268350432821-5.08773692134341e-07i,-0.00656268636694055-5.07257341703504e-07i,-0.00656268680167597-5.06231062641121e-07i,-0.00656269264291839-5.07678128614631e-07i,-0.00655260498412263-5.0456986512829e-07i,-0.00656276902827918-5.08122757882175e-07i
0.0205815096008045-1.3032050563266e-06i,-0.00649627749059306+1.84574529602141e-07i,-0.00649627283082804+1.8438214458148e-07i,-0.00649627303955236+1.82288426641376e-07i,-0.00649627442623182+1.84926466648917e-07i,-0.00649982747118244+2.17173796271032e-08i,-0.00649625223906256+1.84466780303156e-07i
0.0115511924012286+1.97740162911869e-05i,0.0186834634719989+5.568884998084e-06i,0.0186834634154483+5.56776176772973e-06i,0.0186834619932683+5.57136488675794e-06i,0.0186834753596445+5.57069515863208e-06i,0.0186735723373117+5.47449305431611e-06i,0.0186835506686018+5.57011675545105e-06i
-0.00807896208689742-6.81510019867918e-06i,0.00424286012844253-1.30063910252876e-07i,0.00424286021777758-1.31598765176175e-07i,0.00424285652706706-1.36340542737756e-07i,0.00424285087916295-1.34204350988542e-07i,0.00424226298252168-3.14946933497992e-07i,0.00424286124198194-1.3307920453926e-07i
0.0303113319828993-2.26268522832462e-05i,0.00872697996141696-1.70707465807374e-07i,0.00872697358461767-1.71435811989024e-07i,0.00872697530906737-1.75240001893208e-07i,0.00872697162575542-1.7573127593767e-07i,0.00873583311651398-1.84292479590017e-07i,0.00872690188442261-1.7299609330796e-07i
0.0484109379335333+3.23820155122878e-05i,-0.0135590232228464-8.18542050662807e-07i,-0.013559035172343-8.13556758024891e-07i,-0.0135590249117712-8.20750651936972e-07i,-0.0135590558305083-8.24552123877629e-07i,-0.0135260017827405-9.76693128086733e-07i,-0.0135593309872534-8.21150107601884e-07i
-0.0121186637816767-6.04212305785847e-05i,-0.00866830401942285-4.52552499165447e-06i,-0.00866830769765378-4.52358320470054e-06i,-0.00866830383390104-4.53010782379897e-06i,-0.00866832106602605-4.53252078127887e-06i,-0.00865576247576214-4.51394585701269e-06i,-0.00866842828275744-4.53111433019346e-06i
-0.00438973433609114-6.19138624309014e-05i,-0.00943429529743692-6.32511727866011e-06i,-0.00943428870064958-6.32105679828854e-06i,-0.00943428878660447-6.3185438717096e-06i,-0.00943428019712257-6.31794210923489e-06i,-0.00943791636664511-5.56639258745071e-06i,-0.00943424778783524-6.32254005668329e-06i
