-0.110454855148069+0.00279502024543464i,0.0178679227761495+0.00719450082972342i,0.0256136334718415-0.0425477902600128i,0.0310385508449746+0.0196639716352425i,0.103304995142615-0.00911465442518338i,0.136010150751225+0.00209086194519114i,0.0387092786105716+0.031845440028625i
-0.0935614442472152-0.00108254715081215i,0.0524390465238642-0.0333336252971803i,0.0750157774748636+0.0181169699869161i,0.110033015333347+0.0134791484926459i,0.123696517422822-0.0053141988742984i,-0.0113031542722056-0.00143000133105807i,0.0288233251517484+0.00437798128407713i
0.033036984203995+0.000347638739763834i,-0.0695072409190543-0.0288731820533697i,-0.0722134828795266-0.0296848386373672i,-0.0620653542472695+0.00982366708995621i,0.031918109191496+0.0182548149972235i,0.107316488451717-9.89696605496401e-05i,0.0337240433287493+0.0319091295484838i
0.0436387949576517+0.0014331295235536i,-0.0680219248019359-0.00910786656942004i,-0.0354069060312409-0.0122765411340227i,-0.065736864124983+0.00643126989699911i,-0.0766542514444789+0.00621005316514069i,0.0810690159774062-0.000358698404648492i,0.00749899532248105+0.010905195119423i
-0.0954773697917342+0.000315961406056663i,0.0677628071269862+0.0379836814803069i,0.0256924106973594-0.00498071646447305i,0.0279249531036129-0.00636044483268819i,0.0765830672015218-0.0206273369404127i,0.0741426114131625+0.000265712940712181i,-0.0452621751261666-0.00449894639331532i
0.00446282652769542+0.00276009688004655i,-0.010840287246571-0.00391884765518442i,0.0174215450194659-0.0165163959783303i,0.0125264722236425+0.0133527511933313i,0.0248201640166292-0.00592584331231822i,-0.0654848068027783+0.00236994474240765i,0.0236195153252379+0.0162032359361777i
-0.000873759194042834+0.0018459819571878i,0.0142738876215171+0.0180542741893469i,0.0339373514681405+0.00928271212785388i,-0.00854237922684905-0.0125217311742834i,-0.0250420080851525-0.00708026440649255i,-0.00961333707948411+0.000360025705436798i,0.00851364189734535-0.00449788479379073i
-0.0163701600949982-0.0025163661677361i,0.0175149488602995+0.00169209366519783i,0.042374310467597-0.0208375042327051i,0.0696701228243226+0.0105208248788513i,0.031603211600356+0.000658220425553927i,-0.142456588311096-3.83813705278752e-05i,0.0352301717027151+0.00312834513752904i
0.0333958800390861+0.005094305264441i,0.0123767828763701+0.0111357403881735i,-0.0132122966088072-0.0238468586936928i,0.000468761181497769-0.00116861238868488i,0.0202518796469543+0.00759146732906587i,-0.081760046185878+0.0039240091362597i,0.0464515675374358+0.0165676123028516i
0.0463343702894051+0.00105780070316616i,-0.0169779031536003-0.0100385831106141i,-0.0351315938069381-0.0052760680615146i,0.0339187011644455+0.00398935067563443i,-0.0256906374028066+0.0109406813742225i,-0.0212080453121987-3.97262516047829e-05i,-0.0129991725531906+0.0025841348349625i
0.0150982145591703-0.0018728148974669i,0.0250831197323842+0.0516821686286839i,-0.0163795149178407-0.0500414334435671i,-0.00249071171343759+0.0097930011100062i,-0.00495816998726476-0.00948085742949398i,0.0932943963345133-0.000470366191229175i,-0.0325422336959455-0.00583042503992545i
0.0733279706422466+0.0015253386145987i,-0.0112989704228549+0.00143917437065899i,-0.015813712651518+0.0149545997611054i,-0.00326148824499769-0.00505960805262995i,-0.0870804506821923+0.00363529208315709i,-0.0620852234746539+0.00199830065053603i,-0.0150869526333162-0.0122567747437059i
-0.0433235226804522-0.00222023369820287i,-0.0407439756952699-0.0343887909945926i,0.0182666800371946+0.0059343126680703i,-0.0167755277043385+0.00461630663867756i,0.0295856428322245+0.00346030532478324i,0.059689870678622+0.000305926884831205i,0.0427645926442342+0.0179422946709168i
-0.0149716541874367-0.00189257383844812i,0.00449035666507674-0.00142960957650979i,-0.0183191322430654+0.00819122716714909i,-0.0323089153619387-0.00424909957647575i,-7.09531686454116e-05-0.00071668351503081i,0.00987494231897865-0.000702230876559377i,-0.0102756590580647-0.00527044694861193i
0.0182901750446427+0.000553946879750214i,0.018750647847619+0.00800349578130873i,-0.00989986809828156+0.00239896582975826i,0.0426782863803597-0.000938379246120802i,0.0288191544722569-0.00301162268538851i,-0.027684483916275+0.000629678766173444i,-0.0480752117872373-0.00757181724455744i
0.0414132508089618+0.0046599669233564i,-0.0187504384406762-0.000573493906080195i,-0.0406893837359783-0.0297883526978231i,0.0190589354836608+0.0131923592677348i,0.0092184817551438+0.00445275997571229i,-0.0663488687318694+0.00339620191813568i,0.000160152260258323+0.0190503719515658i
-0.00245070997638407-0.00266939225393004i,0.0096321099950551+0.0110980904069112i,-0.0192741890721382+0.004740863285137i,-0.000335665043883747+0.00207211270799371i,0.0153207965389934-0.0109302060015074i,0.0097282741018124-0.00223897187452839i,-0.0772023949080883-0.011794200666903i
-0.00790661862668232+0.00142520158243899i,0.00146260668624026+0.0191226556145826i,-0.00763780690102309-0.0293238169511486i,0.0283769462090593+0.0120078607887526i,0.0534814691397539-0.0126695394239317i,-0.000690281938627618+0.000981043620793638i,-0.0488581870722894+0.0119294980145152i
-0.0198185523936765+0.0020230504457726i,-0.0103976139326225+0.0232239106667052i,-0.0213375448030603-0.0362550916385542i,0.0146143190830943+0.00789918587705768i,0.00956034421432358-0.0034367713687021i,0.0216996337940385+0.00124454204146832i,-0.0237031213044307+0.0130471066418901i
-0.01080467430789-0.000439904195486627i,0.0187091485513791+0.000689544066908693i,-0.0217892796043059+0.00597032790530138i,-0.00175402762069553-0.00247968706313024i,-0.0300050791446251+0.00629306318462534i,-0.0134759082822396-0.000374142173984272i,-0.00223473768726796-0.0125778805743735i
-0.0354569621175651-0.00175475246140438i,-0.00185406817665439-0.00506067796917212i,-0.0145769182048881-0.0176568699521943i,0.0395885280879042+0.0100607332022017i,-0.00370185163770238+0.00840480368245966i,0.00141713313588245-0.000930251054441293i,0.0086185348461386+0.00197092972178612i
-0.0148593986136851-0.00372950935651105i,-0.0193099673359949-0.0247189052054854i,0.000832862660227064-0.0039950264059146i,-0.0148690661841256+0.0106458184620011i,0.0172681350383641+0.00473173572760449i,0.0307377749093382-0.00200552056764848i,0.0282351915856113+0.0047708645862095i
-0.0136060661417753+0.000718429788751226i,-0.0086627565213598-0.0137947180192934i,0.0184519760514308-0.00573894015803072i,0.0231265964439105+0.0136267959863008i,-0.0258139952506884+0.00215117840490552i,0.0108607026645024+0.000648364736358087i,0.0360928222863406+0.00589735101626503i
0.059720540964586+0.00137825029253814i,-0.0432647362488431-0.0222924738554239i,0.00861291601475373+0.00755548964098823i,0.00760492434430716+0.00935059897160511i,-0.0219910331061374+0.000522144262801029i,-0.000134186194348506+0.000297975788266783i,-0.00109150531340639+0.00889272857667975i
0.0532418760631178+0.00116154860974287i,0.0205049420188299+0.0186176817976095i,0.0368190520197061+0.00809128492091881i,0.022323085152053-0.00466347730342527i,-0.0485444118286573-0.00966806540111762i,0.0240351508828992+3.46346348777946e-05i,-0.00238758164643747-0.00733449726315947i
0.0116693554973602+0.000450648251105252i,0.0491401868913852+0.0123108604744292i,0.0129743660041791+0.023590201054929i,0.00972312816750128-0.0165919460592715i,-0.00809356411437663-0.000921737826033255i,0.0508943986834968-0.000125201655350888i,-0.0011856925439077-0.0168518077835827i
0.0241948200368318-0.000563125881576737i,-0.0035658573830807-0.0151837942742893i,-0.00702501474979765+0.0146246100835827i,-0.0344887157579736-0.0130266450536947i,-0.00479959136691954+0.0132169382056718i,-0.0509791689265924+0.000199794876982111i,0.0461071601066776-0.00270687671984908i
-0.0359549931039934-0.000414570886085943i,0.0273336460300444+0.0241023545564024i,0.00497383606376518-0.0259621276401285i,-0.00118339788631217+0.00700480138654333i,0.0406104202114354-0.00967483259869474i,0.026540752274172+0.000254427640755757i,-0.0045732517351281+0.00396277645849807i
-0.047734007436265-0.000525540691319176i,-0.0145039851055104-0.0142836418117599i,-0.0129777588073035-0.0123783559037765i,0.00122767529136052+0.00838382315865853i,0.0470718922337075+0.00313515203923084i,0.0151056360446907-0.000678941842330902i,0.00753060805841469+0.0130214882701664i
0.00858951168829184+0.000754577956128598i,0.013556898838779-0.00070192398861078i,-0.0232025281881352+0.00531181108610768i,-0.0533131895236734-0.0156318195866019i,-0.0261652304703606+0.0162788039925771i,0.0324599983819789+0.00109833244779441i,0.0584989371282614-0.00293224039656606i
-0.00883745736126141-0.000315314448494572i,-0.0195339527930431-0.0279995760125056i,0.00955876251581146-0.00294028749218381i,0.0240494939515419+0.00734602177404754i,0.0146603823193416+0.00903656592844494i,-0.048654117415658+0.00183271883610499i,0.0476857156157381+0.01387941230966i
-0.0381268541963036+0.00050881142646925i,-0.0213003278963541+0.0143498679289398i,-0.0166435828537572-0.0206911336110963i,-0.0473781247592892+0.000663819574842071i,0.0457615859987846-0.00894535251379438i,0.0186474409656361+4.29453503634196e-05i,-0.023974939746408+0.0171305450885618i
0.0746754559483906-0.00243174075802357i,0.00108708612553427-0.00854420004926352i,-0.00703445974902641+0.0501931291097782i,-0.0307028122942611-0.0144123616281313i,-0.0229726586050026-0.00797612579806382i,-0.0324075678347314-0.00207498046265951i,-0.0656308608392065-0.0239095013677166i
-0.01523193907685+0.00101757540572317i,-0.0155195901686879-0.00234939420430281i,-0.035913197742138-0.0157716992138648i,0.0284950178180863+0.00898359969231892i,0.00919730222428275+0.001645220300958i,-0.030884949005804+0.000933494906237169i,-0.0317417919010319+0.00855117440054149i
-0.0299305434981521+0.000706610338946993i,-0.0284844710215996+0.00601020285685189i,-0.00510391997292674-0.035786956152502i,0.0384356847791518+0.0180421954187008i,0.0322014105741449-0.00740787404069112i,0.0447327684133048+0.000576375182489379i,-0.0244557983165927+0.0218735846320034i
0.00770614094692917+7.7925149408369e-05i,-0.00497039808684602+0.0143442774896045i,-0.00488135497316438-0.0227408528668497i,0.0286750402585807+0.00859087378663453i,-0.00777269167528788-0.00199191304566011i,0.0373860549079792-0.00134338703214399i,-0.0216915909681499+0.00151569151204176i
0.004114481086864+0.00695381847608727i,0.0370282548812751+0.0301402010283251i,0.0305176667455733-0.016211161595908i,0.0372060798296479-0.00161615870062139i,0.0255116029010707-0.0104898698186378i,0.0145534232063501+0.00358085240905124i,0.00934945627471895+0.0101247316700818i
0.0611700311265658-0.00109531649675043i,0.0275077255449325+0.00868387274002167i,0.0312200430443989+0.0257179935658296i,0.00866793196110812-0.00814601868160336i,0.00530670486829222-0.0115974579660842i,-0.0548846912795509-0.000747069427241025i,-0.0344800607910692-0.015286102755596i
-0.0395961570465793+0.000545091116787567i,0.0383356410870296+0.0256219053763959i,0.0569594731398296+0.00367725847808851i,0.0214352249216903-0.00434154115006125i,-0.0118060719172925-0.011754995241328i,0.0284732979999081-0.00107850376556032i,0.0107630125298673-0.00978791326408342i
0.0224065868131652-0.00624367218466066i,-0.0111726701402951-0.0247044424842484i,-0.012029856154196+0.0318971391575332i,0.0214447366850064-0.00501589246850229i,-0.0415492304153057+0.00927718356261127i,0.0151912706574448-0.00255261873388211i,-0.0294126769328684-0.0237213308946055i
0.0129557816122938-0.0018962332931899i,-0.004261585426272-0.0021452466708095i,-0.0124965617794188+0.0119886426928241i,-0.0382483900854022-0.00232982135143083i,-0.0245754913293046-0.00162112818847656i,0.00885651016756269-0.000569055020423291i,-0.0152351638505496-0.00853508507467138i
-0.0323557102507075-0.00632926675181719i,0.0340062265110688-0.00487539367696695i,0.00856624504501525+0.0316815065073631i,0.036680367130054-0.0100305024279686i,0.022200332540849+0.00117435938662399i,-0.0126854144392992-0.0052236117990377i,-0.0543513798812363-0.0299462122333553i
0.00369171391493573+0.00252097781490173i,0.0164321443064179+0.0277888523693987i,0.000860524712494323-0.0301493553484416i,-0.00726238798633469-0.00195164895256109i,-0.0160982515723831+0.001536627387897i,0.0167727607158261+0.00210753694256262i,0.0395719531707472+0.00729629459224775i
0.0147150761625457+0.000452537211993426i,-0.0125426015747939-0.0105280757812853i,-0.010023484053015+0.0224554331611369i,-0.0455357701211521-0.011528826222845i,-0.014415099504571+0.00323761018273295i,-0.0309073152238158+0.000848361424051382i,0.00566082127676361-0.0037445288783883i
-0.0010195975638103+0.0013210426290335i,0.0211558602782914-0.0016064372474163i,-0.0117096221193569-0.0208482127203338i,0.0749483418736846+0.00987117022924527i,0.00114838633520791+0.0120907024180994i,0.00975725655317166+0.00197414818420275i,0.0198358002165597-0.000194403666486528i
-0.0226681546997882+0.00336993094503675i,-0.00453188145153128+0.00971937747354008i,-0.0122554956922713-0.0111067168782559i,0.00858401406610669-0.000510639859581084i,-0.00926256994341193-0.000538802071807881i,-0.00341280071310068+0.00224256688502939i,-0.00276889142150917+0.00932765899207106i
0.0139853014789621+0.00168297610574615i,-0.0162898049059771-0.0125548874444743i,-0.00546647494143291+0.00765453176938906i,0.00314552538770389+0.00326021821404077i,-0.0266140937879599+0.00332995238516245i,-0.00315720647654354+0.00103174831653617i,0.0051661488088121+0.0021850850039263i
0.0660162442175872-0.000292401812695126i,0.00375156683560109-0.0246310655861273i,0.0155512134530144+0.0356828230303262i,0.0193895782976124-0.00624213349815472i,0.00476109831550687+0.00378822515240459i,-0.0130052573080534+0.000736281935063327i,-0.00202615063033638-0.00824243892503035i
-0.0448451886669883-0.00406525678744737i,0.0263500052005931-0.0142348434650545i,-0.0228473375611803+0.0116828654455988i,-0.00385840264347158-0.00124896982026722i,0.0581024608338789+0.00720017790979378i,0.0217741739803592-0.00129240278576699i,-0.0156616020172828-0.0125742889667389i
0.027114911962962+0.00182529715084819i,0.0306324001019671+0.00514034437093537i,0.0163845124348322+0.00325423077814219i,0.016632477233753-0.00848355413767815i,-0.014594236100317+0.00470941933848684i,0.0196888842874538+0.00234054995797492i,0.0438068058931317-0.00265788135326747i
