-4.74283866595216-0.000551165984235102i,0.917793424645112+0.0440142879500491i,0.972299369813336+0.174987031512411i,0.777452603288435-0.0769723010987349i,0.343329139247606+0.004671955186901i,0.127557991056753+0.000564938117857093i,0.892482725184239-0.147140124315456i
0.0170046689422954+0.000689034423520811i,0.0495102644563241+0.00745114716224686i,-0.0410959751919106-0.00629657026765067i,-0.000851594678264039+0.00461934007450533i,-0.0286266506615738+0.00475481468132081i,-0.0102280515181389+0.000112078641159521i,0.0102745063730105-0.0104280902245452i
0.0270917894474369+0.000183320098220169i,-0.0112705190738756-0.0185706037658596i,-0.0133049745070489-0.0283632529115321i,0.0917944954459537+0.0224299334135406i,-0.00902802531132145+0.0214392830601388i,0.00542889897031553-0.000100428420146519i,0.0199993291511824+0.00358998904440755i
-0.0404487279600496-0.00379626885996735i,-0.0165602360759577-0.0396923484927812i,0.0174639000483697-0.00179959885913126i,-0.0213354065455025+0.0318703189549359i,0.000378776910070266+0.0139686557601218i,0.0273768496381372-0.000910225757620822i,0.0333204063228118-0.0055067405491411i
0.029914920076518+0.000677926172809897i,-0.00986755307765581-0.0298171742609428i,0.0278924573935187-0.000560689975436629i,0.0376141682466832+0.0249768560664336i,-0.0708187467168073+0.00652477480777471i,0.00831617482885036+7.37355826872512e-05i,0.0679640655585643-0.000569085993724796i
-0.0530857659070747-0.000231945642039795i,-0.0920530027158546-0.0415238866166793i,0.0163650555166755+0.0134783703468955i,0.0120779861725888+0.0157050664430601i,-0.0579725009780971+0.0062524869041967i,-0.00590806627002076-0.00037944204051147i,-0.00858695524117171+0.00662812467987507i
0.0372521197891532+0.000693042318874588i,0.0107838066740235+0.0182753747127094i,0.0320919736225274+0.016742505515085i,0.00737810130082685-0.011128312395152i,-0.104324831246698-0.00813137710989523i,0.0138197361240822-0.000393045772386104i,0.0210987951937184-0.0150419889764239i
0.0394630684505989+0.00018624390942968i,0.0723926843151114+0.0272909383158699i,-0.000793156233625861+0.0306800643235103i,-0.0148844061715513-0.0315923370688894i,-0.0143473270342047-0.00788489419580808i,0.0414177639410434-0.000268446705272748i,0.00239152680606541-0.0183661943647133i
-0.00619083529745832-0.00212552298780044i,-0.00764009561013878-0.0147647757219189i,0.00318937989750249+0.035398444122769i,-0.0671585603099367-0.0283530757911158i,-0.0292640796424681+0.0185054870890877i,-0.0471728376263987+0.0002356467204859i,0.0595814727112075-0.012021658224864i
0.0217181858830157+0.000921819284479712i,0.0646557176344244+0.0443545809977422i,0.00325347540729006-0.0440575789514242i,-0.0161331155413008+0.0129901757496713i,0.0623448008187436-0.0148578906338951i,0.0232454486916996-4.90301155163886e-05i,-0.00531430041317822+0.00193189970019232i
-0.0252380415984917-0.000998707946478942i,-0.00459541406727413-0.01687994723765i,-0.0140044590318974-0.0147762266942204i,0.0199884030210184+0.00998248816844376i,0.0768344450860062+0.00503941544528982i,0.0192420412580233+0.000140480564695842i,-0.000773012703975253+0.0158988480622375i
-0.0474961492337839+0.000700704474450677i,0.033366301572015+0.0124803382430267i,-0.0381881093773299+0.0161163590790092i,-0.0797345970771065-0.032825108668695i,-0.0539772711798759+0.00937930101029823i,0.0271994479696414+0.00063130094347286i,0.0801925108099913-0.00494482340671027i
0.0453491356472426-0.000734009316428318i,-0.0347632575455449-0.0471274794420519i,0.0157945658102639+0.0105267700271343i,0.052171280942391+0.0075448692592613i,-0.0176761664687872+0.0185438876878182i,-0.0429847228894344+0.000869883457741896i,0.0681337212274724+0.00969879391394326i
-0.0735346136038445-0.000829573396772627i,-0.00690879626442104+0.0303008757460367i,-0.012412718911666-0.0230589050135427i,-0.0605917225394482-0.0123270443625095i,0.105079580706416-0.0163945985893351i,0.0223803808031597+0.000277623811383773i,-0.0457146888068318+0.0210228189373462i
-0.0344012412560661-0.00206175699298354i,-0.0217001694131957-0.0166395291725636i,-0.0133778896264835+0.0529573711816697i,-0.0578058262554175-0.00634654952352981i,0.009078661309315-0.0102298625314294i,-0.0305656456244384-0.000794094520612943i,-0.109950904375768-0.0204405671661131i
-0.019383459798244+0.00320297203403284i,-0.0196504021144553-0.00346846304620962i,-0.0582882170114432-0.0390328024976982i,0.0680686269569994+0.0229214356318707i,0.0496335837631282-0.00867823769128912i,-0.0258567587197341+0.000942740004119618i,-0.0552211634136077+0.0286462101032935i
-0.0340327363442338+0.00190996822014696i,-0.0452664549684745+0.00804408584792418i,-0.00617342928205717-0.0539802745456682i,0.0800375636471838+0.0236736638072496i,0.0573718007933808-0.00839515651439364i,0.0420193986543501+0.000199520883901744i,-0.0435246585039805+0.0312508969524983i
-0.0255374157147866+0.00115708261178335i,-0.0209834779433644+0.015486700009771i,0.00181909343188629-0.037481155405312i,0.0358132515606963+0.0198836821939946i,-0.0126083556802744+0.0034453054050109i,0.032109270540671-0.000887790259025561i,-0.0284325361173518-0.00018456390973753i
0.0784570159777856+0.00566103267903805i,0.0446366148183657+0.0419781817859268i,0.0212008205191624-0.0136140934020124i,0.0461561044926701-0.014526197135739i,0.014984740058186-0.0272767458702498i,0.00574129911386612+0.00110027032270397i,0.00493343625805114+0.014904875449753i
0.0658200156893692-0.00152686290926692i,0.0207892772166749+0.00829260543240232i,0.031793628846654+0.0389645858240942i,-0.0211671733385108-0.0125899106310398i,0.00818732854032699-0.0141347014912799i,-0.053902553694739-0.000580238526626297i,-0.0614071165569411-0.0207578150502265i
0.109699357886564-0.000222383138567844i,0.0524128187607968+0.027824988688012i,0.0914656204936401+0.0132346804662896i,0.0169524624361802-0.00937891096538486i,-0.0451490751246847-0.00891949527701349i,0.0250623609630525-0.000744224047798596i,0.0517465254164185-0.0220825787518318i
-0.0180399593502687-0.00412836311446322i,-0.0325196224485676-0.0448970491522784i,-0.0084152582319331+0.0337796709123397i,0.037870356659339+0.00979726952942946i,-0.0522288233663558+0.0247183619701588i,0.0136336847529379-0.00124824738812012i,-0.0339401891345426-0.0242378894404534i
