-4.74283866595216-0.000551165984235102i,0.917793424645112+0.0440142879500491i,0.972299369813336+0.174987031512411i,0.777452603288435-0.0769723010987349i,0.343329139247606+0.004671955186901i,0.127557991056753+0.000564938117857093i,0.892482725184239-0.147140124315456i
0.017694022771355+0.00121417196781928i,0.00873810988528934-0.0344558569068822i,0.0127753355979117+0.0375400968977479i,0.0205799862715249+0.012788504486181i,-0.0482484677209333-0.00817947140198636i,0.0212409099184138-0.000182915900158581i,0.00567066707698825-0.00675038528236888i
-0.0383473974455483+0.00018397902685331i,0.00101851325568218+0.0189131144056971i,0.0143461124120472-0.0166286611594188i,-0.0509517104102227+0.00694741984991834i,-0.0125023096395028-0.00848512319774081i,0.0345515225161289-0.000186486490944508i,0.01581701672617-0.000561403506808094i
-0.0384713567593231+0.000372938547395656i,-0.0332166444534174+0.0120712549165868i,-0.000356164053629941-0.0188179841967109i,-0.065135657773622+0.00974326068633787i,-0.0329201341500335-0.0107526112888662i,-0.0515717197181836+0.00073024761512169i,0.00634797953559293+0.00787204069440881i
-0.0456901916717507-0.00107706631859113i,-0.0359483977321722-0.0355628840508613i,-0.0393773652723223-0.0346301043676124i,0.0764634800614959+0.0189921721484313i,0.0135346286896004+0.0339954785336227i,0.0346381131569143+8.59022555862428e-05i,0.0434206721931904+0.0172425451953544i
-0.036020178373599+0.00191413091466405i,-0.0119300597882724-0.0327517596811591i,-0.0586026231673049+0.0102573449038698i,0.107747735086475-0.00454758848126099i,0.0279999023198822+0.0114539752706132i,0.0812115022787694+0.000323223726457624i,-0.0320023733542095+0.0161632369956822i
0.0419148755187058-0.00269804353630399i,0.0670941141118899+0.0229468072686851i,0.0044262936014598-0.0115620995307862i,-0.0237321074509283-0.00307198276579703i,0.0851201316713124+0.00976659816552653i,-0.000908299548860947-0.000829395518875344i,-0.00922129186948178-0.0188608735634103i
-0.0180590809062235+0.000255119813142662i,0.0305300561188449-0.00381404967425868i,-0.013763795928275+0.00837448517274061i,0.0157838216531877-0.00684340189799005i,-0.0213308071344829+0.00291797381957749i,0.074068545298284+4.54447317893094e-05i,0.0334004390367862-0.000682787312240237i
0.0339416525657931-0.0003239310864453i,0.00586056503982512-0.021018598169797i,0.00672771394240804+0.0446922081849011i,0.0587895626636076-0.0195584673028142i,-0.129359369201834+0.0174137265352609i,0.0439343131433803-0.000517287031294083i,0.0439513339843922-0.0213598039885789i
-0.065951105465028+0.000736993948921828i,-0.0121524687211682+0.0134649334301516i,-0.0761132577036119-0.0402667071756108i,-0.00121604740711344-0.00928848681423494i,0.0389040103878924+0.0107676008750588i,-0.0141495358820734+0.0011887872099243i,0.00824912648148846+0.0247816974292712i
-0.0147266594138974-0.000875971570488321i,-0.0174865659205205-0.0232437528718797i,-0.0281411644365606+0.0282170239926274i,-0.040581479044437+0.00428124791388382i,-0.0650392973064801+0.00606806344272232i,-0.0614382423678335+0.000156869977448676i,-0.0144122558037681-0.0154191164240438i
-0.0516192833515605+0.00497131319182779i,-0.0396933009870329+0.0404659850664918i,-0.0189416653566863-0.0726461646907401i,0.0107266791749237+0.00902287555877992i,-0.0527124800045815-0.0116769698972985i,0.0129673915520171+0.00130047612207772i,0.0511119884122517+0.0366507447938537i
-0.0115198201368224-0.00148600453297264i,0.0242769728172794-0.0178226150982779i,-0.0589033781996511+0.0228305889915316i,-0.0351675758270712+0.000791854705662835i,-0.0520579510584341+0.0207645109666662i,-0.0541233561780921-0.000450736872828036i,-0.0126796147071742-0.0266856668015379i
0.0120311610412529+0.00414741065867566i,0.00530998531519+0.0327893073112915i,0.0178232856142538-0.0154146863923834i,0.0229085236451696+0.0121216512515746i,0.0199354114946925-0.0408399638390722i,0.00850462483801287+0.000171991490083973i,-0.0830432118110513+0.0126489973876874i
0.0309506289792467-0.00136855348798534i,0.0456977023157959-0.0057809322095895i,-0.0139060994139572+0.0197496272063227i,-0.047195806131558-0.0042037491564373i,0.00709111588760558+0.00437163483853165i,-0.0463427618424022-3.92238686430913e-05i,0.0198647198794329-0.0150298993113277i
0.0423355756647152-0.000787114178967575i,0.00429066104983476-0.0180294367035694i,0.0391604217962041+0.0335503881553111i,0.0498829784226915-0.00820095201181181i,0.024383425751393-0.00249631488345785i,0.041509701500411-0.000555786489505476i,-0.0168554194412221-0.00488838417214107i
0.0232529202841354+0.00289572213091157i,0.0439947190352226+0.0516583194541104i,-0.0160680880801159-0.00445595436719281i,-0.0292162907806626-0.0285700653924802i,-0.0479226508368593-0.0062628984171231i,-0.0137902731761422+0.000366137069655749i,0.00713130968626729-0.0113236898347741i
-0.014579268369214-0.00239321199111333i,0.0138600357100609-0.00881551241051394i,-0.01482101635121+0.00562583846594803i,-0.00181698118181181+4.46667004304875e-05i,0.000437457794282774+0.0184292391180202i,0.0264943975709301-0.000784091132947267i,-0.00094711597441308-0.0157065176466413i
0.00623786780209144+0.00418201528108343i,0.00274362891261902+0.0170291441580763i,-0.00086756106669242-0.0338069112650656i,-0.000903995651410229+9.32609503394438e-05i,0.0295684876545469-0.022425771796511i,-0.0115518055826037+0.00214638982265817i,0.0608503623832793+0.0393871600346199i
-0.0274338944326019-0.00174372970884238i,-0.119658566616594-0.0652684915564363i,0.0329170790388905+0.0393089484813862i,0.0207862546530075+0.0064131790799093i,-0.0887291400534559+0.0182961246265418i,-0.0527475024364042-0.000121149673602949i,0.0166264286047173+0.000607629202101792i
0.0424416711176043+0.000857728265758226i,0.00420681309682299-0.0316310647036165i,0.0449670004768354+0.0331787116431896i,0.0505801112552025-0.00541634692696841i,-0.0202250479471128-0.000238788015484356i,0.0552887531696025+0.000141058325072873i,0.0601767660524669+0.00459021952272895i
0.0570612220367557-0.000403365286632283i,0.0385108422022896+0.0107870173109636i,-0.0343803808852464-0.0260523992910747i,0.0589692098277099-0.000940748375155554i,0.0866561620568532+0.00870691026415704i,-0.0293543502145275+0.000607345798895988i,-0.0210094857482953+0.00698463322156009i
0.0281199075425706-0.00300160761602247i,-0.0163763525556805-0.067792258872054i,0.0168794167027169+0.105810727834278i,0.0362838525223734-0.0183627082354821i,-0.0626540585653741+0.0187994793760531i,0.019365231086634-0.00150811126642815i,-0.043561018884981-0.0392178970389282i
-0.0675451406605854-0.000913611112682511i,-0.0104185651821464+0.0180004563188734i,-0.00284982609174349-0.0148414012205837i,-0.0501235952508437-0.00705822175218514i,0.0993712751119189-0.0161528122629056i,0.0395055977781832+0.000324171150698715i,-0.036609899537345+0.019402096408217i
-0.0397003747073437-0.00128295991906672i,-0.00132964953289207+0.0214740365825044i,0.00971765464046381-0.0103567681108581i,-0.0760427681880206-0.0076256376614786i,-0.0569687469666571+0.00823357097308734i,0.00792262601987021-0.000643958614681882i,0.0506299442070037-0.011523011391234i
-0.0308449239777842-0.000884929551697335i,-0.0546626062930386-0.00239107444496427i,0.0245205110648582+0.00987897853762993i,-0.0807168273519113-0.00845033417973159i,-0.115545971802585+0.00331212975908935i,-0.0626458305552453+0.000185160061657853i,0.068031344791515-0.00279231670978518i
0.0290162486492049+0.00216517155456417i,0.0140112427742462+0.0492482923250811i,-0.0234553958851253-3.19417703204573e-05i,-0.0325910036233902-0.0371386454591219i,0.000930877271691381-0.015577008091481i,-0.0783762657374708+0.00129998668566287i,-0.032789601737738+0.00330381708601097i
-0.0215484741597789-0.00259943691490628i,-0.0564197537104795-0.00874420146116515i,0.0289318013893364+0.0432465802419576i,-0.0366149328314372-0.030654849599392i,-0.0270711195395681-0.00439211449619946i,-0.0231697362447613+0.000185621494223368i,-0.0147116852827864-0.00102166673887507i
0.0218596930845502+0.00260815750122703i,0.011784961958355+0.000369564921751244i,-0.0316630444034579-0.00191022245465148i,0.0120293436443785+0.00455229054857806i,-0.103893988296545+0.00619188988055383i,-0.037897353949908+0.000408851061201119i,0.0346117317699813-0.00833578964157758i
-0.012678907418406+0.00212987699216421i,0.058219710827519+0.0948028830705568i,0.01857744877818-0.0596318417697177i,-0.0784208134725313-0.00917155346565995i,-0.0237322410714443-0.0242351297664777i,0.0408135002413428+0.000197019096643122i,0.0296588501585804-0.000701206866054429i
-0.0353751700354832+3.26289648691861e-05i,0.0270483256398691+0.0284451922169923i,-0.0307150454861821-0.0140226939829973i,-0.0527626997749071-0.00061611526118623i,0.0486868262286491-0.0155115613196571i,0.00637844087176325-5.46310585736073e-05i,-0.051283506565916+0.00151830691006988i
-0.0232397552186471-0.000887991654341547i,0.0144582017894387-0.0189942185786786i,0.0155688128004121+0.033583166395319i,-0.0452987212907523-0.0144023203141697i,-0.0377336110757842+0.00869032887029927i,0.0462363205419823+4.57182452458806e-05i,0.0725005266286742-0.00908291743539594i
0.0243714201784746+0.000833486520887161i,-0.00621903543132785-0.00167739132619057i,0.0573160263622741-0.00841361367481947i,-0.0194854475601454+0.0156352953686474i,-0.0849324970809424-0.00212844618353552i,0.00675173167849942+0.00012826072811231i,0.0927170569670196-0.0030706866036767i
0.0622278727700474+0.000424280128836357i,0.0281787447686676+0.0337718056234268i,0.0606703123683356-0.0294077906665127i,0.0141258895181091+0.0147709770276844i,0.098765823069561-0.0286692087458001i,0.00815263026763335-0.000248899174833769i,-0.0410999054657451+0.00970284235647603i
0.0344698863944436+0.00028535525697744i,0.0224153765163985+0.0160719127503604i,0.0222088226715331-0.00131422514349956i,0.00978285996933774-0.0243911124470433i,0.0111955671496245+0.00682928361357885i,0.0250714264191013+0.000332727673035592i,0.0616623634185749+0.00283680838811663i
0.037331046711037-0.00100270356845062i,0.0651492498449871+0.0226235279868186i,0.00572954793812271+0.00293057215236015i,-0.0209546098638822-0.0069692179644206i,0.00837863696258687-0.000610248628679784i,0.014940799506764-0.000707693978940255i,0.006330060395972-0.0178211885937845i
-0.0592158630614581-0.000801544665814707i,-0.069604843717317-0.0121604778122738i,-0.0211623315570319-0.0588326400050119i,0.0779708764612175+0.038062237643399i,0.0435844392020003+0.0125746823843715i,0.0228523547122474-0.000608458027829249i,-0.0524743956044324+0.0203207738315673i
-0.0278388208725665-0.000464998419302021i,-0.0427316794363815-0.022070898338088i,-0.0489501506573175-0.0103557216220188i,0.0490915117085051+0.00757846760686184i,0.0708808455976549+0.00845688202409925i,-0.0400190423491468+0.000524190998020239i,-0.0695263652941744+0.0158652108765634i
0.0733863158498685+0.00239698157175833i,0.00396077500500649-0.00402164509877481i,0.00902040460239926+0.029523373818907i,0.0583049674712358-0.0177804985071272i,-0.0502945887741842-0.0010222911297115i,-0.0334097286350977+0.00084285196617951i,0.00484976901420618-0.00629756448438838i
-0.0106088439014908+0.00232607013311164i,0.0343460132146398+0.0279420120214783i,-0.0455425157768548-0.0236305034857209i,0.0287797459022135-0.0125094929767602i,0.0156767584828092+0.00302294674944665i,0.0397523804235883+0.000463372214678177i,-0.00410109838089473+0.00591665528691314i
0.0495141392882382+0.000377573359285751i,0.00540229845483708+0.000944222856736504i,-0.0137445520133715-0.0182607945163268i,0.0413122608857816+0.0097854608151183i,0.000311220637638305+0.00743667566687893i,-0.0484985253491356+0.000435219098569923i,-0.000831604569759971+0.000211283001451673i
0.0403508711064591-0.00111815291309593i,0.0613387364388849+0.0183153207449851i,0.0363750482566918-0.00264980845768345i,-0.0340603000324497+0.0129529107022938i,0.0486472475892874-0.00984841248731059i,0.020909858840492-0.000845246417169788i,-0.0151697904089498-0.01857958608114i
-0.0438753770142695+0.00191029817193205i,-0.0750456056771018-0.048637706564417i,-0.0297263272504007+0.0306343565470122i,0.0651308307414715-0.00296578084723483i,-0.0731825224261639+0.0132885806963566i,0.00596304782288584+0.000259253588391661i,-0.0102654704815923+0.00837038441138044i
0.0349767769386004+0.00210649000653919i,-0.00372735319831304+0.00117893038680888i,0.0234559857239391+0.00254452973245072i,0.0310185067849583-0.0144858748004362i,-0.0391760848898615+0.00337347299724237i,0.0078782288648849+0.000696312271126396i,0.0679299841274787+0.00775609933481481i
0.0212029723595679-0.000437104957580215i,0.0458985394820854+0.0242285527961973i,0.024486526566428-0.00444948306161359i,-0.061278860247786+0.00792625661664441i,-0.0594744869446792-0.00573944775368976i,-0.00591994114060575-0.00076899245263883i,0.0336289835628545-0.0218623530188954i
-0.0303107993564629-0.000201103267748394i,0.00430989664593343+0.0204296687910973i,-0.0877859530793419-0.0538545176312271i,0.0262979598185952+0.0112251229838052i,0.0315413972689603+0.017343260519399i,-0.0442146526852972+0.000391965586464315i,-0.0493441005475355+0.00479195489759836i
0.0119911509448881+0.0032728042140482i,-0.0510038668448773-0.047060834704184i,-0.019279487931449+0.0173688909377691i,0.048474898779541+0.00490427101693128i,-0.0629671586533784+0.00762838191071667i,-0.0553603301497793+0.00117621536088861i,0.0461835029451068+0.0175846980726305i
-0.0508247790034554-0.000260983507358849i,-0.0358120085410499-0.0632518686516653i,-0.0255245279766389-0.0442574947139929i,0.0917740961430032+0.056930923678378i,0.0852994229130757+0.0130496502512578i,0.0567812172577362+0.000448508744913345i,0.0258634890129453+0.0374639824251501i
0.00194821310397244+0.000193417325349982i,-0.0114878112517614-0.0180291022680467i,0.0365143175295245+0.0324381397803604i,0.00535956641550328-0.0118973114510525i,-0.0552562304347406+0.00730921505171908i,0.0486890934402526-0.000309588337974128i,0.0506391019684151-0.00967139945475051i
0.0182947729969144-0.000359877244141943i,0.0274143571584027+0.039104000262225i,-0.0167730198354068-0.0250957794566251i,0.00132888809018846-0.0151975203950547i,-0.00390397504934293+0.0108270973490199i,-0.013016186475458-0.000298632115086378i,-0.00229279543961587-0.00988468592707112i
0.0141202030434791+0.00260799220556793i,-0.0608001365986864-0.0172970979165511i,0.00832076985713427+0.0154675622132056i,0.063169093194833+0.0154295826698993i,-0.0571317740390399-0.0172357106977829i,-0.0388141038765331+0.000378968976565869i,-0.0780501632449634+0.00457925136933894i
-0.0426775041803616+0.00549752540903998i,-0.00274089242385167+0.0127639218642118i,-0.07793996756564+0.00065793986994412i,0.0103324648764151-0.00638210912795129i,0.0373432608676814-0.0269446154067185i,-0.0193506876486113+0.00113800042378535i,-0.101252933049302+0.0208827339642298i
0.0750051798329758+0.00184288449960415i,0.00537313978348565+0.00246602562434219i,0.0415688742715485+0.0151335307282264i,0.0446762784190072+0.00489012600066484i,-0.0932745650275295-0.00515993694546656i,-0.0129226791947587-0.000248734460018048i,0.0117395932420018-0.0160625195073269i
-0.00745027303901128+0.000679152363232762i,-0.0176798227499731+0.0136009351325354i,0.0147233758424427+0.00486773972446717i,-0.0527637172456645-0.00628419805279861i,-0.0428159926113362-0.0115377164231059i,-0.0429299649675995+0.00037038958276568i,0.00955272210224684-0.000594338648140963i
0.0116616166127743-0.000150547455638559i,-0.00376018575240434+0.017734239494409i,0.0186667003676213+8.20479644135334e-05i,-0.0367105624953472+0.0117012152436752i,-0.0375705709937971-0.015343968178115i,-0.0378172864131597-0.000498432762847606i,-0.0457850859779002-0.0140768358907687i
0.0103283567578119-0.00277165866117161i,-0.0456489639070188-0.0268427482676089i,0.0365114185728321+0.0499624713412219i,-0.0236993862342434+0.00168282707541228i,-0.045733374932778-0.00716710736963399i,-0.0504967168363426-0.000667589143524936i,-0.057509525133289-0.0182968739356417i
0.0492740895136155-0.000248587449284819i,0.0171395691692676+0.0210116582214716i,0.0442017370033774-0.0257315369614095i,0.0308551586378036+0.0225822406776738i,-0.00987581403990742-0.00175466059289689i,0.0177684762382934-0.00109834694914328i,-0.0172234890180382-0.015045478026446i
-0.000598888757853969-0.00319386753143913i,-0.0269616339518494-0.030892044209931i,0.0253038027206188-0.00100794866669228i,-0.0304555442807206+0.0295572787776331i,-0.00114877659782527+0.00593441807241912i,-0.0441345231820379-0.00041166053147218i,0.0161276101923349-0.00471556496111522i
-0.0853083151605111-0.000729281989087754i,-0.0543799692388769-0.0379383104423366i,-0.0416140199208529-0.0114761791417769i,0.0183923497415766+0.0101828898549037i,0.0180099367820589+0.0213219668337115i,0.0277756746070459+7.86480417407282e-05i,0.0141715873954791+0.0175665223869896i
-0.0234262481932903-1.86208703531737e-05i,-0.0806633225231796-0.0482565405177747i,0.00354504668544857-0.0222207113460832i,0.10630213372133+0.0357948408865347i,0.0065310705959617+0.0197780206190988i,0.0137149475406324-0.000357168343370207i,-0.0211119227806793+0.015516437708659i
0.0636425307039418+0.0070437320953701i,0.0511428195394644+0.027174469236722i,-0.0349053187155195-0.0183098462098466i,0.10020599208191-0.00404917155024175i,-0.0149417278171347-0.0155424405536758i,0.0270697480780431+0.00112061079712584i,-0.0140134568192921+0.0131664649821747i
0.0277274504724093+0.00118055017703624i,0.0203314441208462+0.0247734348849079i,-0.0132698576441061-0.0233655633647917i,0.0546372107622789-0.00051782531792937i,-0.0057049659505967+0.00319290815661659i,0.0117524262118254-0.000312531806455591i,-0.022765097840885-0.00319775554126102i
0.0201349337545727-0.00103014476390215i,0.0353125492881614+0.000595414948572928i,0.0172363350262061+0.0439136292634739i,-0.0634099867759412-0.00916189526816672i,0.0214371671033315-0.0158150156185571i,-0.0180403614702837-0.000485697250426426i,-0.0445814292995981-0.0196972268546857i
0.0576621663783211+0.000621759204670402i,0.0406314825491959-0.00619579900381284i,-0.00661306285638605+0.013956015478865i,0.00195389460102597-0.0128538449087163i,0.0091548365412358+0.0143767988001015i,-0.0388113528677676+5.24098351647161e-05i,0.0486248847786109-0.00902266355655809i
-0.0166411648955453+0.000897332779628826i,0.030782237397132+0.0357110650536016i,-0.00391929451665838+0.00183740322725056i,-0.060477824146654-0.0214781045089782i,0.070504892021967-0.016304622313675i,0.0111013145122432-8.85045311782543e-05i,-0.0369458180043485+0.000610306024415069i
0.0636102420376297+0.00127050862666691i,0.0399553839734324+0.0549339141103634i,0.0437922762853905+0.00275328668447173i,-0.0671082169400896-0.025068169041345i,-0.054020377375809-0.0208993874359054i,-0.0387809183374139+0.000464742763049829i,0.0385359193749546-0.0116197837824303i
0.0236987871520345-0.0013267607317949i,0.0171336381405518-0.0172197919331675i,-0.0157390854880294+0.0418176285001785i,-0.0706840866322566-0.0130283182928452i,0.0939640010734949-0.0134497899676436i,-0.0932086418359439+0.000811970560254542i,-0.0436378842964673+0.000522395759809027i
-0.000263709164030709+0.000748437716027017i,0.000736047388047567+0.0169040311246995i,0.000586194193760015+0.00686557419390901i,-0.0741987629028732-0.00527447445890109i,-0.061789003596679-0.00763977896100957i,-0.0567719892573386+0.000258674688653289i,0.0120299736310965-0.0106697017511344i
-0.0252214306497704-0.00334499936022327i,-0.0242096638196079+0.00220175019716455i,0.0382709846022408+0.0152065256372383i,-0.0648054640465372-0.00736762689493034i,-0.0288220120017958+0.00760889304175703i,-0.00586063191622967-0.0011337605393809i,0.00710106131641829-0.0183585061613635i
-0.0339393020731198-0.00132505588796988i,-0.0137967017400354-0.0320174705652536i,-0.00932479003557107+0.0355902371640785i,-0.0381231607605455-0.00739054611288697i,-0.0547779372279198+0.0115521310288923i,0.00292220175906401-0.000106510069430507i,0.0429844943072422-0.00863390588707842i
0.0332491302517756+0.00497761695958274i,0.00190887776711016-0.0350449148650486i,-0.0597663918575077+0.0158190411306613i,0.0809000062524061-0.00730956414212444i,-0.0983122454082765+0.0127273165744882i,-0.0303448146668156+0.00162183384357155i,0.0793114322002921+0.0151674939817126i
-0.0159258565000308+0.00150958058098089i,-0.00833213089511779+0.0190204156082157i,-0.0370016503995631-0.0231531743573333i,0.00541851032249331-0.00502734729687215i,-0.028579626176408+0.000130937281342502i,-0.0257911762654921+0.00073921184559223i,-0.000976976674464743+0.00886920820648261i
0.0835795294850556+0.00231124935017906i,0.0111243523031458-0.0191075611146039i,0.0419660443761528+0.00835746446581381i,0.101170971069255-0.0105702905863169i,0.0041235505432186+0.00570971381251274i,0.0465763124577738+0.000709930960078778i,0.0873535125118475+0.016397726323918i
-0.0510634134213559-0.00065933713963711i,-0.0182318113946953-0.0225994929657523i,-0.0422422395995492-0.00234117851038976i,-0.00771535829223785+0.00493162032165686i,-0.0889822842048669+0.0271186574673058i,0.00594427803984385-0.000237618174311937i,0.0525434355492445-0.00694446789292746i
0.00771968329181285+0.00212616911921766i,0.00659406063020814+0.025678664697354i,-0.0476592241973528-0.0484071398041778i,0.0346530781880725+0.0169340130200388i,0.0108817656851224+0.000737045581647498i,-0.0410298597002868+0.000282864097219338i,-0.0421896469982079+0.00590817166746252i
0.0512236477733542-0.002893068303611i,-0.0193878414200222-0.0176887460256564i,0.0394465251334002+0.0443065950465747i,0.0312064634268406-0.01272172622695i,-0.0609700514167432+0.0194276888707281i,-0.0210554830209917-0.00132054932727052i,-0.0182944276502805-0.0336384090683784i
0.0760936351716494+0.00455660154928615i,-0.02467937045656+0.0172725028264761i,-0.00146272678726218-0.0366334761692183i,0.13210657754797+0.00464073282262392i,-0.10586659929627+0.00989561486446371i,-0.0256514032076413+0.000780609101276707i,0.024940021112312+0.00671771824153282i
0.005767439231456+0.00180066685070621i,-0.0292157662241741-0.00717991248238591i,0.0453199248561143-0.00314330051638099i,0.012337568403852+0.0168040883598713i,0.00785935305146473-0.0257102649966479i,0.0180440570324574+0.000327637096020672i,-0.00434742582820397+0.0195696711578091i
0.0244645456573629+0.00262270296369227i,-0.0518027298091368-0.0241052145669397i,0.0206397474844492-0.0195355695047662i,0.098029246143983+0.0335520320252264i,-0.0650390671284112+0.00131389052932711i,-0.00359440417105371+2.20327378483344e-05i,0.000891118050758854+0.0101434762149394i
0.0485927040485694+0.00187887589415874i,0.0128044161033384+0.0272460195271545i,0.0311991957239701+0.0235599364734533i,-0.019988226696997-0.0418777106610206i,-0.0221805140852514-0.0139152947033251i,-0.0155273566447931+0.00118577294689446i,0.039886864636138+0.00481353692737457i
-0.0689752651741066+0.00179917047013899i,-0.0206782067978866-0.035505630067272i,-0.0733392075575346-0.00718953393042024i,0.068551352482989+0.00122199168201528i,0.0381449438529505+0.0111359985080578i,0.0601310964715749+0.000980701934018592i,0.00305780731483902+0.030454216189231i
0.0405197770548752-0.00191830669281727i,0.0457737124214836+0.0568859475845239i,0.0431972846083112+0.00509040412699147i,-0.12307024124399-0.0115291812540827i,-0.020316239750233-0.0204184367520865i,-0.0683664208392617-0.000389698585090542i,-0.0235640540321983-0.0304988264824035i
-0.0359658191583443+0.000229960495846039i,-0.0393868039496545-0.0297562094485052i,0.00530254788846528-0.0120086752147069i,-0.0019920412681402+0.0181195517692276i,-0.0130078981881532+0.0119857223552045i,-0.00290456891748079+0.000150147790447465i,0.0550022802233585+0.0115915610959068i
0.048860208297809-0.00248476140597174i,-0.04569410737696-0.0410071014634552i,0.0672278782347443+0.0434183331883538i,0.0372408423522168-0.00514461933187108i,-0.00748007464487039+0.00742765846865773i,-0.0156435204068413-0.000555093544326043i,0.0154869354243979-0.00534215752113775i
