0.00480676464500636+0.00305980587178074i,0.0951984638723212+0.0333271143487117i,0.0968147142213275+0.0369390356315736i,0.058733914035778-0.0151338758582815i,-0.0257372691658947-0.0211937132530132i,-0.0866093241435501+0.00318169770810246i,-0.0137425356417082-0.0353828722415554i
0.0177279195626577-0.000709185292585382i,0.0717677251429601+0.0216780415768026i,0.0227534461490967-0.000991042120230287i,0.0635532056746907-0.000125767094498185i,0.0818678418266933+0.000820486742996762i,-0.0643987292843799-0.00404376157735027i,-0.000812086986471285-0.01666808846872i
-0.035936025029339+0.000860836028019962i,-0.0711036782667369-0.0490335780604468i,-0.0126859663879592+0.0127523585289644i,-0.0130197954458492+0.00317201045060725i,-0.0976246587590728+0.0131325789169988i,-0.0867412620629899+0.0043972330871944i,0.0495919612880597+0.0117417279086883i
-0.000568929277793661+0.00356934256966153i,0.0124262180334961-0.00458711313683828i,-0.00414195916087153+0.026490433677146i,-0.0115976279224014-0.00853610144211499i,-0.0173771368964368+0.000530713758855086i,0.0542657341684338-0.00644099813572176i,-0.0354938511632628-0.0189911748706107i
0.00660676774901375+0.002389060800263i,-0.0211295264533656-0.024538876274927i,-0.0462341648499285+0.00634071006279673i,0.00670508168689427+0.000910741636744213i,0.0225678012051229+0.0120679437370591i,-0.000100316807860183-0.00378377494478926i,-0.0160600493534598-0.00203151357601015i
-0.00562050179364341-0.00366813273939683i,-0.0299850162122776-0.00110553971597884i,-0.0472106723830607+0.01700443493151i,-0.0724399398971939-0.011742683376915i,-0.0390468467165301+0.0118395073865105i,0.136474438564115-0.00641378584635626i,-0.0267168012860727-0.00498762338268743i
0.0108925125687024+0.00525149955917152i,-0.00360914795298327-0.0127527710449616i,0.00208379976174406+0.0291219208016403i,0.0265924681569539-0.00594267179610456i,-0.0171777531545762-0.00741780106278538i,0.0669685309522271-0.00250689487951095i,-0.0554909820364903-0.0157406630802322i
0.0148909429205115+0.00018386528299924i,0.0252463165806587+0.0182565637884161i,0.0334526743397861-0.000298089481404165i,-0.0293325752955501-0.00498021980089558i,0.0337687676120393-0.0148013873816152i,0.0237721360244164+0.00292358244975005i,0.00623730080359954+0.00170259898903634i
0.00830264835283153-0.00489426823736334i,0.00578186803060082-0.0542529416826512i,0.0145969252471913+0.0561285250488067i,-0.0135925218329425-0.00437820618444767i,-0.021697277749082+0.013751476276461i,-0.0766058091149379+0.000957336697040844i,0.0592819092401884+0.000998404016366539i
0.021655574854634+0.000589171688936572i,0.00747536142409212-0.0100269073822046i,-0.002577410493345-0.0165428822900035i,0.00900588710342033+0.0131719605586926i,0.113375141751087-0.00896817108804383i,0.0608501608353436+0.00122418812206907i,-0.00513661237318324+0.0196424764502837i
-0.0119334223653794+0.00131794880939244i,0.02190812000527+0.0366147178531061i,0.0143802252506352-0.00244717483526811i,0.0124743446328712-0.00791761827244857i,-0.0365923590500677-0.00567449581046387i,-0.0590840396098114-0.00182710068170904i,-0.0383003684717015-0.0210387238083784i
-0.00638112957940721+1.59962220837584e-05i,-0.00573945511097885+0.000560129828228019i,0.0199201209182425-0.0157010620142409i,0.0318891843010281+0.0134394060957768i,0.0106305731233908-0.0093758616332836i,-0.0141935638732777+0.00425391461198669i,-0.00511862751805978+0.0116022136810613i
-0.00247432181156741-0.000288435591974112i,-0.0173016985306399-0.012612108155015i,0.0208813831672597-0.00173366203838573i,-0.0421336015172973-0.00132837994824965i,-0.0236731786444607-0.00182414481197135i,0.0340128300133577+0.00388241278937718i,0.0585840411396395+0.0166826499129329i
0.00226310467774965+0.0043997912585221i,0.0432257912361085-0.00647994972239627i,0.0341448088828765+0.0395722174067619i,-0.0107328784731952-0.0173062495496514i,0.00808041968583823-0.00718043457878186i,0.0706979624857558-0.00238378787623539i,-0.000799473762412787-0.016218536722133i
-0.0157862864622353-0.00399505048552973i,-0.0036377458007511-0.00908092034793539i,0.0177388499596404-0.0189881429062548i,-0.000276528122296654+0.00546593689418093i,-0.00533092980190176+0.00956730257707715i,0.00789796554679992+0.00317447670550488i,0.0897201080358499+0.0200665440819331i
-0.0159839242899933-5.14273946153928e-05i,0.00546001919937556-0.0191023297951162i,0.0141504044758773+0.0292895064453657i,-0.0179426002978404-0.0171201983218392i,-0.0556211205897218+0.0164309111297481i,0.01518560904181-0.00318120082189739i,0.0694176921860956-0.00920319524059694i
-0.0169700874356841+0.00155552637207626i,0.0146228661729716-0.0299736698641733i,0.021521877339215+0.0402902571058714i,-0.00916651878416788-0.00922491854040875i,-0.00331078403155513+0.00389373391105049i,-0.0139692294764018-0.00110157040780519i,0.0317669099311623-0.00890022841452288i
-0.00637691739316367-0.00251325393939736i,-0.00611646007203664+0.0115228986180945i,-0.0031334585526117-0.0263876055259178i,-0.0011314562125785+0.0101517547406969i,0.0390698874451311-0.00727468152688773i,0.0121861122135643+0.00351058512166153i,-0.00590769424636716+0.0179369895140807i
-0.0174800303848397-0.00302973080069836i,-0.00730167319081773+0.000785619811299458i,0.0101997310837201+0.00599736119142456i,-0.02655470090122+0.00155749716141183i,0.00309594083035127-0.0073753228596745i,-0.000754785647653931+0.00405869852065359i,-0.0083989961917216+0.00702608262785179i
-0.00297629538194576-0.00197021599033141i,0.0256943540545551+0.0176828323575231i,0.0151678576230623+0.0028697083512125i,0.00176781513581512+0.0060388213971057i,-0.0265037794955814-0.00806308388163167i,-0.0264282493562883+0.000754270880587923i,-0.0218160002399057-0.00821030703806898i
0.00163381186110335-0.000616555548616995i,0.0155319203353114+0.019909455055983i,-0.0306624136223627+0.000818256517924407i,-0.0315149001124009-0.0075756945692317i,0.0205064222898654+0.00214036486022667i,-0.0214436379393462-0.00444431317250216i,-0.0359394864545164-0.0136553799956663i
0.0231137457435984+0.00114571979924122i,0.0398392538457506+0.0264447205015706i,0.00817482801422842-0.00287151599358304i,-0.0172791852765285-0.0116584695251895i,0.0232532682598989-0.00100717301477446i,0.00893196558653598-0.00441714139145922i,0.00760988503892395-0.0130238079817892i
0.0343422365269177+0.000414369630556839i,-0.017314102840156-0.0146118427200684i,-0.0490658417368249-0.00261538113168851i,-0.0292334885825832-0.000863250067545849i,0.0273509197033484+0.0127509309950303i,-0.031664850009131-0.00402500857671412i,0.0065270567276593-0.00142650396194202i
0.0205390580584604+0.000240304810781823i,-0.0365909397099445+0.00278712743441083i,-0.0226660221222568-0.0254847508825329i,-0.0178562336176125+0.00576202400277364i,-0.0142095696079061-0.000710576119510562i,-0.0610322702801844+0.00290409105699162i,0.00300472035342021+0.0118359024026379i
0.0114494075054563+0.0015535124196304i,-0.00225322636032624+0.0102264532321295i,0.00788736711646414-0.00857370455091095i,0.0330899201954498+0.00919279222578326i,0.0151240774026504-0.0143874245422474i,0.0465131835828609+0.00245307692560235i,-0.0571286809869974+0.00353315823702505i
-0.0160031024950129-0.0018052055144806i,-0.0120213299563924-0.0190731435680765i,-0.00857595383567583+0.019012951860917i,-0.000750113262183749-0.00318928008429415i,-0.053081683874351+0.0134273411818889i,-0.0270993328781394-0.00256786628094347i,0.0232412413127716-0.00644571639620383i
-0.0227990302318291-0.000476334033856926i,0.0233092062444321+0.0161451301835947i,0.0184853985405716+0.0168186447323667i,-0.00134906776279585-0.0141136759946924i,-0.0513511151454768+0.00276238904025981i,-0.00784456956807341-0.00132121506991499i,0.00257690463040216-0.0170231448762373i
0.0132981063538337+0.00153604390986254i,-0.015761538899219+0.00293299049651146i,0.00371851922142212-0.0138081210027927i,0.0776299732067804+0.018396124319732i,0.0210038627285023-0.0164452553044222i,-0.0468351473765513+0.00484937609588099i,-0.0720746931210751+0.00501741828982958i
-0.00548874644445218+5.475446387073e-05i,0.0181804652518777+0.0244275663816647i,-0.0155054509798878+0.0103599349405395i,-0.017297020825-0.0118472597052518i,-0.0095448052359574-0.000296647966404235i,0.0437449839237759-0.00561314341599037i,-0.0474838497943214-0.019501106351438i
-0.0280640400797518+0.00221385524064263i,0.0231729261009201-0.0257855680941581i,0.0209340309130248+0.0400592321211665i,0.0484801050770708-0.0151149589526489i,-0.0232532157819521+0.0143514623572276i,-0.00619799519132819-0.00355266112816768i,0.0265920156868007-0.0173023531239629i
0.0189429080191202-0.000634593461909871i,-0.0184406504434613-0.00394532265075047i,0.0198836957484416-0.0534259307742719i,0.0358191277185486+0.0245437099989049i,0.0466425151634901-0.0048270522662648i,0.0428483447791472+0.00652139545355199i,0.0522593359635503+0.0355045369063094i
-0.0201791455676357+0.000598239088486993i,0.0225153616919607+0.00684265774045602i,0.0330273054489841+0.00367230306515938i,-0.0278451254909333-0.00516760367958858i,0.00905573489871925-0.00775619725051091i,0.038568093955715+0.00186548265817261i,0.0317679603061758+0.00143692874728976i
-0.0213051705742918+0.000308687712521678i,0.0374549390798704+0.00456000742501303i,0.0176643808899842+0.0371741353657565i,-0.0411981872785957-0.0275569207652496i,-0.0339799381370298+0.0121563527616787i,-0.034065819186121-0.00523988058782166i,0.0460249133255296-0.026487931760742i
0.0049707562924084-0.00160486057684746i,0.00809432992241139-0.0077466685202155i,0.0182722721463653+0.016067524729917i,-0.0418668844019208-0.00235071223126345i,-0.00478705471741096-0.0017604889539444i,-0.0290291836237211+0.00174877971565865i,0.0348940250888654+0.00038058143624674i
0.00893947677952904+0.00549059321176654i,-0.0307371230737529-0.0370161314229982i,-0.0301989445557922+0.0318386013832041i,-0.0199257403454975-0.00681614377243148i,-0.0524095895052803+0.00947488791937779i,-0.0290773002114906-0.00427363255571371i,-0.000948704552619114-0.0137337544628677i
0.0270670647736559+0.000303349215116916i,-0.0333418585898906-0.0212661915639188i,-0.0200273002600707-0.0126020610737567i,-0.0128009136310526+0.00575355116065733i,-0.00735206575804532+0.00789919443027796i,0.0533425204100781-0.000269918079025525i,0.0303834095869201+0.015698191962811i
0.00183365159206374+0.000223354080569162i,-0.0541829369216383-0.0316548794175645i,-0.0600487163099358-0.000220428215584931i,-0.0250367234016574+0.00696732187559723i,-0.0166672506568685+0.0120470485353644i,-0.0415392453209819-0.000116586456478928i,-0.0109309881462874+0.00674983358322124i
0.0111146184401339-0.00617190732827817i,0.00376124326312182+0.0280205650991571i,0.0200646059372321-0.041395863020789i,-0.0381669900111696+0.0130510439155879i,0.0416238773431205-0.0127618376745033i,-0.00415482443027995+0.00749164670859839i,0.027406567976324+0.0284942178690028i
0.00318280021142652-0.00112876703950341i,0.00559806923098587+0.000588493656299616i,0.0068371031558408-0.0213688627729603i,0.0340773564190877+0.0153580227488868i,0.0355571449421543-0.0028900567085673i,-0.00528756542107125+0.00152697096898997i,0.00829259070586888+0.010335447355802i
-0.0163473041262822-0.00670366964990327i,-0.0423900844247861+0.000634468215973733i,-0.00012921994895979-0.0326557359446696i,-0.0558677495308147+0.00798756737612679i,-0.0199298595831524-0.000170909269761789i,0.0233870145599839+0.00945336092323334i,0.0599733071257329+0.0384085359669172i
0.00794976744685481+0.00228723998834055i,-0.00686370881166928-0.0293672532329318i,-0.00683977288147496+0.0315082428570873i,0.0107863829670133+0.00630154043957267i,0.00502931160554918-0.00487770187102821i,-0.0269304718668665-0.000475006500127672i,-0.0418516155601946-0.00864058566366874i
